franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Beast Morphers,Power Rangers Beast Morphers,Hasbro,2019,"12"" Scale",Beast-X Blue Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70078&figure=beastxblueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersbeastmorphers/thumb_BeastXBlueRanger-12Scale-1.jpg
Power Rangers,Power Rangers Beast Morphers,Power Rangers Beast Morphers,Hasbro,2019,"12"" Scale",Beast-X Red Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70076&figure=beastxredranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersbeastmorphers/thumb_BeastXRedRanger-12Scale-1.jpg
Power Rangers,Power Rangers Beast Morphers,Power Rangers Beast Morphers,Hasbro,2019,"12"" Scale",Blue Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70111&figure=blueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersbeastmorphers/thumb_BlueRanger-12Scale-1.jpg
Power Rangers,Power Rangers Beast Morphers,Power Rangers Beast Morphers,Hasbro,2019,"12"" Scale",Cybervillain Blaze,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70109&figure=cybervillainblaze,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersbeastmorphers/thumb_CybervillainBlaze-12Scale-1.jpg
Power Rangers,Power Rangers Beast Morphers,Power Rangers Beast Morphers,Hasbro,2019,"12"" Scale",Cybervillain Robo-Blaze,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70073&figure=cybervillainroboblaze,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersbeastmorphers/thumb_CybervillainRoboBlaze-12Scale-1.jpg
Power Rangers,Power Rangers Beast Morphers,Power Rangers Beast Morphers,Hasbro,2019,"12"" Scale",Red Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70113&figure=redranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersbeastmorphers/thumb_RedRanger-12Scale-1.jpg
Power Rangers,Power Rangers Beast Morphers,Power Rangers Beast Morphers,Hasbro,2019,"12"" Scale",Silver Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70099&figure=silverranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersbeastmorphers/thumb_SilverRanger-12Scale-1.jpg
Power Rangers,Power Rangers Beast Morphers,Power Rangers Beast Morphers,Hasbro,2019,"12"" Scale",Yellow Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70095&figure=yellowranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersbeastmorphers/thumb_YellowRanger-12Scale-1.jpg
Power Rangers,Power Rangers Beast Morphers,Power Rangers Beast Morphers,Hasbro,2019,Basic Series,Beast-X Blue Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70075&figure=beastxblueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersbeastmorphers/thumb_BeastXBlueRanger-1.jpg
Power Rangers,Power Rangers Beast Morphers,Power Rangers Beast Morphers,Hasbro,2020,Basic Series,Beast-X Yellow Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70070&figure=beastxyellowranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersbeastmorphers/thumb_BeastXYellowRanger-1.jpg
Power Rangers,Power Rangers Beast Morphers,Power Rangers Beast Morphers,Hasbro,2019,Basic Series,Blue Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70108&figure=blueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersbeastmorphers/thumb_BlueRanger-1.jpg
Power Rangers,Power Rangers Beast Morphers,Power Rangers Beast Morphers,Hasbro,2019,Basic Series,Cruise Beastbot,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70104&figure=cruisebeastbot,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersbeastmorphers/thumb_CruiseBeastbot-1.jpg
Power Rangers,Power Rangers Beast Morphers,Power Rangers Beast Morphers,Hasbro,2019,Basic Series,Cybervillain Blaze,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70110&figure=cybervillainblaze,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersbeastmorphers/thumb_CybervillainBlaze-1.jpg
Power Rangers,Power Rangers Beast Morphers,Power Rangers Beast Morphers,Hasbro,2019,Basic Series,Cybervillain Roxy,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70101&figure=cybervillainroxy,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersbeastmorphers/thumb_CybervillainRoxy-1.jpg
Power Rangers,Power Rangers Beast Morphers,Power Rangers Beast Morphers,Hasbro,2019,Basic Series,Drilltron,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70087&figure=drilltron,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersbeastmorphers/thumb_Drilltron-1.jpg
Power Rangers,Power Rangers Beast Morphers,Power Rangers Beast Morphers,Hasbro,2019,Basic Series,Evox,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70086&figure=evox,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersbeastmorphers/thumb_Evox-1.jpg
Power Rangers,Power Rangers Beast Morphers,Power Rangers Beast Morphers,Hasbro,2019,Basic Series,Gold Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70079&figure=goldranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersbeastmorphers/thumb_GoldRanger-1.jpg
