franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Tokumei Sentai Go-Busters,Roleplay Items,Bandai,2012,Roleplay Items,MBAF Red Buster & Cheeda Nick Set,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Busters_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/d/db/Go-Busters_Logo.png/revision/latest?cb=20191108022146,
Power Rangers,Tokumei Sentai Go-Busters,Roleplay Items,Bandai,2012,Roleplay Items,Tokumei Sentai Go-Busters Sound Warriors,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Busters_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/0/09/TSG_SSBL.jpg/revision/latest?cb=20200130200609,
Power Rangers,Tokumei Sentai Go-Busters,Roleplay Items,Bandai,2012,Roleplay Items,Softvi Hero,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Busters_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/4/48/TSG_SHFiguarts.jpeg/revision/latest?cb=20200130194705,
Power Rangers,Tokumei Sentai Go-Busters,Roleplay Items,Bandai,2012,Roleplay Items,HDα,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Busters_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/8/83/TSG_HDa.jpg/revision/latest?cb=20200131145433,
Power Rangers,Tokumei Sentai Go-Busters,Roleplay Items,Bandai,2012,Roleplay Items,DX Soft Vinyl Figures,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Busters_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/a/a3/TSGB_DXsofubi.jpg/revision/latest?cb=20200210144629,
Power Rangers,Tokumei Sentai Go-Busters,Roleplay Items,Bandai,2012,Roleplay Items,DX Deformed Soft Vinyl Figures,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Busters_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/1/1a/TSG_SDvinyls.jpg/revision/latest?cb=20200210144641,
Power Rangers,Tokumei Sentai Go-Busters,Roleplay Items,Bandai,2012,Roleplay Items,Move Out! Buster Items,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Busters_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/e/e6/TSGB_minipla01.jpg/revision/latest?cb=20200214152239,
Power Rangers,Tokumei Sentai Go-Busters,Roleplay Items,Bandai,2012,Roleplay Items,Roleplay Busters Tablets,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Busters_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/b/ba/TSGB_tabletitems.jpg/revision/latest?cb=20200214153146,
Power Rangers,Tokumei Sentai Go-Busters,Roleplay Items,Bandai,2012,Roleplay Items,Go-Busters Keychains,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Busters_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/2/2f/TSGB_keychains.jpg/revision/latest?cb=20200214152900,
Power Rangers,Tokumei Sentai Go-Busters,Roleplay Items,Bandai,2012,Roleplay Items,Buster Mechanics,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Busters_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/a/a5/TSGB_bustermecha.jpg/revision/latest?cb=20200214153614,
Power Rangers,Tokumei Sentai Go-Busters,DX Mecha,Bandai,2012,DX Mecha,Full Action Busters Robo,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Busters_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/c8/TSGB_actionrobo.jpg/revision/latest?cb=20200214153756,
Power Rangers,Tokumei Sentai Go-Busters,DX Mecha,Bandai,2012,DX Mecha,Go-Busters Minicars,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Busters_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/61/TSGB_minicars.jpg/revision/latest?cb=20200214154522,
