franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Zyuden Sentai Kyoryuger,Roleplay Items,Bandai,2013,Roleplay Items,Zyuden Sentai Kyoryuger Sound Warrior,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Kyoryuger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/2/21/Kyoryuger_Logo.png/revision/latest?cb=20241110091938,
Power Rangers,Zyuden Sentai Kyoryuger,Roleplay Items,Bandai,2013,Roleplay Items,Softvi Hero,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Kyoryuger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/a/a0/ZSK_shfiguarts.jpg/revision/latest?cb=20200130162108,
Power Rangers,Zyuden Sentai Kyoryuger,Roleplay Items,Bandai,2013,Roleplay Items,HDα,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Kyoryuger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/e/ea/ZSK_HGalpha.jpg/revision/latest?cb=20200129215416,
Power Rangers,Zyuden Sentai Kyoryuger,Roleplay Items,Bandai,2013,Roleplay Items,HG Heroes Super Sentai EX -The Strongest Braves in History-,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Kyoryuger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/c5/ZSK_HGfigures.jpg/revision/latest?cb=20200129211141,
Power Rangers,Zyuden Sentai Kyoryuger,Roleplay Items,Bandai,2013,Roleplay Items,DX Soft Vinyl Figures,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Kyoryuger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/e/e8/ZSK_DXsofubi.jpg/revision/latest?cb=20200210151850,
Power Rangers,Zyuden Sentai Kyoryuger,Roleplay Items,Bandai,2013,Roleplay Items,DX Deformed Soft Vinyl Figures,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Kyoryuger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/f/fb/ZSK_sdsofubi.jpg/revision/latest?cb=20200210151555,
Power Rangers,Zyuden Sentai Kyoryuger,Roleplay Items,Bandai,2013,Roleplay Items,Zyuden Sentai Kyoryuger Kit,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Kyoryuger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/b/b8/ZSK_Minipla01.jpg/revision/latest?cb=20200213170750,
Power Rangers,Zyuden Sentai Kyoryuger,Roleplay Items,Bandai,2013,Roleplay Items,Light-up Zyuden Arms,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Kyoryuger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/6f/ZSK_hikaruarms.jpg/revision/latest?cb=20200213171734,
Power Rangers,Zyuden Sentai Kyoryuger,Roleplay Items,Bandai,2013,Roleplay Items,Brave Action Kyoryuger,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Kyoryuger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/69/ZSK_braveaction.jpg/revision/latest?cb=20200213171811,
Power Rangers,Zyuden Sentai Kyoryuger,Roleplay Items,Bandai,2013,Roleplay Items,Chomping Action Zyudenryu,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Kyoryuger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/9/99/ZSK_gabugabu.jpg/revision/latest?cb=20200213171903,
Power Rangers,Zyuden Sentai Kyoryuger,DX Mecha,Bandai,2013,DX Mecha,Waiwai Samba Kyoryuger,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Kyoryuger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/8/86/ZSK_waiwai.jpg/revision/latest?cb=20200213171615,
