franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2021,"12"" Scale",Black Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=103253&figure=blackranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_BlackRanger-12Scale-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2021,"12"" Scale",Blue Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=103252&figure=blueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_BlueRanger-12Scale-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2021,"12"" Scale",Pink Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=103251&figure=pinkranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_PinkRanger-12Scale-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2022,Basic Series,Black Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=105818&figure=blackranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_BlackRanger-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2021,Basic Series,Blue Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=81777&figure=blueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_BlueRanger-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2021,Basic Series,Boomtower,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=81778&figure=boomtower,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_Boomtower-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2023,Basic Series,Cosmic Armor Green Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=118684&figure=cosmicarmorgreenranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_CosmicArmorGreenRanger-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2022,Basic Series,Dino Knight Red Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=103726&figure=dinoknightredranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_DinoKnightRedRanger-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2022,Basic Series,Gold Ranger (Dino Master Mode),modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=114235&figure=goldrangerdinomastermode,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_GoldRanger-DinoMasterMode-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2022,Basic Series,Green Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=103727&figure=greenranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_GreenRanger-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2022,Basic Series,Hengeman,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=103728&figure=hengeman,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_Hengeman-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2022,Basic Series,Mosa Razor Zord,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=114234&figure=mosarazorzord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_MosaRazorZord-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2021,Basic Series,Pink Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=81781&figure=pinkranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_PinkRanger-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2022,Basic Series,Ptera Freeze Zord,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=114233&figure=pterafreezezord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_PteraFreezeZord-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2023,Basic Series,Smash Armor Pink Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=118683&figure=smasharmorpinkranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_SmashArmorPinkRanger-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2022,Basic Series,Spiral Strike Red Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=114236&figure=spiralstrikeredranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_SpiralStrikeRedRanger-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2022,Basic Series,Void King,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=114237&figure=voidking,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_VoidKing-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2021,Battle Attackers,Blue Ranger vs Shockhorn,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=81780&figure=bluerangervsshockhorn,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_BlueRangerVsShockhorn-BattleAttackers-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2021,Battle Attackers,Red Ranger vs Doomsnake,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=81782&figure=redrangervsdoomsnake,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_RedRangerDoomsnake-BattleAttackers-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2022,Rip N Go,Sabertooth Battle Rider,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=103730&figure=sabertoothbattlerider,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_SabertoothBattleRider-RipNGo-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2022,Rip N Go,T-Rex Battle Rider,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=103729&figure=trexbattlerider,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_TRexBattleRider-RipNGo-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2022,Rip N Go,Tricera Battle Rider,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=103731&figure=tricerabattlerider,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_TriceraBattleRider-RipNGo-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2021,Role Play,Dino Fury Morpher,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=81779&figure=dinofurymorpher,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_DinoFuryMorpher-1.jpg
Power Rangers,Power Rangers Dino Fury,Power Rangers Dino Fury,Hasbro,2023,Role Play,Dino Knight Morpher,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=121347&figure=dinoknightmorpher,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinofury/thumb_DinoKnightMorpher-1.jpg
