franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Kishiryu Sentai Ryusoulger,Roleplay Items,Bandai,2019,Roleplay Items,Kishiryu Sentai Ryusoulger Sound Warriors,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Ryusoulger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/5/59/Ryusoulger_Logo.png/revision/latest?cb=20230328161231,
Power Rangers,Kishiryu Sentai Ryusoulger,Roleplay Items,Bandai,2019,Roleplay Items,Softvi Hero,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Ryusoulger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/2/21/KSR_Vinyls.jpg/revision/latest?cb=20200129200244,
Power Rangers,Kishiryu Sentai Ryusoulger,Roleplay Items,Bandai,2019,Roleplay Items,Big Size Soft Vinyl Figures,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Ryusoulger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/70/KSR_bigred.jpg/revision/latest?cb=20200210154801,
Power Rangers,Kishiryu Sentai Ryusoulger,Roleplay Items,Bandai,2019,Roleplay Items,Desktop Heroes,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Ryusoulger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/9/9c/KSR_MP-01.jpg/revision/latest?cb=20200210212521,
Power Rangers,Kishiryu Sentai Ryusoulger,Roleplay Items,Bandai,2019,Roleplay Items,Ryusoul Change Items,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Ryusoulger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/e/e3/KSR_ryusoulkit.jpg/revision/latest?cb=20200210215737,
Power Rangers,Kishiryu Sentai Ryusoulger,Roleplay Items,Bandai,2019,Roleplay Items,Ryusoulger Keychains,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Ryusoulger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/8/8e/Ryusoul_plushies.jpg/revision/latest?cb=20200123202526,
Power Rangers,Kishiryu Sentai Ryusoulger,Roleplay Items,Bandai,2019,Roleplay Items,Real Change! Ryusoulger,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Ryusoulger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/4/4a/Ryusoul_gashapon11.jpg/revision/latest?cb=20200304192139,
Power Rangers,Kishiryu Sentai Ryusoulger,Roleplay Items,Bandai,2019,Roleplay Items,GP RyuSouls,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Ryusoulger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/8/8d/Ryusoul_gashapon09.jpg/revision/latest?cb=20200304193609,
Power Rangers,Kishiryu Sentai Ryusoulger,Roleplay Items,Bandai,2019,Roleplay Items,Posable RyuSouls,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Ryusoulger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/9/9a/Ryusoul_gashapon06.jpg/revision/latest?cb=20200304203415,
Power Rangers,Kishiryu Sentai Ryusoulger,Roleplay Items,Bandai,2019,Roleplay Items,Gashapon Moveable Transforming Kishiryu,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Ryusoulger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/9/93/Ryusoul_gashapon04.jpg/revision/latest?cb=20200304194839,
