franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Dino Super Charge,Power Rangers Dino Super Charge,Bandai,2016,"12"" Scale",Black Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59207&figure=blackranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinosupercharge/thumb_BlackRanger-12Scale-Front.jpg
Power Rangers,Power Rangers Dino Super Charge,Power Rangers Dino Super Charge,Bandai,2016,"12"" Scale",Blue Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59208&figure=blueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinosupercharge/thumb_BlueRanger-12Scale-1.jpg
Power Rangers,Power Rangers Dino Super Charge,Power Rangers Dino Super Charge,Bandai,2016,"12"" Scale",Dino Drive Black Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59209&figure=dinodriveblackranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinosupercharge/thumb_BlackRanger-DinoDrive-12Scale-1.jpg
Power Rangers,Power Rangers Dino Super Charge,Power Rangers Dino Super Charge,Bandai,2016,"12"" Scale",Dino Drive Blue Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59210&figure=dinodriveblueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinosupercharge/thumb_BlueRanger-DinoDrive-12Scale-Front.jpg
Power Rangers,Power Rangers Dino Super Charge,Power Rangers Dino Super Charge,Bandai,2016,"12"" Scale",Dino Drive Green Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59211&figure=dinodrivegreenranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinosupercharge/thumb_GreenRanger-DinoDrive-12Scale-1.jpg
Power Rangers,Power Rangers Dino Super Charge,Power Rangers Dino Super Charge,Bandai,2016,"12"" Scale",Dino Drive Red Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59212&figure=dinodriveredranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinosupercharge/thumb_RedRanger-DinoDrive-12Scale-1.jpg
Power Rangers,Power Rangers Dino Super Charge,Power Rangers Dino Super Charge,Bandai,2016,"12"" Scale",Gold Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59213&figure=goldranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinosupercharge/thumb_GoldRanger-12Scale-1.jpg
Power Rangers,Power Rangers Dino Super Charge,Power Rangers Dino Super Charge,Bandai,2016,"12"" Scale",Green Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59214&figure=greenranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinosupercharge/thumb_GreenRanger-12Scale-Front.jpg
Power Rangers,Power Rangers Dino Super Charge,Power Rangers Dino Super Charge,Bandai,2016,"12"" Scale",Purple Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59215&figure=purpleranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinosupercharge/thumb_PurpleRanger-12Scale-1.jpg
Power Rangers,Power Rangers Dino Super Charge,Power Rangers Dino Super Charge,Bandai,2016,"12"" Scale",Red Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59216&figure=redranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinosupercharge/thumb_RedRanger-12Scale-1.jpg
