franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Bakuryuu Sentai Abaranger,Roleplay Items,Bandai,2003,Roleplay Items,AbareKiller &amp; TopGaler Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Abaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/f/f0/BSA_dinobrace.jpg/revision/latest/scale-to-width-down/180?cb=20200224213733,
Power Rangers,Bakuryuu Sentai Abaranger,Roleplay Items,Bandai,2003,Roleplay Items,AbareMax &amp; Styracosaurus Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Abaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/4/4f/BSA_AMset.jpg/revision/latest/scale-to-width-down/180?cb=20200206192113,
Power Rangers,Bakuryuu Sentai Abaranger,Roleplay Items,Bandai,2003,Roleplay Items,Sound Warriors,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Abaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/f/fa/BSA_soundsenshi.jpg/revision/latest/scale-to-width-down/180?cb=20200224222022,
Power Rangers,Bakuryuu Sentai Abaranger,Roleplay Items,Bandai,2003,Roleplay Items,Twin Sets,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Abaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/cc/Abaranger_Sentai_Vinyl_Figure.png/revision/latest/scale-to-width-down/180?cb=20170211103547,
Power Rangers,Bakuryuu Sentai Abaranger,Roleplay Items,Bandai,2003,Roleplay Items,AbaRed Super Large Figure,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Abaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/5/5d/BSA_chodekafigure.jpg/revision/latest/scale-to-width-down/180?cb=20200206145838,
Power Rangers,Bakuryuu Sentai Abaranger,Roleplay Items,Bandai,2003,Roleplay Items,Big Sized Soft Vinyls,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Abaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/5/51/BSA_bigsofubi.jpg/revision/latest/scale-to-width-down/180?cb=20200219025637,
Power Rangers,Bakuryuu Sentai Abaranger,Roleplay Items,Bandai,2003,Roleplay Items,HG Abranger: Limited Edition,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Abaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/5/53/BSA_MPabarenoh.jpg/revision/latest/scale-to-width-down/180?cb=20200206200849,
Power Rangers,Bakuryuu Sentai Abaranger,Roleplay Items,Bandai,2003,Roleplay Items,Special Brachio Box,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Abaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/7d/BSA_bakuryucampaign.jpg/revision/latest/scale-to-width-down/180?cb=20200225152114,
Power Rangers,Bakuryuu Sentai Abaranger,Roleplay Items,Bandai,2003,Roleplay Items,AbarenOh Black Version,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Abaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/f/fb/BSA_firenokodon.jpg/revision/latest/scale-to-width-down/180?cb=20200224221637,
Power Rangers,Bakuryuu Sentai Abaranger,Roleplay Items,Bandai,2003,Roleplay Items,Gold Plated MaxOhja,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Abaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/d/d5/BSA_goldohja.jpg/revision/latest/scale-to-width-down/180?cb=20200224221542,
Power Rangers,Bakuryuu Sentai Abaranger,DX Mecha,Bandai,2003,DX Mecha,Dino Plate Guts Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Abaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/e/e0/BSA_dinoplateset.jpg/revision/latest/scale-to-width-down/180?cb=20200316212218,
Power Rangers,Bakuryuu Sentai Abaranger,DX Mecha,Bandai,2003,DX Mecha,CharaWheels Ultimate Edition Vol. 1: Abaranger,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Abaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/9/9a/BSA_charawheels.jpg/revision/latest/scale-to-width-down/180?cb=20200206194931,
Power Rangers,Bakuryuu Sentai Abaranger,DX Mecha,Bandai,2003,DX Mecha,Rangers Strike Solid,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Abaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/9/9f/BSA_rijeGIU.jpg/revision/latest?cb=20200206164524,
