franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Dino Thunder,Power Rangers Dino Thunder,Bandai,2015,"12"" Scale",Black Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59736&figure=blackranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinocharge/thumb_BlackRanger-12Scale-1.jpg
Power Rangers,Power Rangers Dino Thunder,Power Rangers Dino Thunder,Bandai,2015,"12"" Scale",Blue Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59734&figure=blueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinocharge/thumb_BlueRanger-12Scale-Front.jpg
Power Rangers,Power Rangers Dino Thunder,Power Rangers Dino Thunder,Bandai,2015,"12"" Scale",Gold Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59737&figure=goldranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinocharge/thumb_GoldRanger-12Scale-1.jpg
Power Rangers,Power Rangers Dino Thunder,Power Rangers Dino Thunder,Bandai,2015,"12"" Scale",Green Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59735&figure=greenranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinocharge/thumb_GreenRanger-12Scale-1.jpg
Power Rangers,Power Rangers Dino Thunder,Power Rangers Dino Thunder,Bandai,2015,"12"" Scale",Red Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59733&figure=redranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinocharge/thumb_RedRanger-12Scale-Front.jpg
Power Rangers,Power Rangers Dino Thunder,Power Rangers Dino Thunder,Bandai,2015,"12"" Scale",Villain Fury,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59738&figure=villainfury,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinocharge/thumb_VillainFury-12Scale-1.jpg
Power Rangers,Power Rangers Dino Thunder,Power Rangers Dino Thunder,Bandai,2015,Action Heroes,Black Ranger Action Hero,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59753&figure=blackrangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinocharge/thumb_BlackRanger-ActionHero-1.jpg
Power Rangers,Power Rangers Dino Thunder,Power Rangers Dino Thunder,Bandai,2015,Action Heroes,Blue Ranger Action Hero,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59750&figure=bluerangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinocharge/thumb_BlueRanger-ActionHero-1.jpg
Power Rangers,Power Rangers Dino Thunder,Power Rangers Dino Thunder,Bandai,2015,Action Heroes,Gold Ranger Action Hero,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59757&figure=goldrangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinocharge/thumb_GoldRanger-ActionHero-Front.jpg
Power Rangers,Power Rangers Dino Thunder,Power Rangers Dino Thunder,Bandai,2015,Action Heroes,Graphite Ranger Action Hero,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59758&figure=graphiterangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersdinocharge/thumb_GraphiteRanger-ActionHero-Front.jpg
