franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers In Space,Power Rangers In Space,Bandai,1997,Action Zords,Astro Megaship,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=46965&figure=astromegaship3122,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersinspace/thumb_AstroMegaship-3122-Front.jpg
Power Rangers,Power Rangers In Space,Power Rangers In Space,Bandai,1997,Action Zords,Astro Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=46964&figure=astromegazord3121,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersinspace/thumb_AstroMegazord-3121-Front.jpg
Power Rangers,Power Rangers In Space,Power Rangers In Space,Bandai,1997,Action Zords,Delta Magazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=46967&figure=deltamagazord3124,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersinspace/thumb_DeltaMegazord-3124-Front.jpg
Power Rangers,Power Rangers In Space,Power Rangers In Space,Bandai,1997,Action Zords,Mega Tank,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=46966&figure=megatank3123,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_6329.jpg?w=309
Power Rangers,Power Rangers In Space,Power Rangers In Space,Bandai,1997,Action Zords,Mega Winger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=46968&figure=megawinger3126,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersinspace/thumb_MegaWinger1-3126.jpg
Power Rangers,Power Rangers In Space,Power Rangers In Space,Bandai,1997,Astro Armor,Astro Power Ranger Space Pack,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47014&figure=astropowerrangerspacepack3246,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersinspace/thumb_SpacePack-Front.jpg
Power Rangers,Power Rangers In Space,Power Rangers In Space,Bandai,1997,Astro Armor,Black Astro Armor Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=46980&figure=blackastroarmorranger3152,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_6251.jpg?w=280
Power Rangers,Power Rangers In Space,Power Rangers In Space,Bandai,1997,Astro Armor,Blue Astro Armor Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=46981&figure=blueastroarmorranger3153,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_6255.jpg?w=177
Power Rangers,Power Rangers In Space,Power Rangers In Space,Bandai,1997,Astro Armor,Pink Astro Armor Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=46983&figure=pinkastroarmorranger3155,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_6254.jpg?w=289
Power Rangers,Power Rangers In Space,Power Rangers In Space,Bandai,1997,Astro Armor,Red Astro Armor Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=46979&figure=redastroarmorranger3151,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_6261.jpg?w=327
Power Rangers,Power Rangers In Space,Power Rangers In Space,Bandai,1997,Astro Armor,Yellow Astro Armor Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=46982&figure=yellowastroarmorranger3154,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_6262.jpg?w=631
Power Rangers,Power Rangers In Space,Power Rangers In Space,Bandai,1997,Astro Team Packs,Black Ranger / Mega Tank,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47016&figure=blackrangermegatank3248,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersinspace/thumb_BlackMegaTank-Team-Front.jpg
