franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Denji Sentai Megaranger,Roleplay Items,Bandai,1997,Roleplay Items,Transformation Brace Degitaizer,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Megaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/2/2c/DSM_degitaizer.jpg/revision/latest/scale-to-width-down/180?cb=20200221152808,
Power Rangers,Denji Sentai Megaranger,Roleplay Items,Bandai,1997,Roleplay Items,MegaSniper Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Megaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/c2/DSM_megasniperset.jpg/revision/latest/scale-to-width-down/180?cb=20200221153126,
Power Rangers,Denji Sentai Megaranger,Roleplay Items,Bandai,1997,Roleplay Items,DrillSaber,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Megaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/f/f1/DSM_drillsaber.jpg/revision/latest/scale-to-width-down/180?cb=20200221153154,
Power Rangers,Denji Sentai Megaranger,Roleplay Items,Bandai,1997,Roleplay Items,MultiAttack Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Megaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/d/da/DSM_multiattack.jpg/revision/latest/scale-to-width-down/180?cb=20200221153220,
Power Rangers,Denji Sentai Megaranger,Roleplay Items,Bandai,1997,Roleplay Items,Fighting Brace Battleraizer,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Megaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/1/1f/DSM_battleraizer.jpg/revision/latest/scale-to-width-down/180?cb=20200221153243,
Power Rangers,Denji Sentai Megaranger,Roleplay Items,Bandai,1997,Roleplay Items,Keitaizer,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Megaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/e/ea/DSM_keitaizer.jpg/revision/latest/scale-to-width-down/180?cb=20200221153309,
Power Rangers,Denji Sentai Megaranger,Roleplay Items,Bandai,1997,Roleplay Items,SilverBlazer,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Megaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/c9/DSM_silverblazer.jpg/revision/latest/scale-to-width-down/180?cb=20200221153351,
Power Rangers,Denji Sentai Megaranger,DX Mecha,Bandai,1997,DX Mecha,Denji Sentai Megaranger Super Sentai Artisan Degitaizer &amp; Battleraizer -Megareal Edition-,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Megaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/4/40/SSA_degitaizer_and_battleraizer.jpg/revision/latest/scale-to-width-down/180?cb=20200221153621,
Power Rangers,Denji Sentai Megaranger,DX Mecha,Bandai,1997,DX Mecha,Denji Sentai Megaranger Super Sentai Artisan Keitaizer -MEGAREAL EDITION-,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Megaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/1/11/SSA_keitaizer.jpg/revision/latest/scale-to-width-down/180?cb=20200221153830,
Power Rangers,Denji Sentai Megaranger,DX Mecha,Bandai,1997,DX Mecha,Galactic Combination DX Mega Voyager,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Megaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/63/1997_megavoyager.png/revision/latest/scale-to-width-down/180?cb=20200316190054,
Power Rangers,Denji Sentai Megaranger,DX Mecha,Bandai,1997,DX Mecha,Electric Transformation DX Mega Winger,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Megaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/68/1997_megawinger.png/revision/latest/scale-to-width-down/180?cb=20200316190110,
Power Rangers,Denji Sentai Megaranger,DX Mecha,Bandai,1997,DX Mecha,DX Popinica Degitank,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Megaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/cf/DSM_DXdegitank.jpg/revision/latest/scale-to-width-down/180?cb=20200228212227,
