franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Jungle Fury,Power Rangers Jungle Fury,Bandai,2008,Adventure Sets,Battle Fury Adventure Set,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61399&figure=battlefuryadventureset,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersjunglefury/thumb_BattleFury-AdventureSet-Front.jpg
Power Rangers,Power Rangers Jungle Fury,Power Rangers Jungle Fury,Bandai,2008,Adventure Sets,Jungle Battle Adventure Set,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61400&figure=junglebattleadventureset,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersjunglefury/thumb_JungleBattle-AdventureSet-Front.jpg
Power Rangers,Power Rangers Jungle Fury,Power Rangers Jungle Fury,Bandai,2008,Adventure Sets,Jungle Fury Adventure Set,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61401&figure=junglefuryadventureset,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersjunglefury/thumb_JungleFury-AdventureSet-Front.jpg
Power Rangers,Power Rangers Jungle Fury,Power Rangers Jungle Fury,Bandai,2008,Adventure Sets,Jungle Master Adventure Set,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61397&figure=junglemasteradventureset,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9448.jpg?w=326
Power Rangers,Power Rangers Jungle Fury,Power Rangers Jungle Fury,Bandai,2008,Adventure Sets,Wild Jungle Adventure Set,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61398&figure=wildjungleadventureset,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9449.jpg?w=336
Power Rangers,Power Rangers Jungle Fury,Power Rangers Jungle Fury,Bandai,2008,Animalized,Animalized Antelope Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61324&figure=animalizedanteloperanger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9319-1.jpg?w=295
Power Rangers,Power Rangers Jungle Fury,Power Rangers Jungle Fury,Bandai,2008,Animalized,Animalized Bat Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61322&figure=animalizedbatranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9317-1.jpg?w=288
Power Rangers,Power Rangers Jungle Fury,Power Rangers Jungle Fury,Bandai,2008,Animalized,Animalized Gorilla Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61323&figure=animalizedgorillaranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9318.jpg?w=287
Power Rangers,Power Rangers Jungle Fury,Power Rangers Jungle Fury,Bandai,2008,Animalized,Battlized Animalized Elephant Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61320&figure=battlizedanimalizedelephantranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersjunglefury/thumb_ElephantRanger-Animalized-Front.jpg
Power Rangers,Power Rangers Jungle Fury,Power Rangers Jungle Fury,Bandai,2008,Animalized,Battlized Animalized Jaguar Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61319&figure=battlizedanimalizedjaguarranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersjunglefury/thumb_JaguarRanger-Animalized-Front.jpg
Power Rangers,Power Rangers Jungle Fury,Power Rangers Jungle Fury,Bandai,2008,Animalized,Battlized Animalized Shark Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61321&figure=battlizedanimalizedsharkranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersjunglefury/thumb_SharkRanger-Animalized-Front.jpg
Power Rangers,Power Rangers Jungle Fury,Power Rangers Jungle Fury,Bandai,2008,Animalized,Battlized Animalized Tiger Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61318&figure=battlizedanimalizedtigerranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersjunglefury/thumb_TigerRanger-Animalized-Front.jpg
Power Rangers,Power Rangers Jungle Fury,Power Rangers Jungle Fury,Bandai,2008,Animorphin,Deluxe Animorphin Antelope Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61338&figure=deluxeanimorphinanteloperanger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersjunglefury/thumb_AntelopeRanger-Animorphin-Front.jpg
Power Rangers,Power Rangers Jungle Fury,Power Rangers Jungle Fury,Bandai,2008,Animorphin,Deluxe Animorphin Gorilla Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61335&figure=deluxeanimorphingorillaranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersjunglefury/thumb_GorillaRanger-Animorphin-Front.jpg
Power Rangers,Power Rangers Jungle Fury,Power Rangers Jungle Fury,Bandai,2008,Animorphin,Deluxe Animorphin Jungle Master Bat Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61339&figure=deluxeanimorphinjunglemasterbatranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersjunglefury/thumb_JungleMasterBatRanger-Animorphin-Front.jpg
