franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Lightspeed Rescue,Power Rangers Lightspeed Rescue,Bandai,1998,Action Zords,Astro Megaship,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47048&figure=astromegaship3122,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerslostgalaxy/thumb_AstroMegaship-Action-Front.jpg
Power Rangers,Power Rangers Lightspeed Rescue,Power Rangers Lightspeed Rescue,Bandai,1998,Action Zords,Centaurus Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47052&figure=centaurusmegazord4258,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerslostgalaxy/thumb_CentaurusMegazord-Action-Front.jpg
Power Rangers,Power Rangers Lightspeed Rescue,Power Rangers Lightspeed Rescue,Bandai,1998,Action Zords,Defender Torozord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=20548&figure=defendertorozord4261,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerslostgalaxy/thumb_ToroZord1.jpg
Power Rangers,Power Rangers Lightspeed Rescue,Power Rangers Lightspeed Rescue,Bandai,1998,Action Zords,Galaxy Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47050&figure=galaxymegazord4256,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerslostgalaxy/thumb_GalaxyMegazord-Action-Front.jpg
Power Rangers,Power Rangers Lightspeed Rescue,Power Rangers Lightspeed Rescue,Bandai,1998,Action Zords,Mega Winger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47049&figure=megawinger3126,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerslostgalaxy/thumb_MegaWinger-Action-Front.jpg
Power Rangers,Power Rangers Lightspeed Rescue,Power Rangers Lightspeed Rescue,Bandai,1998,Action Zords,Stratoforce Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47053&figure=stratoforcemegazord4259,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerslostgalaxy/thumb_StratoforceMegazord-Action-Front.jpg
Power Rangers,Power Rangers Lightspeed Rescue,Power Rangers Lightspeed Rescue,Bandai,1998,Action Zords,Torozord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47051&figure=torozord4257,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerslostgalaxy/thumb_Torozord-Action-Front.jpg
Power Rangers,Power Rangers Lightspeed Rescue,Power Rangers Lightspeed Rescue,Bandai,1998,Armored,Blue Armored Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47078&figure=bluearmoredpowerranger4313,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerslostgalaxy/thumb_Blue-Armored-Front.jpg
Power Rangers,Power Rangers Lightspeed Rescue,Power Rangers Lightspeed Rescue,Bandai,1998,Armored,Green Armored Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47077&figure=greenarmoredpowerranger4312,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerslostgalaxy/thumb_Green-Armored-Front.jpg
Power Rangers,Power Rangers Lightspeed Rescue,Power Rangers Lightspeed Rescue,Bandai,1998,Armored,Red Armored Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47076&figure=redarmoredpowerranger4311,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerslostgalaxy/thumb_Red-Armored-Front.jpg
