franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Kyuukyuu Sentai GoGoFive,Roleplay Items,Bandai,1999,Roleplay Items,GoGo Brace,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/GoGoFive_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/5/50/GGV_gogobrace.png/revision/latest/scale-to-width-down/180?cb=20200221173944,
Power Rangers,Kyuukyuu Sentai GoGoFive,Roleplay Items,Bandai,1999,Roleplay Items,V Mode Brace,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/GoGoFive_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/e/ed/GGV_vmodebrace.png/revision/latest/scale-to-width-down/180?cb=20200221174005,
Power Rangers,Kyuukyuu Sentai GoGoFive,Roleplay Items,Bandai,1999,Roleplay Items,Five Laser,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/GoGoFive_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/8/86/GGV_fivelaser.jpg/revision/latest/scale-to-width-down/180?cb=20200221173720,
Power Rangers,Kyuukyuu Sentai GoGoFive,Roleplay Items,Bandai,1999,Roleplay Items,V Lancer,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/GoGoFive_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/c4/GGV_fivelancer.png/revision/latest/scale-to-width-down/180?cb=20200221173657,
Power Rangers,Kyuukyuu Sentai GoGoFive,Roleplay Items,Bandai,1999,Roleplay Items,Go Blaster,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/GoGoFive_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/73/GGV_goblaster.jpg/revision/latest/scale-to-width-down/180?cb=20200221173645,
Power Rangers,Kyuukyuu Sentai GoGoFive,Roleplay Items,Bandai,1999,Roleplay Items,Tranforming Multifunction Tool Life Bird,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/GoGoFive_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/f/f0/GGV_lifebird.jpg/revision/latest/scale-to-width-down/180?cb=20200221173506,
Power Rangers,Kyuukyuu Sentai GoGoFive,Roleplay Items,Bandai,1999,Roleplay Items,GoGo Attache,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/GoGoFive_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/a/a5/GGV_attache.jpg/revision/latest/scale-to-width-down/180?cb=20200307030427,
Power Rangers,Kyuukyuu Sentai GoGoFive,DX Mecha,Bandai,1999,DX Mecha,Emergency Combination DX Chogokin Victory Robo,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/GoGoFive_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/3/38/1999_victoryrobo.png/revision/latest/scale-to-width-down/180?cb=20200316194658,
Power Rangers,Kyuukyuu Sentai GoGoFive,DX Mecha,Bandai,1999,DX Mecha,Coupling Combination DX Grand Liner,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/GoGoFive_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/d/d0/1999_grandliner.png/revision/latest/scale-to-width-down/180?cb=20200316194744,
Power Rangers,Kyuukyuu Sentai GoGoFive,DX Mecha,Bandai,1999,DX Mecha,Express Armament DX Liner Boy,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/GoGoFive_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/b/b4/1999_maxliner.png/revision/latest/scale-to-width-down/180?cb=20200316194810,
