franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Lost Galaxy,Power Rangers Lost Galaxy,Bandai,2013,Armored,Armored Mighty Morphin Red Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60532&figure=armoredmightymorphinredranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/09/img_6652.jpg?w=286
Power Rangers,Power Rangers Lost Galaxy,Power Rangers Lost Galaxy,Bandai,2013,Armored,Armored Mighty Morphin White Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60535&figure=armoredmightymorphinwhiteranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmegaforce/thumb_ArmoredMightyMorphinWhiteRanger-Front.jpg
Power Rangers,Power Rangers Lost Galaxy,Power Rangers Lost Galaxy,Bandai,2013,Armored,Armored Robo Knight Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60534&figure=armoredroboknightpowerranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmegaforce/thumb_ArmoredRoboKnightPowerRanger-Front.jpg
Power Rangers,Power Rangers Lost Galaxy,Power Rangers Lost Galaxy,Bandai,2013,Armored,Armored Ultra Mode Blue Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60533&figure=armoredultramodeblueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmegaforce/thumb_ArmoredUltraModeBlueRanger-Front.jpg
Power Rangers,Power Rangers Lost Galaxy,Power Rangers Lost Galaxy,Bandai,2013,Armored,Armored Ultra Mode Red Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60531&figure=armoredultramoderedranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmegaforce/thumb_ArmoredUltraModeRedRanger-Front.jpg
Power Rangers,Power Rangers Lost Galaxy,Power Rangers Lost Galaxy,Bandai,2013,Basic Series,Black Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60493&figure=blackranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmegaforce/thumb_BlackRanger-Front.jpg
Power Rangers,Power Rangers Lost Galaxy,Power Rangers Lost Galaxy,Bandai,2013,Basic Series,Black Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60550&figure=blackranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmegaforce/thumb_BlackRanger-88623-Front.jpg
Power Rangers,Power Rangers Lost Galaxy,Power Rangers Lost Galaxy,Bandai,2013,Basic Series,Blue Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60492&figure=blueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmegaforce/thumb_BlueRanger-Front.jpg
Power Rangers,Power Rangers Lost Galaxy,Power Rangers Lost Galaxy,Bandai,2013,Basic Series,Blue Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60549&figure=blueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmegaforce/thumb_BlueRanger-88622-Front.jpg
Power Rangers,Power Rangers Lost Galaxy,Power Rangers Lost Galaxy,Bandai,2013,Basic Series,Limited Edition Green Dragon Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60530&figure=limitededitiongreendragonranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmegaforce/thumb_LimitedEditionGreenDragonRanger-SDCC-Front.jpg
Power Rangers,Power Rangers Lost Galaxy,Power Rangers Lost Galaxy,Bandai,2013,Basic Series,Loogie,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60497&figure=loogie,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmegaforce/thumb_Loogie-Front.jpg
Power Rangers,Power Rangers Lost Galaxy,Power Rangers Lost Galaxy,Bandai,2013,Basic Series,Metallic Force Black Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60501&figure=metallicforceblackranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmegaforce/thumb_MetallicForceBlackRanger-Front.jpg
Power Rangers,Power Rangers Lost Galaxy,Power Rangers Lost Galaxy,Bandai,2013,Basic Series,Metallic Force Blue Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60500&figure=metallicforceblueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmegaforce/thumb_MetallicForceBlueRanger-Front.jpg
Power Rangers,Power Rangers Lost Galaxy,Power Rangers Lost Galaxy,Bandai,2013,Basic Series,Metallic Force Mighty Morphin Red Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60505&figure=metallicforcemightymorphinredranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmegaforce/thumb_MetallicForceMightyMorphinRedRanger-1.jpg
Power Rangers,Power Rangers Lost Galaxy,Power Rangers Lost Galaxy,Bandai,2013,Basic Series,Metallic Force Mighty Morphin White Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60511&figure=metallicforcemightymorphinwhiteranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmegaforce/thumb_MetallicForceMightyMorphinWhiteRanger-Front.jpg
