franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Seijuu Sentai Gingaman,Roleplay Items,Bandai,1998,Roleplay Items,Warrior Bracelets Ginga Brace,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gingaman_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/7b/SSG_gingabrace.png/revision/latest/scale-to-width-down/180?cb=20200221163604,
Power Rangers,Seijuu Sentai Gingaman,Roleplay Items,Bandai,1998,Roleplay Items,Mechanical Blade Kiba,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gingaman_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/3/34/SSG_kiba.jpg/revision/latest/scale-to-width-down/180?cb=20200221163138,
Power Rangers,Seijuu Sentai Gingaman,Roleplay Items,Bandai,1998,Roleplay Items,Beast Attack Rods,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gingaman_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/6c/SSG_juugekibou.jpg/revision/latest/scale-to-width-down/180?cb=20200221163359,
Power Rangers,Seijuu Sentai Gingaman,Roleplay Items,Bandai,1998,Roleplay Items,Beast Armor Shine Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gingaman_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/5/59/SSG_juusoukou.jpg/revision/latest/scale-to-width-down/180?cb=20200221163305,
Power Rangers,Seijuu Sentai Gingaman,Roleplay Items,Bandai,1998,Roleplay Items,Bull Riot,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gingaman_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/e/ef/SSG_bullriot.jpg/revision/latest/scale-to-width-down/180?cb=20200221163447,
Power Rangers,Seijuu Sentai Gingaman,Roleplay Items,Bandai,1998,Roleplay Items,Starbeast Combination DX Chogokin GingaiOh,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gingaman_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/9/91/1998_gingaioh1.png/revision/latest/scale-to-width-down/180?cb=20200316182147,
Power Rangers,Seijuu Sentai Gingaman,Roleplay Items,Bandai,1998,Roleplay Items,Beast Warrior Combination DX Chogokin BullTaurus,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gingaman_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/cf/1998_bulltaurus.png/revision/latest/scale-to-width-down/180?cb=20200316182215,
Power Rangers,Seijuu Sentai Gingaman,DX Mecha,Bandai,1998,DX Mecha,Starbeast Combination DX Chogokin GigaPhoenix,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gingaman_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/e/e7/1998_gigaphoenix.png/revision/latest/scale-to-width-down/180?cb=20200316182247,
Power Rangers,Seijuu Sentai Gingaman,DX Mecha,Bandai,1998,DX Mecha,Starbeast Combination DX Chogokin GigaRhinos,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gingaman_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/b/b8/1998_gigarhinos.png/revision/latest/scale-to-width-down/180?cb=20200316182312,
Power Rangers,Seijuu Sentai Gingaman,DX Mecha,Bandai,1998,DX Mecha,Super Starbeast Stronghold GigaBitus,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gingaman_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/1/1b/1998_gigabitus.png/revision/latest/scale-to-width-down/180?cb=20200316182330,
Power Rangers,Seijuu Sentai Gingaman,DX Mecha,Bandai,1998,DX Mecha,Galactic Battle Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gingaman_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/d/d2/1998_gingaioh2.png/revision/latest/scale-to-width-down/180?cb=20200316182344,
Power Rangers,Seijuu Sentai Gingaman,DX Mecha,Bandai,1998,DX Mecha,Starbeast Combination DX Chogokin  GingaiOh Black Version,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gingaman_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/73/SSG_blackgingaioh.jpg/revision/latest/scale-to-width-down/180?cb=20200221165216,
Power Rangers,Seijuu Sentai Gingaman,DX Mecha,Bandai,1998,DX Mecha,HG Series: Seiju Sentai Gingaman,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gingaman_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/8/8d/Toys-1998-01.jpg/revision/latest/scale-to-width-down/180?cb=20180617213817,
Power Rangers,Seijuu Sentai Gingaman,DX Mecha,Bandai,1998,DX Mecha,Gold Plated Gingaioh,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gingaman_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/3/3f/SSG_goldgingaioh.jpg/revision/latest/scale-to-width-down/180?cb=20200228210211,
