franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Tensou Sentai Goseiger,Roleplay Items,Bandai,2010,Roleplay Items,Gosei Header Series: Tensou Combination DX Gosei Great,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Goseiger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/8/8f/TSG_roleplayset.jpg/revision/latest/scale-to-width-down/180?cb=20200217192013,
Power Rangers,Tensou Sentai Goseiger,Roleplay Items,Bandai,2010,Roleplay Items,Gosei Header Series: DX Datas Hyper,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Goseiger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/6e/TSG_DXdatas.jpg/revision/latest/scale-to-width-down/180?cb=20200217175054,
Power Rangers,Tensou Sentai Goseiger,Roleplay Items,Bandai,2010,Roleplay Items,Gosei Header Series: Tensou Combination DX Gosei Ground,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Goseiger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/1/10/TSG_DXground.jpg/revision/latest/scale-to-width-down/180?cb=20200217175504,
Power Rangers,Tensou Sentai Goseiger,Roleplay Items,Bandai,2010,Roleplay Items,Gosei Header Series: Tensou Combination DX Gosei Ultimate,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Goseiger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/78/TSG_DXultimate.jpg/revision/latest/scale-to-width-down/180?cb=20200217175013,
Power Rangers,Tensou Sentai Goseiger,Roleplay Items,Bandai,2010,Roleplay Items,Gosei Header Series: Seaick Brothers Set,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Goseiger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/1/15/TSG_seaickset.jpg/revision/latest/scale-to-width-down/180?cb=20200217175525,
Power Rangers,Tensou Sentai Goseiger,Roleplay Items,Bandai,2010,Roleplay Items,Gosei Header Series: Landick Brothers Set,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Goseiger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/68/TSG_landickset.jpg/revision/latest/scale-to-width-down/180?cb=20200217175535,
Power Rangers,Tensou Sentai Goseiger,Roleplay Items,Bandai,2010,Roleplay Items,Gosei Header Series: Skick Brothers Set,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Goseiger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/a/ac/TSG_skickset.jpg/revision/latest/scale-to-width-down/180?cb=20200217175546,
Power Rangers,Tensou Sentai Goseiger,Roleplay Items,Bandai,2010,Roleplay Items,Gosei Header Series: Mystic Brothers Set,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Goseiger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/5/58/TSG_DXmystic.jpg/revision/latest/scale-to-width-down/180?cb=20200217175448,
Power Rangers,Tensou Sentai Goseiger,Roleplay Items,Bandai,2010,Roleplay Items,Gosei Header Series: Gosei Wonder,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Goseiger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/a/a2/TSG_DXwonder.jpg/revision/latest/scale-to-width-down/180?cb=20200217175558,
Power Rangers,Tensou Sentai Goseiger,Roleplay Items,Bandai,2010,Roleplay Items,Tensou Sentai Goseiger Sound Warriors,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Goseiger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/9/92/TSG_soundsenshi.jpg/revision/latest/scale-to-width-down/180?cb=20200217193841,
Power Rangers,Tensou Sentai Goseiger,DX Mecha,Bandai,2010,DX Mecha,Softvi Hero,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Goseiger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/c4/SHFGoseiKnight.jpg/revision/latest/scale-to-width-down/180?cb=20190515014859,
Power Rangers,Tensou Sentai Goseiger,DX Mecha,Bandai,2010,DX Mecha,HDM,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Goseiger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/5/59/TSG_HDM.jpg/revision/latest/scale-to-width-down/180?cb=20200207193707,
Power Rangers,Tensou Sentai Goseiger,DX Mecha,Bandai,2010,DX Mecha,DX Soft Vinyl Figures,modern,RangerWiki,https://powerrangers.fandom.com/wiki/Goseiger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/5/5f/TSG_DXsofubi.jpg/revision/latest/scale-to-width-down/180?cb=20200207201335,
