franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,Bandai,1993,"8"" Scale",Billy (Blue Ranger) #2200,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12351&figure=billyblueranger2200,,,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_3728.jpg?w=218
Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,Bandai,1993,"8"" Scale",Jason (Red Ranger) #2200,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12352&figure=jasonredranger2200,,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_JasonRedRanger-8.jpg,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_3727.jpg?w=196
Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,Bandai,1993,"8"" Scale",Kimberly (Pink Ranger) #2200,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12353&figure=kimberlypinkranger2200,,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_Kimberly1-8.jpg,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_3729.jpg?w=222
Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,Bandai,1995,"8"" Scale",Special Edition Gold Team (White & Green Rangers),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12354&figure=specialeditiongoldteamwhiteampgreenrangers,,,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_GoldTeamSE-8-Front.jpg
Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,Bandai,1993,"8"" Scale",Trini (Yellow Ranger) #2200,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12355&figure=triniyellowranger2200,,,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_3730.jpg?w=501
Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,Bandai,1993,"8"" Scale",Zack (Black Ranger) #2200,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12356&figure=zackblackranger2200,,,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_3714.jpg?w=248
Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,Bandai,1994,Accessories,Power Claws (Red Ranger Vehicle) #2235,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12369&figure=powerclawsredrangervehicle2235,,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_PowerClaws.jpg,
Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,Bandai,1994,Accessories,Power Dome Morphin Playset #2290,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12370&figure=powerdomemorphinplayset2290,,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_PowerDome.jpg,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_3934-1.jpg?w=629
Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,Bandai,1996,Alien Rangers,Black Ranger #2673,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12371&figure=blackranger2673,,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_BlackRanger1-Alien.jpg,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_BlackRanger-Alien-Front.jpg
Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,Bandai,1996,Alien Rangers,Blue Ranger #2674,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12372&figure=blueranger2674,,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_BlueRanger1-Alien.jpg,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_BlueRanger-Alien-Front.jpg
Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,Bandai,1996,Alien Rangers,Red Ranger #2671,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12373&figure=redranger2671,,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_RedRanger1-Alien.jpg,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_RedRanger-Alien-Front.jpg
Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,Bandai,1996,Alien Rangers,White Ranger #2672,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12374&figure=whiteranger2672,,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_WhiteRanger1-Alien.jpg,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_WhiteRanger-Alien-Front.jpg
Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,Bandai,1996,Alien Rangers,Yellow Ranger #2675,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12375&figure=yellowranger2675,,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_YellowRanger1-Alien.jpg,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_YellowRanger-Alien-Front.jpg
Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,Bandai,1994,Auto Morphin - Series 1,Black Ranger Zack #2313,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12376&figure=blackrangerzack2313,,,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_Zack-AutoMorphin-Front.jpg
Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,Bandai,1994,Auto Morphin - Series 1,Blue Ranger Billy #2315,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12377&figure=bluerangerbilly2315,,,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_Billy-AutoMorphin-Front.jpg
