franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Mystic Force,Power Rangers Mystic Force,Bandai,1995,"8"" Scale",Black Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40964&figure=blackranger2433,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphinmovie/thumb_BlackRanger-Movie8Scale-Front.jpg
Power Rangers,Power Rangers Mystic Force,Power Rangers Mystic Force,Bandai,1995,"8"" Scale",Blue Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40966&figure=blueranger2435,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphinmovie/thumb_BlueRanger-Movie8Scale-Front.jpg
Power Rangers,Power Rangers Mystic Force,Power Rangers Mystic Force,Bandai,1995,"8"" Scale",Pink Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40963&figure=pinkranger2432,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphinmovie/thumb_PinkRanger-Movie8Scale-Front.jpg
Power Rangers,Power Rangers Mystic Force,Power Rangers Mystic Force,Bandai,1995,"8"" Scale",Red Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40962&figure=redranger2431,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphinmovie/thumb_RedRanger-Movie8Scale-Front.jpg
Power Rangers,Power Rangers Mystic Force,Power Rangers Mystic Force,Bandai,1995,"8"" Scale",White Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40967&figure=whiteranger2436,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphinmovie/thumb_WhiteRanger-Movie8Scale-Front.jpg
Power Rangers,Power Rangers Mystic Force,Power Rangers Mystic Force,Bandai,1995,"8"" Scale",Yellow Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40965&figure=yellowranger2434,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphinmovie/thumb_YellowRanger-Movie8Scale-Front.jpg
Power Rangers,Power Rangers Mystic Force,Power Rangers Mystic Force,Bandai,1995,Basic Series,Black Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=6340&figure=blackranger2423,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphinmovie/thumb_BlackRanger-Movie-Front.jpg
Power Rangers,Power Rangers Mystic Force,Power Rangers Mystic Force,Bandai,1995,Basic Series,Blue Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=6343&figure=blueranger2425,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphinmovie/thumb_BlueRanger-Movie-Front.jpg
Power Rangers,Power Rangers Mystic Force,Power Rangers Mystic Force,Bandai,1995,Basic Series,Pink Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=6342&figure=pinkranger2422,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphinmovie/thumb_PinkRanger-Movie-Front.jpg
Power Rangers,Power Rangers Mystic Force,Power Rangers Mystic Force,Bandai,1995,Basic Series,Red Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=6344&figure=redranger2421,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphinmovie/thumb_RedRanger-Movie-Front.jpg
Power Rangers,Power Rangers Mystic Force,Power Rangers Mystic Force,Bandai,1995,Basic Series,White Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=20705&figure=whiteranger2426,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphinmovie/thumb_WhiteRanger-Movie-Front.jpg
Power Rangers,Power Rangers Mystic Force,Power Rangers Mystic Force,Bandai,1995,Basic Series,Yellow Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=6341&figure=yellowranger2424,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphinmovie/thumb_YellowRanger-Movie-Front.jpg
Power Rangers,Power Rangers Mystic Force,Power Rangers Mystic Force,Bandai,1995,Collectible Figures,Black Ninja Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40968&figure=blackninjaranger2448,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphinmovie/thumb_BlackNinjaRanger-Collectible-Movie-Front.jpg
Power Rangers,Power Rangers Mystic Force,Power Rangers Mystic Force,Bandai,1995,Collectible Figures,Black Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40969&figure=blackranger2448,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphinmovie/thumb_BlackRanger-Collectible-Movie-Front.jpg
Power Rangers,Power Rangers Mystic Force,Power Rangers Mystic Force,Bandai,1995,Collectible Figures,Blue Ninja Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40970&figure=blueninjaranger2448,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphinmovie/thumb_BlueNinjaRanger-Collectible-Movie-Front.jpg
Power Rangers,Power Rangers Mystic Force,Power Rangers Mystic Force,Bandai,1995,Collectible Figures,Blue Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40971&figure=blueranger2448,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphinmovie/thumb_BlueRanger-Collectible-Movie-Front.jpg
