franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Mahou Sentai Magiranger,Roleplay Items,Bandai,2005,Roleplay Items,Sky Hoki Sets,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Magiranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/78/MSM_magiphone.jpg/revision/latest/scale-to-width-down/180?cb=20200225213415,
Power Rangers,Mahou Sentai Magiranger,Roleplay Items,Bandai,2005,Roleplay Items,Skarpet & MagiShine Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Magiranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/78/Toys-2005-15.jpg/revision/latest/scale-to-width-down/180?cb=20170412090640,
Power Rangers,Mahou Sentai Magiranger,Roleplay Items,Bandai,2005,Roleplay Items,Sound Warriors,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Magiranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/7d/MSM_sentaiaction.jpg/revision/latest/scale-to-width-down/180?cb=20200207141452,
Power Rangers,Mahou Sentai Magiranger,Roleplay Items,Bandai,2005,Roleplay Items,Magiranger Twin Sets,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Magiranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/c0/MSM_SRchogokin.jpg/revision/latest/scale-to-width-down/180?cb=20200205210024,
Power Rangers,Mahou Sentai Magiranger,Roleplay Items,Bandai,2005,Roleplay Items,Collectible Soft Vinyl Figures,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Magiranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/b/bb/MSM_collectiblesofubis.jpg/revision/latest/scale-to-width-down/180?cb=20200226155032,
Power Rangers,Mahou Sentai Magiranger,Roleplay Items,Bandai,2005,Roleplay Items,MagiRed Super Large Figure,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Magiranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/6a/MSM_bigmagired.jpg/revision/latest/scale-to-width-down/180?cb=20200206154141,
Power Rangers,Mahou Sentai Magiranger,Roleplay Items,Bandai,2005,Roleplay Items,Big Sized Soft Vinyls,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Magiranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/c5/MSM_biglegendred.jpg/revision/latest/scale-to-width-down/180?cb=20200219032009,
Power Rangers,Mahou Sentai Magiranger,Roleplay Items,Bandai,2005,Roleplay Items,Talking Plush Mandora Bouya,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Magiranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/4/47/MSM_MP-MK.jpg/revision/latest/scale-to-width-down/180?cb=20200206212603,
Power Rangers,Mahou Sentai Magiranger,Roleplay Items,Bandai,2005,Roleplay Items,R/C Travelion,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Magiranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/a/a4/MSM_RCtravelion.jpg/revision/latest/scale-to-width-down/180?cb=20200226145747,
Power Rangers,Mahou Sentai Magiranger,DX Mecha,Bandai,2005,DX Mecha,Prize Keychains,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Magiranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/d/d9/MSM_banprestokeychains.jpg/revision/latest/scale-to-width-down/180?cb=20200317140624,
Power Rangers,Mahou Sentai Magiranger,DX Mecha,Bandai,2005,DX Mecha,Rangers Strike Solid,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Magiranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/2/28/MSM_GIU.jpg/revision/latest/scale-to-width-down/180?cb=20200206170447,
