franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,"12"" Scale",Blue Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58971&figure=blueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_BlueRanger-12Scale-Front.jpg
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,"12"" Scale",Gold Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58973&figure=goldranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_GoldRanger-12Scale-1.jpg
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,"12"" Scale",Red Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58970&figure=redranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_RedRanger-12Scale-Front.jpg
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,"12"" Scale",Yellow Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58972&figure=yellowranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_YellowRanger-12Scale-Front.jpg
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,Action Heroes,Blue Ranger Action Hero,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58975&figure=bluerangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_BlueRanger-ActionHero-Front.jpg
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,Action Heroes,Gold Ranger Action Hero,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58990&figure=goldrangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_GoldRanger-ActionHero-1.jpg
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,Action Heroes,Pink Ranger Action Hero,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58977&figure=pinkrangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_PinkRanger-ActionHero-Front.jpg
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,Action Heroes,Red Ranger Action Hero,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58974&figure=redrangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_RedRanger-ActionHero-Front.jpg
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,Action Heroes,White Ranger Action Hero,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58978&figure=whiterangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_WhiteRanger-ActionHero-Front.jpg
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,Action Heroes,Yellow Ranger Action Hero,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58976&figure=yellowrangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_YellowRanger-ActionHero-Front.jpg
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,Armored,Armored Blue Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58958&figure=armoredblueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_BlueRanger-Armored-Front.jpg
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,Armored,Armored Dragon Zord,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58961&figure=armoreddragonzord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_DragonZord-Armored-1.jpg
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,Armored,Armored Red Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58957&figure=armoredredranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_RedRanger-Armored-Front.jpg
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,Armored,Armored Robo-Red Zord,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58960&figure=armoredroboredzord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_RoboRedRanger-Armored-Front.jpg
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,Armored,Armored Rumble Tusk Zord,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58962&figure=armoredrumbletuskzord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_TuskZord-Armored-Front.jpg
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,Armored,Armored White Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58959&figure=armoredwhiteranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_WhiteRanger-Armored-Front.jpg
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,Basic Series,Astro Megazord & Claw Set,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59028&figure=astromegazordampclawset,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_AstroMegazordClaw-1.jpg
Power Rangers,Power Rangers Ninja Steel,Power Rangers Ninja Steel,Bandai,2017,Basic Series,Copter & Battle Station DX Set (Mega Morph),modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59026&figure=copterampbattlestationdxsetmegamorph,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjasteel/thumb_CopterBattleStationDXSet-Front.jpg
