franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Ninja Storm,Power Rangers Ninja Storm,Bandai,2010,Basic Series,Action Black Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60834&figure=actionblackranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphin2010/thumb_ActionBlackRanger-Front.jpg
Power Rangers,Power Rangers Ninja Storm,Power Rangers Ninja Storm,Bandai,2010,Basic Series,Action Green Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60833&figure=actiongreenranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphin2010/thumb_ActionGreenRanger-Front.jpg
Power Rangers,Power Rangers Ninja Storm,Power Rangers Ninja Storm,Bandai,2010,Basic Series,Action Red Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60832&figure=actionredranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphin2010/thumb_ActionRedRanger-Front.jpg
Power Rangers,Power Rangers Ninja Storm,Power Rangers Ninja Storm,Bandai,2010,Basic Series,Alpha 5 & Zordon,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60819&figure=alpha5ampzordon,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphin2010/thumb_Alpha5Zordon-Front.jpg
Power Rangers,Power Rangers Ninja Storm,Power Rangers Ninja Storm,Bandai,2010,Basic Series,Black Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60813&figure=blackranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphin2010/thumb_BlackRanger-Front.jpg
Power Rangers,Power Rangers Ninja Storm,Power Rangers Ninja Storm,Bandai,2010,Basic Series,Blue Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60812&figure=blueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphin2010/thumb_BlueRanger-Front.jpg
Power Rangers,Power Rangers Ninja Storm,Power Rangers Ninja Storm,Bandai,2010,Basic Series,Blue Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60871&figure=blueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphin2010/thumb_BlueRanger-88123-Front.jpg
Power Rangers,Power Rangers Ninja Storm,Power Rangers Ninja Storm,Bandai,2010,Basic Series,Blue Ranger (Transparent),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60829&figure=bluerangertransparent,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphin2010/thumb_BlueRanger-Transparent-Front.jpg
Power Rangers,Power Rangers Ninja Storm,Power Rangers Ninja Storm,Bandai,2010,Basic Series,Dino Megazord (Disney),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60895&figure=dinomegazorddisney,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphin2010/thumb_DinoMegazord-Front.jpg
Power Rangers,Power Rangers Ninja Storm,Power Rangers Ninja Storm,Bandai,2010,Basic Series,Goldar,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60827&figure=goldar,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersmightymorphin2010/thumb_Goldar-Front.jpg
