franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Operation Overdrive,Power Rangers Operation Overdrive,Bandai,2003,"12"" Scale",Crimson Thunder Weapon Warrior,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91718&figure=crimsonthunderweaponwarrior,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjastorm/thumb_CrimsonThunder-WeaponWarrior-Front.jpg
Power Rangers,Power Rangers Operation Overdrive,Power Rangers Operation Overdrive,Bandai,2003,"12"" Scale",Green Samurai Tsunami Cycle,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91722&figure=greensamuraitsunamicycle,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjastorm/thumb_GreenSamurai-TsunamiCycle-12Scale-Front.jpg
Power Rangers,Power Rangers Operation Overdrive,Power Rangers Operation Overdrive,Bandai,2003,"12"" Scale",Green Samurai Weapon Warrior,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91720&figure=greensamuraiweaponwarrior,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjastorm/thumb_GreenSamurai-WeaponWarrior-Front.jpg
Power Rangers,Power Rangers Operation Overdrive,Power Rangers Operation Overdrive,Bandai,2003,"12"" Scale",Navy Thunder Weapon Warrior,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91719&figure=navythunderweaponwarrior,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjastorm/thumb_NavyThunder-WeaponWarrior-Front.jpg
Power Rangers,Power Rangers Operation Overdrive,Power Rangers Operation Overdrive,Bandai,2003,"12"" Scale",Red Wind Tsunami Cycle with Ninja Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91721&figure=redwindtsunamicyclewithninjaranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjastorm/thumb_RedWindTsunamiCycle-NinjaRanger-Front.jpg
Power Rangers,Power Rangers Operation Overdrive,Power Rangers Operation Overdrive,Bandai,2003,"12"" Scale",Red Wind Weapon Warrior,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91717&figure=redwindweaponwarrior,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjastorm/thumb_RedWind-WeaponWarrior-Front.jpg
Power Rangers,Power Rangers Operation Overdrive,Power Rangers Operation Overdrive,Bandai,2003,Action Megazords,Hurricane Action Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12470&figure=hurricaneactionmegazord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjastorm/thumb_HurricanAction-NinjaStorm-Front.jpg
Power Rangers,Power Rangers Operation Overdrive,Power Rangers Operation Overdrive,Bandai,2003,Action Megazords,Samurai Star Action Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91670&figure=samuraistaractionmegazord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjastorm/thumb_SamuraiStarActionMegazord-Front.jpg
Power Rangers,Power Rangers Operation Overdrive,Power Rangers Operation Overdrive,Bandai,2003,Action Megazords,Storm Action Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91667&figure=stormactionmegazord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjastorm/thumb_StormActionMegazord-Front.jpg
Power Rangers,Power Rangers Operation Overdrive,Power Rangers Operation Overdrive,Bandai,2003,Action Megazords,Thunder Action Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91668&figure=thunderactionmegazord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersninjastorm/thumb_ThunderActionMegazord-Front.jpg
