franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers RPM,Power Rangers RPM,Bandai,2009,Adventure Sets,Engine Adventure Set,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61162&figure=engineadventureset,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9768.jpg?w=446
Power Rangers,Power Rangers RPM,Power Rangers RPM,Bandai,2009,Adventure Sets,High Octane Adventure Set,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61158&figure=highoctaneadventureset,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9779.jpg?w=448
Power Rangers,Power Rangers RPM,Power Rangers RPM,Bandai,2009,Adventure Sets,Highway Adventure Set,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61156&figure=highwayadventureset,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9774.jpg?w=242
Power Rangers,Power Rangers RPM,Power Rangers RPM,Bandai,2009,Adventure Sets,Road Adventure Set,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61167&figure=roadadventureset,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9770.jpg?w=394
Power Rangers,Power Rangers RPM,Power Rangers RPM,Bandai,2009,Adventure Sets,Speed Adventure Set,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61157&figure=speedadventureset,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9778.jpg?w=549
Power Rangers,Power Rangers RPM,Power Rangers RPM,Bandai,2009,Adventure Sets,Track Adventure Set,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61155&figure=trackadventureset,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9777.jpg?w=481
Power Rangers,Power Rangers RPM,Power Rangers RPM,Bandai,2009,Adventure Sets,Trax Adventure Set,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61166&figure=traxadventureset,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9773.jpg?w=260
Power Rangers,Power Rangers RPM,Power Rangers RPM,Bandai,2009,Basic Series,Evil Grinder,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61077&figure=evilgrinder,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9602.jpg?w=247
Power Rangers,Power Rangers RPM,Power Rangers RPM,Bandai,2009,Basic Series,Formula Eagle Transporter,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61115&figure=formulaeagletransporter,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9838.jpg?w=396
Power Rangers,Power Rangers RPM,Power Rangers RPM,Bandai,2009,Basic Series,Formula Wolf Transporter,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61116&figure=formulawolftransporter,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9839.jpg?w=383
Power Rangers,Power Rangers RPM,Power Rangers RPM,Bandai,2009,Basic Series,Full Throttle Bear Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61061&figure=fullthrottlebearranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9546.jpg?w=231
Power Rangers,Power Rangers RPM,Power Rangers RPM,Bandai,2009,Basic Series,Full Throttle Eagle Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61057&figure=fullthrottleeagleranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9542.jpg?w=235
Power Rangers,Power Rangers RPM,Power Rangers RPM,Bandai,2009,Basic Series,Full Throttle Lion Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61058&figure=fullthrottlelionranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9543.jpg?w=228
Power Rangers,Power Rangers RPM,Power Rangers RPM,Bandai,2009,Basic Series,Full Throttle Mammoth Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61062&figure=fullthrottlemammothranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9648-1.jpg?w=151
Power Rangers,Power Rangers RPM,Power Rangers RPM,Bandai,2009,Basic Series,Full Throttle Ranger Gold,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61069&figure=fullthrottlerangergold,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9578.jpg?w=251
Power Rangers,Power Rangers RPM,Power Rangers RPM,Bandai,2009,Basic Series,Full Throttle Ranger Silver,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61070&figure=fullthrottlerangersilver,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9579.jpg?w=250
Power Rangers,Power Rangers RPM,Power Rangers RPM,Bandai,2009,Basic Series,Full Throttle Shark Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61060&figure=fullthrottlesharkranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9545.jpg?w=232
