franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Engine Sentai Go-Onger,Roleplay Items,Bandai,2008,Roleplay Items,Sound Warriors,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Onger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/2/23/ESG_beltholster.jpg/revision/latest/scale-to-width-down/180?cb=20200218201745,
Power Rangers,Engine Sentai Go-Onger,Roleplay Items,Bandai,2008,Roleplay Items,Mach Speed Launching!! Engine-O G12 Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Onger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/9/96/ESG_g12set.jpg/revision/latest/scale-to-width-down/180?cb=20200218194031,
Power Rangers,Engine Sentai Go-Onger,Roleplay Items,Bandai,2008,Roleplay Items,Engine Sentai Go-onger Engine Buddy Series,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Onger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/0/02/Toys-2008-01.jpg/revision/latest/scale-to-width-down/180?cb=20170412092311,
Power Rangers,Engine Sentai Go-Onger,Roleplay Items,Bandai,2008,Roleplay Items,HDM Creation: Engine Sentai Go-onger,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Onger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/79/ESG_HDM.jpg/revision/latest/scale-to-width-down/180?cb=20200204193705,
Power Rangers,Engine Sentai Go-Onger,Roleplay Items,Bandai,2008,Roleplay Items,Play Hero 2008 Go-onger,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Onger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/4/4f/ESG_playhero2008.jpg/revision/latest/scale-to-width-down/180?cb=20200204201005,
Power Rangers,Engine Sentai Go-Onger,Roleplay Items,Bandai,2008,Roleplay Items,Big Sized Soft Vinyls,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Onger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/c1/ESG_bigsofubi.jpg/revision/latest/scale-to-width-down/180?cb=20200218192053,
Power Rangers,Engine Sentai Go-Onger,Roleplay Items,Bandai,2008,Roleplay Items,Engine Soul Tablets,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Onger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/c5/ESG_minipla1.jpg/revision/latest/scale-to-width-down/180?cb=20200204195658,
Power Rangers,Engine Sentai Go-Onger,Roleplay Items,Bandai,2008,Roleplay Items,Go-onger Kit,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Onger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/1/10/ESG_kit.jpg/revision/latest/scale-to-width-down/180?cb=20200204204810,
Power Rangers,Engine Sentai Go-Onger,Roleplay Items,Bandai,2008,Roleplay Items,Ultra Fast Combining Super Highway Buster,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Onger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/1/17/ESG_SHB.jpg/revision/latest/scale-to-width-down/180?cb=20200204205108,
Power Rangers,Engine Sentai Go-Onger,Roleplay Items,Bandai,2008,Roleplay Items,Go-onger Super Items,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Go-Onger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/d/d1/ESG_superitems.jpg/revision/latest/scale-to-width-down/180?cb=20200204205210,
