franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2011,"10"" Scale",Battlized Ranger Fire,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60597&figure=battlizedrangerfire,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_BattlizedRangerFire-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2011,"10"" Scale",Shogun Battlized Ranger Fire,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60598&figure=shogunbattlizedrangerfire,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_ShogunBattlizedRangerFire-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,"10"" Scale",Shogun Ranger Fire,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60642&figure=shogunrangerfire,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_ShogunRangerFire-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,"10"" Scale",Shogun Ranger Light,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60644&figure=shogunrangerlight,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_ShogunRangerLight-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,"10"" Scale",Shogun Ranger Water,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60643&figure=shogunrangerwater,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_ShogunRangerWater-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Armor Morphin,Armor Morphin Ranger Fire,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60638&figure=armormorphinrangerfire,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_ArmorMorphinRangerFire-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Armor Morphin,Armor Morphin Ranger Forest,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60640&figure=armormorphinrangerforest,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_ArmorMorphinRangerForest-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Armor Morphin,Armor Morphin Ranger Light,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60641&figure=armormorphinrangerlight,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_ArmorMorphinRangerLight-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Armor Morphin,Armor Morphin Ranger Water,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60639&figure=armormorphinrangerwater,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_ArmorMorphinRangerWater-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2011,Basic Series,Deker,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60589&figure=deker,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_Deker-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Basic Series,Deker,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60678&figure=deker,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_Deker-31841-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Basic Series,Master Xandred,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60625&figure=masterxandred,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_MasterXandred-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2011,Basic Series,Mega Ranger Earth,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60581&figure=megarangerearth,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_MegaRanger-Earth-31504-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Basic Series,Mega Ranger Earth,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60636&figure=megarangerearth,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_MegaRanger-Earth-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2011,Basic Series,Mega Ranger Fire,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60578&figure=megarangerfire,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_MegaRanger-Fire-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Basic Series,Mega Ranger Fire,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60632&figure=megarangerfire,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_MegaRangerFire-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2011,Basic Series,Mega Ranger Forest,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60580&figure=megarangerforest,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_MegaRanger-Forest-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Basic Series,Mega Ranger Forest,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60634&figure=megarangerforest,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_MegaRanger-Forest-31833-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2011,Basic Series,Mega Ranger Light,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60584&figure=megarangerlight,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_MegaRanger-Light-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Basic Series,Mega Ranger Light,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60637&figure=megarangerlight,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_MegaRanger-Light-31836-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2011,Basic Series,Mega Ranger Sky,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60582&figure=megarangersky,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_MegaRanger-Sky-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Basic Series,Mega Ranger Sky,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60635&figure=megarangersky,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_MegaRangerSky-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2011,Basic Series,Mega Ranger Water,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60579&figure=megarangerwater,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_MegaRanger-Water-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Basic Series,Mega Ranger Water,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60633&figure=megarangerwater,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_MegaRanger-Water-31832-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2011,Basic Series,Mooger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60583&figure=mooger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_Mooger-Sky-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Basic Series,Power Morphicon 2012 (PMC),modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60694&figure=powermorphicon2012pmc,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_PowerMorphicon-2012-PMC-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2011,Basic Series,Rita Repulsa,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60590&figure=ritarepulsa,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_RitaRepulsa-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Basic Series,Samurai Ranger Earth,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60624&figure=samurairangerearth,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_SamuraiRangerEarth-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2011,Basic Series,Samurai Ranger Fire,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60585&figure=samurairangerfire,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_SamuraiRanger-Fire-1.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2011,Basic Series,Samurai Ranger Fire,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60697&figure=samurairangerfire,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_SamuraiRanger-Fire-88361-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Basic Series,Samurai Ranger Fire,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60674&figure=samurairangerfire,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_SamuraiRanger-Fire-31837-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2011,Basic Series,Samurai Ranger Forest,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60587&figure=samurairangerforest,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_SamuraiRanger-Forest-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2011,Basic Series,Samurai Ranger Forest,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60699&figure=samurairangerforest,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_SamuraiRanger-Forest-88363-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Basic Series,Samurai Ranger Forest,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60676&figure=samurairangerforest,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_SamuraiRanger-Water-31839-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2011,Basic Series,Samurai Ranger Light,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60588&figure=samurairangerlight,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_SamuraiRanger-Light-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Basic Series,Samurai Ranger Light,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60677&figure=samurairangerlight,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_SamuraiRanger-Water-31840-Front.jpg
Power Rangers,Power Rangers Samurai,Power Rangers Samurai,Bandai,2012,Basic Series,Samurai Ranger Sky,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=60623&figure=samurairangersky,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssamurai/thumb_SamuraiRangerSky-Front.jpg
