franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Samurai Sentai Shinkenger,Roleplay Items,Bandai,2009,Roleplay Items,Sound Warriors,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Shinkenger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/f/f0/SSS_shodophone.jpg/revision/latest/scale-to-width-down/180?cb=20200217211952,
Power Rangers,Samurai Sentai Shinkenger,Roleplay Items,Bandai,2009,Roleplay Items,Secret Rotating Action Samurai Ha-Oh,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Shinkenger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/f/f8/SSS_actionhaoh.jpg/revision/latest/scale-to-width-down/180?cb=20200218145049,
Power Rangers,Samurai Sentai Shinkenger,Roleplay Items,Bandai,2009,Roleplay Items,Softvi Hero,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Shinkenger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/2/24/SSS_chogokin.jpg/revision/latest/scale-to-width-down/180?cb=20200204220940,
Power Rangers,Samurai Sentai Shinkenger,Roleplay Items,Bandai,2009,Roleplay Items,HDM Creation: Samurai Sentai Shinkenger,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Shinkenger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/cd/SSS_HDM.jpg/revision/latest/scale-to-width-down/180?cb=20200205153623,
Power Rangers,Samurai Sentai Shinkenger,Roleplay Items,Bandai,2009,Roleplay Items,Assembled DX Soft Vinyls,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Shinkenger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/9/94/SSS_bigvinyl.jpeg/revision/latest/scale-to-width-down/180?cb=20200207172149,
Power Rangers,Samurai Sentai Shinkenger,Roleplay Items,Bandai,2009,Roleplay Items,DX Deformed Soft Vinyl Figures,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Shinkenger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/d/d8/SSS_DX-SBblue.jpg/revision/latest/scale-to-width-down/180?cb=20200207203319,
Power Rangers,Samurai Sentai Shinkenger,Roleplay Items,Bandai,2009,Roleplay Items,Fight! Shinkenger,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Shinkenger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/f/f4/SSS_MP01.jpg/revision/latest/scale-to-width-down/180?cb=20200207174509,
Power Rangers,Samurai Sentai Shinkenger,Roleplay Items,Bandai,2009,Roleplay Items,Challenge! Shinkenger,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Shinkenger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/1/1a/SSS_CT02.jpg/revision/latest/scale-to-width-down/180?cb=20200207174137,
Power Rangers,Samurai Sentai Shinkenger,Roleplay Items,Bandai,2009,Roleplay Items,Shine! Shinkenger,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Shinkenger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/70/SSS_CT03.jpg/revision/latest/scale-to-width-down/180?cb=20200207174147,
Power Rangers,Samurai Sentai Shinkenger,Roleplay Items,Bandai,2009,Roleplay Items,Extreme Shinkenger,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Shinkenger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/0/06/SSS_CT04.jpg/revision/latest/scale-to-width-down/180?cb=20200207174155,
Power Rangers,Samurai Sentai Shinkenger,DX Mecha,Bandai,2009,DX Mecha,Go Beyond! Shinkenger,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Shinkenger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/b/bf/SSS_CT05.jpg/revision/latest/scale-to-width-down/180?cb=20200207174205,
