franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Gosei Sentai Dairanger,S.H. Figuarts,Bandai,2013,S.H. Figuarts,KibaRanger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=142418&figure=goseisentaidairangerkibaranger,Japanese Super Sentai property imported under the shared Power Rangers franchise.,https://www.figurerealm.com/galleries/supersentai/thumb_GoseiSentaiDairangerKibaranger-SHFiguarts-1.jpg,https://www.figurerealm.com/galleries/supersentai/thumb_GoseiSentaiDairangerKibaranger-SHFiguarts-Front.jpg
Power Rangers,Gosei Sentai Dairanger,S.H. Figuarts,Bandai,2013,S.H. Figuarts,RyuRanger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=142419&figure=goseisentaidairangerryuranger,Japanese Super Sentai property imported under the shared Power Rangers franchise.,https://www.figurerealm.com/galleries/supersentai/thumb_GoseiSentaiDairangerRyuranger-SHFiguarts-1.jpg,https://www.figurerealm.com/galleries/supersentai/thumb_GoseiSentaiDairangerRyuranger-SHFiguarts-Front.jpg
Power Rangers,Kyoryu Sentai Zyuranger,S.H. Figuarts,Bandai,2013,S.H. Figuarts,Dragon Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=138030&figure=kyoryusentaizyurangerdragonranger,Japanese Super Sentai property imported under the shared Power Rangers franchise.,https://www.figurerealm.com/galleries/supersentai/thumb_KyoryuSentaiZyurangerDragonRanger-SHFiguarts-1.jpg,https://www.figurerealm.com/galleries/supersentai/thumb_Dragonranger-KyoryuSentaiZyuranger-Front.jpg
Power Rangers,Kyoryu Sentai Zyuranger,S.H. Figuarts,Bandai,2013,S.H. Figuarts,Tyrannoranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=138031&figure=kyoryusentaizyurangertyrannoranger,Japanese Super Sentai property imported under the shared Power Rangers franchise.,https://www.figurerealm.com/galleries/supersentai/thumb_KyoryuSentaiZyurangerTyrannoranger-SHFiguarts-1.jpg,https://www.figurerealm.com/galleries/supersentai/thumb_Tyrannoranger-KyoryuSentaiZyuranger-Front.jpg
Power Rangers,Kyoryu Sentai Zyuranger,S.H. Figuarts,Bandai,2014,S.H. Figuarts,Mammoth Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=142422&figure=kyouryuusentaizyurangermammothranger,Japanese Super Sentai property imported under the shared Power Rangers franchise.,https://www.figurerealm.com/galleries/supersentai/thumb_KyouryuuSentaiZyurangerMammothRanger-SHFiguarts-1.jpg,https://www.figurerealm.com/galleries/supersentai/thumb_KyouryuuSentaiZyurangerMammothRanger-SHFiguarts-Front.jpg
Power Rangers,Kyoryu Sentai Zyuranger,S.H. Figuarts,Bandai,2013,S.H. Figuarts,Ptera Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=142420&figure=kyouryuusentaizyurangerpteraranger,Japanese Super Sentai property imported under the shared Power Rangers franchise.,https://www.figurerealm.com/galleries/supersentai/thumb_KyouryuuSentaiZyurangerPteraRanger-SHFiguarts-1.jpg,https://www.figurerealm.com/galleries/supersentai/thumb_KyouryuuSentaiZyurangerPteraRanger-SHFiguarts-Front.jpg
Power Rangers,Kyoryu Sentai Zyuranger,S.H. Figuarts,Bandai,2014,S.H. Figuarts,Tiger Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=142421&figure=kyouryuusentaizyurangertigerranger,Japanese Super Sentai property imported under the shared Power Rangers franchise.,https://www.figurerealm.com/galleries/supersentai/thumb_KyouryuuSentaiZyurangerTigerRanger-SHFiguarts-1.jpg,https://www.figurerealm.com/galleries/supersentai/thumb_KyouryuuSentaiZyurangerTigerRanger-SHFiguarts-Front.jpg
Power Rangers,Kyoryu Sentai Zyuranger,S.H. Figuarts,Bandai,2014,S.H. Figuarts,Tricera Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=142423&figure=kyouryuusentaizyurangertriceraranger,Japanese Super Sentai property imported under the shared Power Rangers franchise.,https://www.figurerealm.com/galleries/supersentai/thumb_KyouryuuSentaiZyurangerTriceraRanger-SHFiguarts-1.jpg,https://www.figurerealm.com/galleries/supersentai/thumb_KyouryuuSentaiZyurangerTriceraRanger-SHFiguarts-Front.jpg
Power Rangers,Kyoryu Sentai Zyuranger,S.H. Figuarts,Bandai,2013,S.H. Figuarts,Tyrannoranger (Armored),modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=142425&figure=kyouryuusentaizyurangertyrannorangerarmored,Japanese Super Sentai property imported under the shared Power Rangers franchise.,https://www.figurerealm.com/galleries/supersentai/thumb_KyouryuuSentaiZyurangerTyrannoranger-Armored-SHFiguarts-1.jpg,https://www.figurerealm.com/galleries/supersentai/thumb_KyouryuuSentaiZyurangerTyrannoranger-Armored-SHFiguarts-Front.jpg
Power Rangers,Kyoryu Sentai Zyuranger,Roleplay Items,Bandai,1992,Roleplay Items,Dino Buckler,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Zyuranger_%28Toyline%29,Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/4/48/KSZ_dinobuckler.jpg/revision/latest/scale-to-width-down/180?cb=20200227160334,https://static.wikia.nocookie.net/powerrangers/images/3/3e/KSZ_dinobuckler-box.jpg/revision/latest/scale-to-width-down/91?cb=20200227153411
Power Rangers,Kyoryu Sentai Zyuranger,Roleplay Items,Bandai,1992,Roleplay Items,Ranger Stick Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Zyuranger_%28Toyline%29,Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/2/2b/KSZ_rangerstick.jpg/revision/latest/scale-to-width-down/180?cb=20200227155623,https://static.wikia.nocookie.net/powerrangers/images/b/b0/KSZ_rangerstick-box.jpg/revision/latest/scale-to-width-down/120?cb=20200227153430
Power Rangers,Kyoryu Sentai Zyuranger,Roleplay Items,Bandai,1992,Roleplay Items,Legendary Weapons Set 1,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Zyuranger_%28Toyline%29,Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/2/20/KSZ_weaponset1.jpg/revision/latest/scale-to-width-down/180?cb=20200227155226,https://static.wikia.nocookie.net/powerrangers/images/2/26/KSZ_weapons1box.jpg/revision/latest/scale-to-width-down/120?cb=20200227153503
Power Rangers,Kyoryu Sentai Zyuranger,Roleplay Items,Bandai,1992,Roleplay Items,Legendary Weapons Set 2,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Zyuranger_%28Toyline%29,Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/1/13/KSZ_weaponset2.jpg/revision/latest/scale-to-width-down/180?cb=20200227155239,https://static.wikia.nocookie.net/powerrangers/images/d/dc/KSZ_weaponsbox2.jpg/revision/latest/scale-to-width-down/120?cb=20200227153522
Power Rangers,Kyoryu Sentai Zyuranger,Roleplay Items,Bandai,1992,Roleplay Items,Thunder Slinger,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Zyuranger_%28Toyline%29,Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/69/KSZ_thunderslinger.jpg/revision/latest/scale-to-width-down/180?cb=20200227155325,https://static.wikia.nocookie.net/powerrangers/images/6/67/KSZ_thunderslinger-box.jpg/revision/latest/scale-to-width-down/120?cb=20200227153732
Power Rangers,Kyoryu Sentai Zyuranger,Roleplay Items,Bandai,1992,Roleplay Items,Dragon Buckler,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Zyuranger_%28Toyline%29,Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/2/2d/KSZ_dragonbuckler.jpg/revision/latest/scale-to-width-down/180?cb=20200227160321,https://static.wikia.nocookie.net/powerrangers/images/0/02/KSZ_1992dragonbuckler-box.jpg/revision/latest/scale-to-width-down/94?cb=20200227153747
Power Rangers,Kyoryu Sentai Zyuranger,Roleplay Items,Bandai,1992,Roleplay Items,Zyusouken,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Zyuranger_%28Toyline%29,Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/a/af/KSZ_zyusouken.jpg/revision/latest/scale-to-width-down/180?cb=20200227160307,https://static.wikia.nocookie.net/powerrangers/images/3/3c/KSZ_1992zyusouken.jpg/revision/latest/scale-to-width-down/120?cb=20200227153802
Power Rangers,Kyoryu Sentai Zyuranger,DX Mecha,Bandai,1992,1992,DX Daizyuzin,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Zyuranger_%28Toyline%29,Japanese Super Sentai property imported under the shared Power Rangers franchise. Packaged photo from RangerWiki box art gallery.,,https://static.wikia.nocookie.net/powerrangers/images/c/ce/KSZ_DXdzz.jpg/revision/latest/scale-to-width-down/138?cb=20200227163051
