franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,"12"" Talking",Blue Talking S.P.D. Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52731&figure=bluetalkingspdpowerranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_BlueTalking-12Talking-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,"12"" Talking",Green Talking S.P.D. Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52732&figure=greentalkingspdpowerranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_GreenTalking-12Talking-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,"12"" Talking",Red Talking S.P.D. Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52730&figure=redtalkingspdpowerranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_RedTalking-12Talking-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,"12"" Talking",Talking S.P.D. Blue Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52735&figure=talkingspdbluepowerranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_TalkingSpdBlue-12Talking-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,"12"" Talking",Talking S.P.D. Commander Doggy Cruger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52733&figure=talkingspdcommanderdoggycruger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_DoggyCruger-12Talking-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,"12"" Talking",Talking S.P.D. Omega Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52737&figure=talkingspdomegapowerranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_Omega-12Talking-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,"12"" Talking",Talking S.P.D. Red Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52734&figure=talkingspdredpowerranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_TalkingSpdRed-12Talking-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,"12"" Talking",Talking S.P.D. Shadow Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52736&figure=talkingspdshadowpowerranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_TalkingSpdShadow-12Talking-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,2-Packs,Blue & Red Delta Armor Pack,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52756&figure=blueampreddeltaarmorpack,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_BlueRed-DeltaArmorPack-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,2-Packs,Blue & Red S.P.D. Warrior Pack,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52758&figure=blueampredspdwarriorpack,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_BlueRed-SpdWarriorPack-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,2-Packs,Green & Blue Delta Armor Pack,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52755&figure=greenampbluedeltaarmorpack,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_GreenBlue-DeltaArmorPack-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,2-Packs,Light Patrol Blue Ranger And Doggy Cruger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52783&figure=lightpatrolbluerangeranddoggycruger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_LightPatrol-BlueDoggy-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,2-Packs,Light Patrol Green Ranger And Omega Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52784&figure=lightpatrolgreenrangerandomegaranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_LightPatrol-GreenOmega-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,2-Packs,Light Patrol Red Ranger And Evil Space Alien,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52782&figure=lightpatrolredrangerandevilspacealien,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_LightPatrol-RedAlien-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,2-Packs,Red & Green Delta Armor Pack,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52754&figure=redampgreendeltaarmorpack,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_RedGreen-DeltaArmorPack-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,2-Packs,Red & Green S.P.D. Warrior Pack,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52757&figure=redampgreenspdwarriorpack,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_RedGreen-SpdWarriorPack-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,Accessories,Delta Police Cruiser,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52724&figure=deltapolicecruiser,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_DeltaPoliceCruiser-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,Accessories,Mega Patrol Cycle (with Red Ranger),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52776&figure=megapatrolcyclewithredranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_MegaPatrolCycle-RedRanger-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,Accessories,Power Rangers Mini Playset,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52759&figure=powerrangersminiplayset,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_MiniPlayset-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,Accessories,Power Rangers R/C Omega Cycle,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52803&figure=powerrangersrcomegacycle,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_RCOmegaCycle-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,Accessories,Power Rangers Radio Control S.P.D. Cycle,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52802&figure=powerrangersradiocontrolspdcycle,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_RcSpdCycle-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,Accessories,S.P.D. Mega Vehicle Set,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52772&figure=spdmegavehicleset,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_MegaVehicleSet-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,Accessories,S.P.D. Vehicle Action Set,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52771&figure=spdvehicleactionset,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_VehicleActionSet-Front.jpg
Power Rangers,Power Rangers S.P.D.,Power Rangers S.P.D.,Bandai,2005,Accessories,S.W.A.T. Command Truck,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=52725&figure=swatcommandtruck,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersspd/thumb_SwatCommandTruck-Front.jpg
