franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Tokusou Sentai Dekaranger,Roleplay Items,Bandai,2004,Roleplay Items,Machine Doberman Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Dekaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/4/4c/TSD_2004SPlicense.jpg/revision/latest/scale-to-width-down/180?cb=20200225191612,
Power Rangers,Tokusou Sentai Dekaranger,Roleplay Items,Bandai,2004,Roleplay Items,Machine Husky Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Dekaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/8/83/Toys-2004-10.jpg/revision/latest/scale-to-width-down/180?cb=20170412085743,
Power Rangers,Tokusou Sentai Dekaranger,Roleplay Items,Bandai,2004,Roleplay Items,Machine Bull Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Dekaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/6e/Toys-2004-09.jpg/revision/latest/scale-to-width-down/180?cb=20170412085712,
Power Rangers,Tokusou Sentai Dekaranger,Roleplay Items,Bandai,2004,Roleplay Items,DekaBaseCrawler Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Dekaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/68/TSD_DBcrawler.jpg/revision/latest/scale-to-width-down/180?cb=20200225195727,
Power Rangers,Tokusou Sentai Dekaranger,Roleplay Items,Bandai,2004,Roleplay Items,Machine Boxer Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Dekaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/4/4e/Toys-2004-24.jpg/revision/latest/scale-to-width-down/180?cb=20170412085832,
Power Rangers,Tokusou Sentai Dekaranger,Roleplay Items,Bandai,2004,Roleplay Items,Tokuso Sentai Dekaranger Action Figures,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Dekaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/b/b6/TSD_changedekared.jpg/revision/latest/scale-to-width-down/180?cb=20200225174157,
Power Rangers,Tokusou Sentai Dekaranger,Roleplay Items,Bandai,2004,Roleplay Items,HG Series: Soft Vinyl Super,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Dekaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/d/d5/TSD_figuarts.jpg/revision/latest/scale-to-width-down/180?cb=20200205205241,
Power Rangers,Tokusou Sentai Dekaranger,Roleplay Items,Bandai,2004,Roleplay Items,Dekaranger Judgement 6 Figure Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Dekaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/e/ec/TSD_sofubis.jpg/revision/latest/scale-to-width-down/180?cb=20200206205828,
Power Rangers,Tokusou Sentai Dekaranger,Roleplay Items,Bandai,2004,Roleplay Items,Collectible Soft Vinyl Figures,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Dekaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/7a/TSD_collectablefigure.jpg/revision/latest/scale-to-width-down/180?cb=20200225165731,
Power Rangers,Tokusou Sentai Dekaranger,Roleplay Items,Bandai,2004,Roleplay Items,Deka Red Extra-Large Figure,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Dekaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/66/TSD_bigsofubis.jpeg/revision/latest/scale-to-width-down/180?cb=20200206153220,
Power Rangers,Tokusou Sentai Dekaranger,DX Mecha,Bandai,2004,DX Mecha,Big Sized Soft Vinyls,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Dekaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/69/TSD_bigsofubimaster.jpg/revision/latest/scale-to-width-down/180?cb=20200219030507,
Power Rangers,Tokusou Sentai Dekaranger,DX Mecha,Bandai,2004,DX Mecha,Popinica Dekamachines Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Dekaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/d/d0/TSD_MP-DRR.jpg/revision/latest/scale-to-width-down/180?cb=20200206204023,
Power Rangers,Tokusou Sentai Dekaranger,DX Mecha,Bandai,2004,DX Mecha,Chess Piece Collection DX: Tokuso Sentai Dekaranger Twin-Cam Angels Edition,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Dekaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/74/TSD_chess.jpg/revision/latest/scale-to-width-down/180?cb=20200225170327,
Power Rangers,Tokusou Sentai Dekaranger,DX Mecha,Bandai,2004,DX Mecha,Rangers Strike Solid,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Dekaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/79/TSD_GIU.jpg/revision/latest/scale-to-width-down/180?cb=20200206164911,
Power Rangers,Tokusou Sentai Dekaranger,DX Mecha,Bandai,2004,DX Mecha,Excellent Models: Dekaranger Heroines,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Dekaranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/3/3c/TSD_EDH.jpg/revision/latest/scale-to-width-down/180?cb=20200206171030,
