franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Super Megaforce,Power Rangers Super Megaforce,Bandai,2014,"10"" Scale",Deluxe FX Super Mega Red Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59930&figure=deluxefxsupermegaredranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssupermegaforce/thumb_DeluxeFXSuperMegaRedRanger-Front.jpg
Power Rangers,Power Rangers Super Megaforce,Power Rangers Super Megaforce,Bandai,2014,"10"" Scale",Deluxe FX Super Mega Silver Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59931&figure=deluxefxsupermegasilverranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssupermegaforce/thumb_DeluxeFXSuperMegaSilverRanger-Front.jpg
Power Rangers,Power Rangers Super Megaforce,Power Rangers Super Megaforce,Bandai,2014,"12"" Scale",Blue Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59846&figure=blueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssupermegaforce/thumb_BlueRanger-12Scale-Front.jpg
Power Rangers,Power Rangers Super Megaforce,Power Rangers Super Megaforce,Bandai,2014,"12"" Scale",Red Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59844&figure=redranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssupermegaforce/thumb_RedRanger-12Scale-Front.jpg
Power Rangers,Power Rangers Super Megaforce,Power Rangers Super Megaforce,Bandai,2014,"12"" Scale",Silver Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59845&figure=silverranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssupermegaforce/thumb_SilverRanger-12Scale-Front.jpg
Power Rangers,Power Rangers Super Megaforce,Power Rangers Super Megaforce,Bandai,2014,Action Heroes,Blue Ranger Action Hero,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59933&figure=bluerangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssupermegaforce/thumb_BlueRanger-ActionHero-Front.jpg
Power Rangers,Power Rangers Super Megaforce,Power Rangers Super Megaforce,Bandai,2014,Action Heroes,Dino Thunder Red Ranger Action Hero,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59959&figure=dinothunderredrangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssupermegaforce/thumb_DinoThunderRedRangerActionHero-Front.jpg
Power Rangers,Power Rangers Super Megaforce,Power Rangers Super Megaforce,Bandai,2014,Action Heroes,Green Ranger Action Hero,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59934&figure=greenrangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssupermegaforce/thumb_GreenRanger-ActionHero-Front.jpg
Power Rangers,Power Rangers Super Megaforce,Power Rangers Super Megaforce,Bandai,2014,Action Heroes,In Space Red Ranger Action Hero,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59949&figure=inspaceredrangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssupermegaforce/thumb_InSpaceRedRanger-ActionHero-Front.jpg
Power Rangers,Power Rangers Super Megaforce,Power Rangers Super Megaforce,Bandai,2014,Action Heroes,Jungle Fury Red Ranger Action Hero,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=59964&figure=junglefuryredrangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssupermegaforce/thumb_JungleFuryRedRanger-ActionHero-Front.jpg
