franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,"12"" Scale",Blue Ranger Action Hero,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58915&figure=bluerangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_BlueRanger-12Scale-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,"12"" Scale",Gold Ranger Action Hero,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58917&figure=goldrangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_GoldRanger-12Scale-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,"12"" Scale",Red Ranger Action Hero,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58914&figure=redrangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_RedRanger-12Scale-1.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,"12"" Scale",Yellow Ranger Action Hero,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58916&figure=yellowrangeractionhero,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_YellowRanger-12Scale-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Action Heroes,Blue Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58900&figure=blueranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_BlueRanger-ActionHero-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Action Heroes,Blue Ranger (Lion Fire Armor),modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58902&figure=bluerangerlionfirearmor,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_BlueRangerLionFire-ActionHero-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Action Heroes,Blue Ranger (Ninja Super Steel Mode),modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58904&figure=bluerangerninjasupersteelmode,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_BlueRanger-SuperSteel-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Action Heroes,Gold Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58906&figure=goldranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_GoldRanger-ActionHero-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Action Heroes,Gold Ranger (Lion Fire Armor),modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58907&figure=goldrangerlionfirearmor,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_GoldRanger-LionFire-ActionHero-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Action Heroes,Gold Ranger (Ninja Super Steel Mode),modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58909&figure=goldrangerninjasupersteelmode,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_GoldRanger-SuperSteel-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Action Heroes,Red Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58899&figure=redranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_RedRanger-ActionHero-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Action Heroes,Red Ranger (Lion Fire Armor),modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58901&figure=redrangerlionfirearmor,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_RedRangerLionFire-ActionHero-1.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Action Heroes,Red Ranger (Ninja Super Steel Mode),modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58903&figure=redrangerninjasupersteelmode,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_RedRanger-SuperSteel-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Action Heroes,Yellow Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58905&figure=yellowranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_YellowRanger-ActionHero-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Action Heroes,Yellow Ranger (Ninja Super Steel Mode),modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58908&figure=yellowrangerninjasupersteelmode,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_YellowRanger-SuperSteel-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Basic Series,Alpine Attack Vehicle,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58879&figure=alpineattackvehicle,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_AlpineAttackVehicle-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Basic Series,Blaze Megazord,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58875&figure=blazemegazord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_BlazeMegazord-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Basic Series,Blue Ranger Dragon Scorch,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58870&figure=bluerangerdragonscorch,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_BlueRanger-DragonScorch-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Basic Series,Bullrider Megazord,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58874&figure=bullridermegazord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_BullriderMegazord-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Basic Series,Cycle with Red Ranger,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58878&figure=cyclewithredranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_CycleRedRanger-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Basic Series,Epic Hero Set,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58918&figure=epicheroset,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_EpicHeroSet-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Basic Series,Gorilla Blast Zord,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58856&figure=gorillablastzord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_GorillaBlastZord-Front.jpg
Power Rangers,Power Rangers Super Ninja Steel,Power Rangers Super Ninja Steel,Bandai,2018,Basic Series,Lunar Rover,modern,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=58880&figure=lunarrover,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerssuperninjasteel/thumb_LunarRover-1.jpg
