franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Time Force,Power Rangers Time Force,Bandai,2001,Accessories,Time Force Power Rangers Control Center (Quantum Ranger / Ransik),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47292&figure=timeforcepowerrangerscontrolcenterquantumrangerransik,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerstimeforce/thumb_ControlCenter-Front.jpg
Power Rangers,Power Rangers Time Force,Power Rangers Time Force,Bandai,2001,Action Zords,Missile Firing Quantasaurus Rex Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47247&figure=missilefiringquantasaurusrexmegazord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/09/img_6914.jpg?w=267
Power Rangers,Power Rangers Time Force,Power Rangers Time Force,Bandai,2001,Action Zords,Staff Whirling Time Shadow Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47246&figure=staffwhirlingtimeshadowmegazord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerstimeforce/thumb_StaffWhirling-Megazord-Front.jpg
Power Rangers,Power Rangers Time Force,Power Rangers Time Force,Bandai,2001,Action Zords,Time Force Megazord Mode Blue,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47245&figure=timeforcemegazordmodeblue,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerstimeforce/thumb_MegazordModeBlue-TimeForce-Front.jpg
Power Rangers,Power Rangers Time Force,Power Rangers Time Force,Bandai,2001,Action Zords,Time Force Megazord Mode Red,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47244&figure=timeforcemegazordmodered,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/09/img_6910.jpg?w=265
Power Rangers,Power Rangers Time Force,Power Rangers Time Force,Bandai,2001,Action Zords,Trans-Warp Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47243&figure=transwarpmegazord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerstimeforce/thumb_TransWarp-Megazord-Front.jpg
Power Rangers,Power Rangers Time Force,Power Rangers Time Force,Bandai,2001,Armour,Zord Armour Ranger (Blue),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=6512&figure=zordarmourrangerblue,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerstimeforce/thumb_ZordArmourRangerBlue-TimeForce-Front.jpg
Power Rangers,Power Rangers Time Force,Power Rangers Time Force,Bandai,2001,Armour,Zord Armour Ranger (Red),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=6509&figure=zordarmourrangerred,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerstimeforce/thumb_ZordArmourRangerRed-TimeForce-Front.jpg
Power Rangers,Power Rangers Time Force,Power Rangers Time Force,Bandai,2001,Battle Warrior,Blue Battle Warrior Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47280&figure=bluebattlewarriorpowerranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/09/img_6881-1.jpg?w=266
Power Rangers,Power Rangers Time Force,Power Rangers Time Force,Bandai,2001,Battle Warrior,Green Battle Warrior Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47281&figure=greenbattlewarriorpowerranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/09/img_6882.jpg?w=271
Power Rangers,Power Rangers Time Force,Power Rangers Time Force,Bandai,2001,Battle Warrior,Red Battle Warrior Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47279&figure=redbattlewarriorpowerranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/09/img_6887-1.jpg?w=464
Power Rangers,Power Rangers Time Force,Power Rangers Time Force,Bandai,2001,Deluxe,Deluxe Quantasaurus Rex Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47291&figure=deluxequantasaurusrexmegazord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/09/img_6971.jpg?w=534
Power Rangers,Power Rangers Time Force,Power Rangers Time Force,Bandai,2001,Deluxe,Deluxe Time Force Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=47270&figure=deluxetimeforcemegazord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerstimeforce/thumb_DeluxeTimeForceMegazord-Front.jpg
Power Rangers,Power Rangers Time Force,Power Rangers Time Force,Bandai,2001,Deluxe,Deluxe Time Jet,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12483&figure=deluxetimejet,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/09/img_6999.jpg?w=466
