franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Mirai Sentai Timeranger,Roleplay Items,Bandai,2000,Roleplay Items,Chrono Changer,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Timeranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/a/a7/MST_chronoc.png/revision/latest/scale-to-width-down/180?cb=20200221191515,
Power Rangers,Mirai Sentai Timeranger,Roleplay Items,Bandai,2000,Roleplay Items,Time Emblem,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Timeranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/3/37/MST_emblem.png/revision/latest/scale-to-width-down/180?cb=20200221191548,
Power Rangers,Mirai Sentai Timeranger,Roleplay Items,Bandai,2000,Roleplay Items,Double Vector Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Timeranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/2/23/MST_doublevector.jpg/revision/latest/scale-to-width-down/180?cb=20200221191600,
Power Rangers,Mirai Sentai Timeranger,Roleplay Items,Bandai,2000,Roleplay Items,Time Attache Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Timeranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/1/10/MST_timeattache.jpg/revision/latest/scale-to-width-down/180?cb=20200221191612,
Power Rangers,Mirai Sentai Timeranger,Roleplay Items,Bandai,2000,Roleplay Items,TimeFlyer,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Timeranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/3/3c/MST_timeflyer.jpg/revision/latest/scale-to-width-down/180?cb=20200305204831,
Power Rangers,Mirai Sentai Timeranger,Roleplay Items,Bandai,2000,Roleplay Items,Space-Time Sword,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Timeranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/4/48/MST_jikuuken.jpg/revision/latest/scale-to-width-down/180?cb=20200221191901,
Power Rangers,Mirai Sentai Timeranger,Roleplay Items,Bandai,2000,Roleplay Items,Vortech Bazooka,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Timeranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/5/51/MST_bazooka.jpg/revision/latest/scale-to-width-down/180?cb=20200221191913,
Power Rangers,Mirai Sentai Timeranger,Roleplay Items,Bandai,2000,Roleplay Items,DV Defender,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Timeranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/75/MST_DVdefender.png/revision/latest/scale-to-width-down/180?cb=20200221191630,
Power Rangers,Mirai Sentai Timeranger,Roleplay Items,Bandai,2000,Roleplay Items,Time Emblem Version F,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Timeranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/a/aa/MST_emblemF.png/revision/latest/scale-to-width-down/180?cb=20200221191930,
Power Rangers,Mirai Sentai Timeranger,Roleplay Items,Bandai,2000,Roleplay Items,Time Robota,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Timeranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/cf/MST_timerobota.jpg/revision/latest/scale-to-width-down/180?cb=20200305210702,
Power Rangers,Mirai Sentai Timeranger,DX Mecha,Bandai,2000,DX Mecha,3D Formation DX TimeRobo,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Timeranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/2/21/2000_timerobo.png/revision/latest/scale-to-width-down/180?cb=20200316211259,
Power Rangers,Mirai Sentai Timeranger,DX Mecha,Bandai,2000,DX Mecha,Delta Formation DX TimeShadow,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Timeranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/3/36/2000_timeshadow.png/revision/latest/scale-to-width-down/180?cb=20200316205307,
Power Rangers,Mirai Sentai Timeranger,DX Mecha,Bandai,2000,DX Mecha,DX Provider Base,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Timeranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/0/02/2000_providus.png/revision/latest/scale-to-width-down/180?cb=20200316203233,
Power Rangers,Mirai Sentai Timeranger,DX Mecha,Bandai,2000,DX Mecha,Voice Formation DX V-Rex Robo,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Timeranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/5/5e/2000_vrexrobo.png/revision/latest/scale-to-width-down/180?cb=20200316203314,
Power Rangers,Mirai Sentai Timeranger,DX Mecha,Bandai,2000,DX Mecha,DX Black Formation TimeRobo &amp; TimeShadow,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Timeranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/0/07/MST_timeflyerset2.jpg/revision/latest/scale-to-width-down/180?cb=20200402033036,
Power Rangers,Mirai Sentai Timeranger,Action Figures,Bandai,2000,Action Figures,HG Series: Mirai Sentai Timeranger,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Timeranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/b/b9/Pladela-timeranger-single.jpg/revision/latest/scale-to-width-down/180?cb=20180618080230,
