franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Gekisou Sentai Carranger,Roleplay Items,Bandai,1996,Roleplay Items,Accel Changer,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Carranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/cd/GSC_accelchanger.jpg/revision/latest/scale-to-width-down/180?cb=20200220221354,
Power Rangers,Gekisou Sentai Carranger,Roleplay Items,Bandai,1996,Roleplay Items,Auto Blaster Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Carranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/0/0b/GSC_autoblaster.jpg/revision/latest/scale-to-width-down/180?cb=20200220221301,
Power Rangers,Gekisou Sentai Carranger,Roleplay Items,Bandai,1996,Roleplay Items,Viblade,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Carranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/4/46/GSC_viblade.jpg/revision/latest/scale-to-width-down/180?cb=20200220221423,
Power Rangers,Gekisou Sentai Carranger,Roleplay Items,Bandai,1996,Roleplay Items,DX Giga Formula,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Carranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/3/37/GSC_gigaformula.jpg/revision/latest/scale-to-width-down/180?cb=20200220221913,
Power Rangers,Gekisou Sentai Carranger,Roleplay Items,Bandai,1996,Roleplay Items,Multi Recording Item Signizer,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Carranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/f/f0/GSC_signaizer.jpg/revision/latest/scale-to-width-down/180?cb=20200220221549,
Power Rangers,Gekisou Sentai Carranger,Roleplay Items,Bandai,1996,Roleplay Items,DX Giga Booster,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Carranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/1/18/GSC_gigabooster.jpeg/revision/latest/scale-to-width-down/180?cb=20200220221434,
Power Rangers,Gekisou Sentai Carranger,Roleplay Items,Bandai,1996,Roleplay Items,LCD Scope Car Navic,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Carranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/5/51/GSC_carnavic.jpg/revision/latest/scale-to-width-down/180?cb=20200220221611,
Power Rangers,Gekisou Sentai Carranger,DX Mecha,Bandai,1996,DX Mecha,Transforming Equipment Navic Shot,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Carranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/e/e1/GSC_navicshot.jpg/revision/latest/scale-to-width-down/180?cb=20200220221343,
Power Rangers,Gekisou Sentai Carranger,DX Mecha,Bandai,1996,DX Mecha,Gekiso Combination DX RV Robo,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Carranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/b/b5/1996_RVrobo.png/revision/latest/scale-to-width-down/180?cb=20200316152244,
Power Rangers,Gekisou Sentai Carranger,DX Mecha,Bandai,1996,DX Mecha,DX Sirender,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Carranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/d/d3/1996_sirender.png/revision/latest/scale-to-width-down/180?cb=20200316152303,
Power Rangers,Gekisou Sentai Carranger,DX Mecha,Bandai,1996,DX Mecha,DX VRV Robo,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Carranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/71/1996_VRVrobo.png/revision/latest/scale-to-width-down/180?cb=20200316154327,
Power Rangers,Gekisou Sentai Carranger,DX Mecha,Bandai,1996,DX Mecha,Battle Fortress DX Victrailer,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Carranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/62/1996_victrailer.png/revision/latest/scale-to-width-down/180?cb=20200316154412,
Power Rangers,Gekisou Sentai Carranger,DX Mecha,Bandai,1996,DX Mecha,Victory Dock,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Carranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/c3/1996_victorydock.jpg/revision/latest/scale-to-width-down/180?cb=20200316152157,
