franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Basic Series,Artillatron (Deluxe Turbo Transport),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=6519&figure=artillatrondeluxeturbotransport3045,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_Artillatron-Turbo-Front.jpg
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Basic Series,Auto Blaster & Turbo Blade,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41966&figure=autoblasterampturboblade2959,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_6118.jpg?w=789
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Basic Series,Deluxe Blue Senturion and Senturion Cycle,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41994&figure=deluxebluesenturionandsenturioncycle3057,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_BlueSenturionCycle-Front.jpg
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Basic Series,Deluxe Double Morphing Rescue Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41992&figure=deluxedoublemorphingrescuemegazord3047,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_DeluxeDoubleMorphingRescueMegazordTurbo-Front.jpg
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Basic Series,Deluxe Lightning Cruiser,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41995&figure=deluxelightningcruiser3061,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_LightningCruiser1.jpg
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Basic Series,Deluxe Robo Racer,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41991&figure=deluxeroboracer3043,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_6151.jpg?w=501
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Basic Series,Deluxe Storm Blaster,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41996&figure=deluxestormblaster3062,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_StormBlaster1.jpg
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Basic Series,Deluxe Turbine Laser,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7004&figure=deluxeturbinelaser3066,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_TurbineLaser-Turbo-Front.jpg
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Basic Series,Deluxe Turbo Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41967&figure=deluxeturbomegazord2963,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_DeluxeTurboMegazord-Front.jpg
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Basic Series,Mini Turbo R.A.M.,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7133&figure=miniturboram3065,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_MiniTurboRam-Turbo-Front.jpg
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Basic Series,Senturion Synergizer,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41993&figure=senturionsynergizer3049,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_6119.jpg?w=1024
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Basic Series,Triple Action Turbo Ranger Collection,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41988&figure=tripleactionturborangercollection3031,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_TripleActionCollection-Front.jpg
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Basic Series,Turbo Morpher,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41965&figure=turbomorpher2958,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_6120.jpg?w=616
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Basic Series,Turbo Power Pack,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41989&figure=turbopowerpack3033,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_6089.jpg?w=400
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Basic Series,Turbo R.A.M.,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7008&figure=turboram2961,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_TurboRam-Turbo-Front.jpg
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Evil Space Aliens,Amphibitor (Jaw-Dropping Action),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41938&figure=amphibitorjawdroppingaction2774,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_Amphibitor-ESA-Front.jpg
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Evil Space Aliens,Chromite (Whip Spinning Action),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41935&figure=chromitewhipspinningaction2769,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_Chromite-ESA-Front.jpg
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Evil Space Aliens,Divatox (Pirate Queen Cape Action),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41936&figure=divatoxpiratequeencapeaction2772,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_Divatox-ESA-Front.jpg
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Evil Space Aliens,Elgar (Slack Jaw Action),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7134&figure=elgarslackjawaction2768,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_Elgar-Turbo-Front.jpg
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Evil Space Aliens,Griller (Horn Honking Action),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=6518&figure=grillerhornhonkingaction2770,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_TurboGriller1.jpg
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Evil Space Aliens,Hammeron (Hammer-Hand Motion),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=20466&figure=hammeronhammerhandmotion2775,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_Hammeron1.jpg
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Evil Space Aliens,Rygog (Stinger Head Action),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41934&figure=rygogstingerheadaction2767,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_Rygog-ESA-Front.jpg
Power Rangers,Power Rangers Turbo,Power Rangers Turbo,Bandai,1997,Evil Space Aliens,Visceron (Spinning Chest Turbine Action),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41937&figure=visceronspinningchestturbineaction2773,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangersturbo/thumb_Visceron-ESA-Front.jpg
