franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Wild Force,Power Rangers Wild Force,Bandai,2002,"12"" Scale",Lunar Wolf Wild Warrior With Savage Cycle,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91821&figure=lunarwolfwildwarriorwithsavagecycle,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerswildforce/thumb_LunarWolfWildWarriorWithSavageCycle-Front.jpg
Power Rangers,Power Rangers Wild Force,Power Rangers Wild Force,Bandai,2002,"12"" Scale",Red Wild Warrior With Savage Cycle,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=6372&figure=redwildwarriorwithsavagecycle,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerswildforce/thumb_RedSavageCycle-WildForce-Front.jpg
Power Rangers,Power Rangers Wild Force,Power Rangers Wild Force,Bandai,2002,Action Sounds,Wild Force Action Sounds Lunar Wolf,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91851&figure=wildforceactionsoundslunarwolf,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerswildforce/thumb_WildForceActionSoundsLunarWolf-Front.jpg
Power Rangers,Power Rangers Wild Force,Power Rangers Wild Force,Bandai,2002,Action Sounds,Wild Force Action Sounds Red Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91850&figure=wildforceactionsoundsredpowerranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerswildforce/thumb_WildForceActionSoundsRedPowerRanger-Front.jpg
Power Rangers,Power Rangers Wild Force,Power Rangers Wild Force,Bandai,2002,Action Zords,Wild Force Isis Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91790&figure=wildforceisismegazord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerswildforce/thumb_WildForceIsisMegazord-Front.jpg
Power Rangers,Power Rangers Wild Force,Power Rangers Wild Force,Bandai,2002,Action Zords,Wild Force Kongazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91788&figure=wildforcekongazord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerswildforce/thumb_WildForceKongazord-Front.jpg
Power Rangers,Power Rangers Wild Force,Power Rangers Wild Force,Bandai,2002,Action Zords,Wild Force Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91787&figure=wildforcemegazord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerswildforce/thumb_WildForceMegazord-Front.jpg
Power Rangers,Power Rangers Wild Force,Power Rangers Wild Force,Bandai,2002,Action Zords,Wild Force Pegasus Megazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91791&figure=wildforcepegasusmegazord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerswildforce/thumb_WildForcePegasusMegazord-Front.jpg
Power Rangers,Power Rangers Wild Force,Power Rangers Wild Force,Bandai,2002,Action Zords,Wild Force Predazord,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91789&figure=wildforcepredazord,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerswildforce/thumb_WildForcePredazord-Front.jpg
Power Rangers,Power Rangers Wild Force,Power Rangers Wild Force,Bandai,2002,Basic Series,Black Spin-Morphin Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91784&figure=blackspinmorphinpowerranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerswildforce/thumb_Black-SpinMorphinPowerRanger-Front.jpg
Power Rangers,Power Rangers Wild Force,Power Rangers Wild Force,Bandai,2002,Basic Series,Black Wild Force Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91780&figure=blackwildforcepowerranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerswildforce/thumb_Black-WildForcePowerRanger-Front.jpg
Power Rangers,Power Rangers Wild Force,Power Rangers Wild Force,Bandai,2002,Basic Series,Blue Spin-Morphin Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91783&figure=bluespinmorphinpowerranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerswildforce/thumb_Blue-SpinMorphinPowerRanger-Front.jpg
Power Rangers,Power Rangers Wild Force,Power Rangers Wild Force,Bandai,2002,Basic Series,Blue Wild Force Power Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91779&figure=bluewildforcepowerranger,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerswildforce/thumb_Blue-WildForcePowerRanger-Front.jpg
