franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Hyakujuu Sentai Gaoranger,Roleplay Items,Bandai,2001,Roleplay Items,Transformation Phone G-Phone,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gaoranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/63/HSG_gphonemodes.jpg/revision/latest/scale-to-width-down/180?cb=20200228153838,
Power Rangers,Hyakujuu Sentai Gaoranger,Roleplay Items,Bandai,2001,Roleplay Items,Beast King Sword,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gaoranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/e/e9/HSG_jokset.jpg/revision/latest/scale-to-width-down/180?cb=20200228153849,
Power Rangers,Hyakujuu Sentai Gaoranger,Roleplay Items,Bandai,2001,Roleplay Items,Evil-Crushing Hundred-Beast Sword Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gaoranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/0/02/HSG-Haja_Hyakujuken.jpg/revision/latest/scale-to-width-down/180?cb=20200228155907,
Power Rangers,Hyakujuu Sentai Gaoranger,Roleplay Items,Bandai,2001,Roleplay Items,Gao Mane Buster,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gaoranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/8/84/HSG_gaomanebuster.jpg/revision/latest/scale-to-width-down/180?cb=20200228153907,
Power Rangers,Hyakujuu Sentai Gaoranger,Roleplay Items,Bandai,2001,Roleplay Items,G Brace Phone,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gaoranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/74/HSG_gbraceclosed.jpg/revision/latest/scale-to-width-down/180?cb=20200228153918,
Power Rangers,Hyakujuu Sentai Gaoranger,Roleplay Items,Bandai,2001,Roleplay Items,Gao Hustler Rod,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gaoranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/2/25/HSG_hustlerset.jpg/revision/latest/scale-to-width-down/180?cb=20200228153949,
Power Rangers,Hyakujuu Sentai Gaoranger,Roleplay Items,Bandai,2001,Roleplay Items,Falcon Summoner,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gaoranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/1/1e/HSG_falconsummonertransparent.png/revision/latest/scale-to-width-down/180?cb=20200228155920,
Power Rangers,Hyakujuu Sentai Gaoranger,DX Mecha,Bandai,2001,DX Mecha,Power Animal GaoIcarus Jewel Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gaoranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/5/58/HSG_Gaoicarusjewels.jpg/revision/latest/scale-to-width-down/180?cb=20200228160423,
Power Rangers,Hyakujuu Sentai Gaoranger,DX Mecha,Bandai,2001,DX Mecha,Hyakuju Combination DX GaoKing,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gaoranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/b/be/HSG_DXgaoking1.jpg/revision/latest/scale-to-width-down/180?cb=20230113081659,
Power Rangers,Hyakujuu Sentai Gaoranger,DX Mecha,Bandai,2001,DX Mecha,Hyakuju Combination DX  GaoKing Black Version,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gaoranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/4/42/HSG_DXblackgaoking1.jpg/revision/latest/scale-to-width-down/180?cb=20200227211124,
Power Rangers,Hyakujuu Sentai Gaoranger,DX Mecha,Bandai,2001,DX Mecha,Hyakuju Combination DX GaoMuscle,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gaoranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/5/5d/HSG_DXgaomuscle1.jpg/revision/latest/scale-to-width-down/180?cb=20200227211135,
Power Rangers,Hyakujuu Sentai Gaoranger,DX Mecha,Bandai,2001,DX Mecha,Hyakuju Sentai Gaoranger DX Soul Bird,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gaoranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/6d/HSG_DXsoulbird.jpg/revision/latest/scale-to-width-down/180?cb=20200227213210,
Power Rangers,Hyakujuu Sentai Gaoranger,DX Mecha,Bandai,2001,DX Mecha,Hyakuju Combination DX GaoHunter,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gaoranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/cb/HSG_DXgaohunter1.jpg/revision/latest/scale-to-width-down/180?cb=20230105151107,
Power Rangers,Hyakujuu Sentai Gaoranger,DX Mecha,Bandai,2001,DX Mecha,Hyakuju Combination DX GaoHunter Special Edition: GaoLigator Blue Version,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gaoranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/f/fc/HSG_DXgaohunterblue1.jpg/revision/latest/scale-to-width-down/180?cb=20230113075518,
Power Rangers,Hyakujuu Sentai Gaoranger,DX Mecha,Bandai,2001,DX Mecha,Hyakuju Combination DX GaoIcarus,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Gaoranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/60/HSG_DXgaoicarus.jpg/revision/latest/scale-to-width-down/180?cb=20200227211700,
