franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Power Rangers Zeo,Power Rangers Zeo,Bandai,1996,"8"" Scale",Gold Ranger (Staff Whirling),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41160&figure=goldrangerstaffwhirling2686,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerszeo/thumb_GoldRanger-8Scale-Front.jpg
Power Rangers,Power Rangers Zeo,Power Rangers Zeo,Bandai,1996,"8"" Scale",Zeo Ranger I (Laser Blade Action),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41161&figure=zeorangerilaserbladeaction2681,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerszeo/thumb_ZeoRanger1-8Scale-Front.jpg
Power Rangers,Power Rangers Zeo,Power Rangers Zeo,Bandai,1996,"8"" Scale",Zeo Ranger II (Laser Pistol Action),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41162&figure=zeorangeriilaserpistolaction2682,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerszeo/thumb_ZeoRanger2-8Scale-Front.jpg
Power Rangers,Power Rangers Zeo,Power Rangers Zeo,Bandai,1996,"8"" Scale",Zeo Ranger III (Laser Blade Action),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41163&figure=zeorangeriiilaserbladeaction2683,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerszeo/thumb_ZeoRanger3-8Scale-Front.jpg
Power Rangers,Power Rangers Zeo,Power Rangers Zeo,Bandai,1996,"8"" Scale",Zeo Ranger IV (Laser Pistol Action),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41164&figure=zeorangerivlaserpistolaction2684,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerszeo/thumb_ZeoRanger4-8Scale-Front.jpg
Power Rangers,Power Rangers Zeo,Power Rangers Zeo,Bandai,1996,"8"" Scale",Zeo Ranger V (Laser Pistol Action),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41165&figure=zeorangervlaserpistolaction2685,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerszeo/thumb_ZeoRanger5-8Scale-Front.jpg
Power Rangers,Power Rangers Zeo,Power Rangers Zeo,Bandai,1996,Auto Morphin,Gold Ranger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41166&figure=goldranger2756,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerszeo/thumb_GoldRanger-Auto-Front.jpg
Power Rangers,Power Rangers Zeo,Power Rangers Zeo,Bandai,1996,Auto Morphin,Zeo Ranger I (Pink),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41167&figure=zeorangeripink2751,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_5813.jpg?w=236
Power Rangers,Power Rangers Zeo,Power Rangers Zeo,Bandai,1996,Auto Morphin,Zeo Ranger II (Yellow),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41168&figure=zeorangeriiyellow2752,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerszeo/thumb_YellowRanger-Auto-Front.jpg
Power Rangers,Power Rangers Zeo,Power Rangers Zeo,Bandai,1996,Auto Morphin,Zeo Ranger III (Blue),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=41169&figure=zeorangeriiiblue2753,Western Power Rangers property imported under the shared Power Rangers franchise.,,https://www.figurerealm.com/galleries/powerrangerszeo/thumb_BlueRanger-Auto-Front.jpg
