franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Rangers,Chouriki Sentai Ohranger,Roleplay Items,Bandai,1995,Roleplay Items,Power Brace,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Ohranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/7b/CSO_powerbrace.jpg/revision/latest/scale-to-width-down/180?cb=20200220214719,
Power Rangers,Chouriki Sentai Ohranger,Roleplay Items,Bandai,1995,Roleplay Items,Ranger Items Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Ohranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/e/ec/CSO_rangeritems.jpg/revision/latest/scale-to-width-down/180?cb=20200220214507,
Power Rangers,Chouriki Sentai Ohranger,Roleplay Items,Bandai,1995,Roleplay Items,Star Riser,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Ohranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/d/d6/CSO_starriser.jpg/revision/latest/scale-to-width-down/180?cb=20200220214544,
Power Rangers,Chouriki Sentai Ohranger,Roleplay Items,Bandai,1995,Roleplay Items,King Blaster Set,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Ohranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/b/b0/CSO_kingblaster.jpg/revision/latest/scale-to-width-down/180?cb=20200220214555,
Power Rangers,Chouriki Sentai Ohranger,Roleplay Items,Bandai,1995,Roleplay Items,Ohre Bazooka,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Ohranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/5/50/CSO_bazooka.jpg/revision/latest/scale-to-width-down/180?cb=20200220214608,
Power Rangers,Chouriki Sentai Ohranger,Roleplay Items,Bandai,1995,Roleplay Items,King Brace,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Ohranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/6/6f/CSO_kingbrace.jpg/revision/latest/scale-to-width-down/180?cb=20200220214907,
Power Rangers,Chouriki Sentai Ohranger,Roleplay Items,Bandai,1995,Roleplay Items,King Stick,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Ohranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/9/91/CSO_kingstick.jpg/revision/latest/scale-to-width-down/180?cb=20200220214623,
Power Rangers,Chouriki Sentai Ohranger,DX Mecha,Bandai,1995,DX Mecha,DX Ohranger Robo,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Ohranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/7/71/1995_ohrangerrobo.png/revision/latest/scale-to-width-down/180?cb=20200316145626,
Power Rangers,Chouriki Sentai Ohranger,DX Mecha,Bandai,1995,DX Mecha,DX Red Puncher,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Ohranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/3/3f/1995_redpuncher.png/revision/latest/scale-to-width-down/180?cb=20200316145701,
Power Rangers,Chouriki Sentai Ohranger,DX Mecha,Bandai,1995,DX Mecha,DX King Pyramider,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Ohranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/c/ca/1995_kingpyramider.png/revision/latest/scale-to-width-down/180?cb=20200313205333,
Power Rangers,Chouriki Sentai Ohranger,DX Mecha,Bandai,1995,DX Mecha,DX OhBlocker,vintage,RangerWiki,https://powerrangers.fandom.com/wiki/Ohranger_(Toyline),Japanese Super Sentai property imported under the shared Power Rangers franchise. Photo from RangerWiki toyline page.,https://static.wikia.nocookie.net/powerrangers/images/2/29/1995_ohblocker.png/revision/latest/scale-to-width-down/180?cb=20200313210417,
