franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Air Award Series,Commander Cub Jones (Heroism Award),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168026&figure=commandercubjonesheroismaward,https://www.figurerealm.com/galleries/ringraiders/CommanderCubJones-HeroismAward-AirAwardSeries-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Air Award Series,Commander Kirkov (Freedom Award),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168024&figure=commanderkirkovfreedomaward,https://www.figurerealm.com/galleries/ringraiders/CommanderKirkov-FreedomAward-AirAwardSeries-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Air Award Series,Commander Miles (Honor Award),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168025&figure=commandermileshonoraward,https://www.figurerealm.com/galleries/ringraiders/CommanderMiles-HonorAward-AirAwardSeries-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Air Award Series,Commander Thunderbird (Rescue Award),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168023&figure=commanderthunderbirdrescueaward,https://www.figurerealm.com/galleries/ringraiders/CommanderThunderbird-RescueAward-AirAwardSeries-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Air Award Series,Commander Yakamura (Valor Award),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168027&figure=commanderyakamuravaloraward,https://www.figurerealm.com/galleries/ringraiders/CommanderYakamura-ValorAward-AirAwardSeries-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Air Award Series,Ring Commander Vector (Leadership Award),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168022&figure=ringcommandervectorleadershipaward,https://www.figurerealm.com/galleries/ringraiders/RingCommanderVector-LeadershipAward-AirAwardSeries-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Ring Raiders,Air Carrier Justice,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168045&figure=aircarrierjustice,https://www.figurerealm.com/galleries/ringraiders/AirCarrierJustice-RingRaiders-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Ring Raiders,Battle Blaster,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168048&figure=battleblaster,https://www.figurerealm.com/galleries/ringraiders/BattleBlaster-RingRaiders-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Ring Raiders,Bravery Wing (Knight Fighter / Commander Miles),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168041&figure=braverywingknightfightercommandermiles,https://www.figurerealm.com/galleries/ringraiders/BraveryWing-KnightFighterCommanderMiles-RingRaiders-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Ring Raiders,Freedom Wing (Kirkov's Comet / Commander Kirkov),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168039&figure=freedomwingkirkovscometcommanderkirkov,https://www.figurerealm.com/galleries/ringraiders/FreedomWing-KirkovsCometCommanderKirkov-RingRaiders-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Ring Raiders,Hero Wing (Sky Tiger / Commander Cub Jones),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168043&figure=herowingskytigercommandercubjones,https://www.figurerealm.com/galleries/ringraiders/HeroWing-SkyTigerCommanderCubJones-RingRaiders-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Ring Raiders,Rescue Wing (Arrowhead / Commander Thundercloud),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168040&figure=rescuewingarrowheadcommanderthundercloud,https://www.figurerealm.com/galleries/ringraiders/RescueWing-ArrowheadCommanderThundercloud-RingRaiders-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Ring Raiders,Skybase Courage,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168047&figure=skybasecourage,https://www.figurerealm.com/galleries/ringraiders/SkybaseCourage-RingRaiders-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Ring Raiders,Skybase Freedom,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168046&figure=skybasefreedom,https://www.figurerealm.com/galleries/ringraiders/SkybaseFreedom-RingRaiders-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Ring Raiders,Valor Wing (Samurai Flyer / Commander Yakamura),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168044&figure=valorwingsamuraiflyercommanderyakamura,https://www.figurerealm.com/galleries/ringraiders/ValorWing-SamuraiFlyerCommanderYakamura-RingRaiders-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Ring Raiders,Victor Wing (Victory 1 / Ring Commander Vector),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168042&figure=victorwingvictory1ringcommandervector,https://www.figurerealm.com/galleries/ringraiders/VictorWing-Victory1RingCommanderVector-RingRaiders-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Ring Raiders,Wing Command Display Stand,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168049&figure=wingcommanddisplaystand,https://www.figurerealm.com/galleries/ringraiders/WingCommandDisplayStand-RingRaiders-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Skull Squadron,Ambush Wing (Scorch's Torch / Skull Leader Torch),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168032&figure=ambushwingscorchstorchskullleadertorch,https://www.figurerealm.com/galleries/ringraiders/AmbushWing-ScorchsTorchSkullLeaderTorch-SkullSquadron-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Skull Squadron,Bandit Wing (The Ice Machine / Skull Leader Chiller),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168033&figure=banditwingtheicemachineskullleaderchiller,https://www.figurerealm.com/galleries/ringraiders/BanditWing-TheIceMachineSkullLeaderChiller-SkullSquadron-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Skull Squadron,Battle Blaster,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168035&figure=battleblaster,https://www.figurerealm.com/galleries/ringraiders/BattleBlaster-SkullSquadron-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Skull Squadron,Havoc Wing (Battle Bird / Skull Leader Blackjack),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168029&figure=havocwingbattlebirdskullleaderblackjack,https://www.figurerealm.com/galleries/ringraiders/HavocWing-BattleBirdSkullLeaderBlackjack-SkullSquadron-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Skull Squadron,Rebel Wing (Zapmaster / Skull Leader Hubbub),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168030&figure=rebelwingzapmasterskullleaderhubbub,https://www.figurerealm.com/galleries/ringraiders/RebelWing-ZapmasterSkullLeaderHubbub-SkullSquadron-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Skull Squadron,Skull Squadron Action Assault Base,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168031&figure=skullsquadronactionassaultbase,https://www.figurerealm.com/galleries/ringraiders/SkullSquadronActionAssaultBase-SkullSquadron-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Skull Squadron,Vicious Wing (Sea Hunter / Skull Leader Mako),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168028&figure=viciouswingseahunterskullleadermako,https://www.figurerealm.com/galleries/ringraiders/ViciousWing-SeaHunterSkullLeaderMako-SkullSquadron-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Skull Squadron,Vulture Wing (Galloping Ghoul / Skull Leader Wraither),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168034&figure=vulturewinggallopingghoulskullleaderwraither,https://www.figurerealm.com/galleries/ringraiders/VultureWing-GallopingGhoulSkullLeaderWraither-SkullSquadron-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Wing Commander Plane Series,Set #1,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168036&figure=set1,https://www.figurerealm.com/galleries/ringraiders/Set1-WingCommanderPlaneSeries-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Wing Commander Plane Series,Set #2,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168037&figure=set2,https://www.figurerealm.com/galleries/ringraiders/Set2-WingCommanderPlaneSeries-Front.jpg,,Figure Realm checklist id 7505.
Ring Raiders,Ring Raiders,Ring Raiders,Matchbox,1988,Wing Commander Plane Series,Set #3,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=168038&figure=set3,https://www.figurerealm.com/galleries/ringraiders/Set3-WingCommanderPlaneSeries-Front.jpg,,Figure Realm checklist id 7505.
