franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Robotech,Robotech,Harmony Gold Robotech,Harmony Gold,1992,"12"" Scale",Dana Sterling,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=28408&figure=danasterling,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_DanaSterling-12-Front.jpg
Robotech,Robotech,Harmony Gold Robotech,Harmony Gold,1992,"12"" Scale",Lisa Hayes,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=28409&figure=lisahayes,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_LisaHayes-12-Front.jpg
Robotech,Robotech,Harmony Gold Robotech,Harmony Gold,1992,"12"" Scale",Lynn Minmei,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=28411&figure=lynnminmei,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_LynnMinmei-12-Front.jpg
Robotech,Robotech,Harmony Gold Robotech,Harmony Gold,1992,"12"" Scale",Rick Hunter,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=28410&figure=rickhunter,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_RickHunter-12-Front.jpg
Robotech,Robotech,Harmony Gold Robotech,Harmony Gold,1992,Accessories,Bioroid Invid Fighter,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13008&figure=bioroidinvidfighter,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_BioroidInvidFighter-Front.jpg
Robotech,Robotech,Harmony Gold Robotech,Harmony Gold,1992,Accessories,Excaliber MK VI,accessory,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13009&figure=excalibermkvi,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_ExcaliberMKVI-Front.jpg
Robotech,Robotech,Harmony Gold Robotech,Harmony Gold,1992,Accessories,Invid Shock Trooper,accessory,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13011&figure=invidshocktrooper,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_InvidShockTrooper-Front.jpg
Robotech,Robotech,Harmony Gold Robotech,Harmony Gold,1992,Accessories,Officer's Battle Pod,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13012&figure=officersbattlepod,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_OfficersBattlePod-Front.jpg
Robotech,Robotech,Harmony Gold Robotech,Harmony Gold,1992,Accessories,Tactical Battle Pod,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13015&figure=tacticalbattlepod,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_TacticalBattlePod-Front.jpg
Robotech,Robotech,Harmony Gold Robotech,Harmony Gold,1992,Accessories,Veritech Fighter (Super VF-1S),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13016&figure=veritechfightersupervf1s,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_VeritechFighter-Front.jpg
Robotech,Robotech,Harmony Gold Robotech,Harmony Gold,1992,Accessories,Veritech Hover Tank,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13017&figure=veritechhovertank,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_VeritechHoverTank-Front.jpg
Robotech,Robotech,Harmony Gold Robotech,Harmony Gold,1992,Accessories,Zentraedi Powered Armor (Botoru Battalion),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13018&figure=zentraedipoweredarmorbotorubattalion,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_ZentraediPoweredArmorBotoruBattalion-Front.jpg
Robotech,Robotech,Harmony Gold Robotech,Harmony Gold,1992,Accessories,Zentraedi Powered Armor (Quadrono Battalion),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13019&figure=zentraedipoweredarmorquadronobattalion,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/robotechharmonygold/thumb_ZentraediPoweredArmorQuadronoBattalion-Front.jpg
