franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Robotech,Super Dimension Fortress Macross,Macross,Takatoku Toys,0,Basic Series,Armored Valkyrie GBP-1S,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=138582&figure=armoredvalkyriegbp1s,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/macrosstakatokutoys/thumb_ArmoredValkyrieGBP1S-Front.jpg
Robotech,Super Dimension Fortress Macross,Macross,Takatoku Toys,1982,Basic Series,Battroid Valkyrie SDF-1 (1/3000 Scale),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=138586&figure=battroidvalkyriesdf113000scale,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/macrosstakatokutoys/thumb_BattroidValkyrieSDF1-13000Scale-Front.jpg
Robotech,Super Dimension Fortress Macross,Macross,Takatoku Toys,1983,Basic Series,Battroid Valkyrie VF-1A (1/100 Scale),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=138571&figure=battroidvalkyrievf1a1100scale,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/macrosstakatokutoys/thumb_BattroidValkyrieVF1A-1100Scale-Front.jpg
Robotech,Super Dimension Fortress Macross,Macross,Takatoku Toys,0,Basic Series,Battroid Valkyrie VF-1A (1/55 Scale),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=138572&figure=battroidvalkyrievf1a155scale,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/macrosstakatokutoys/thumb_BattroidValkyrieVF1A-155Scale-Front.jpg
Robotech,Super Dimension Fortress Macross,Macross,Takatoku Toys,0,Basic Series,Battroid Valkyrie VF-1J (1/55 Scale),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=138583&figure=battroidvalkyrievf1j155scale,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/macrosstakatokutoys/thumb_BattroidValkyrieVF1J-155Scale-Front.jpg
Robotech,Super Dimension Fortress Macross,Macross,Takatoku Toys,0,Basic Series,Battroid Valkyrie VF-1J Variable Fighter (1/55 Scale),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=138580&figure=battroidvalkyrievf1jvariablefighter155scale,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/macrosstakatokutoys/thumb_BattroidValkyrieVF1JVariableFighter-155Scale-Front.jpg
Robotech,Super Dimension Fortress Macross,Macross,Takatoku Toys,0,Basic Series,Battroid Valkyrie VF-1S Variable Fighter (1/55 Scale),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=138573&figure=battroidvalkyrievf1svariablefighter155scale,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/macrosstakatokutoys/thumb_BattroidValkyrieVF1SVariableFighter-155Scale-1.jpg,https://www.figurerealm.com/galleries/macrosstakatokutoys/thumb_BattroidValkyrieVF1SVariableFighter-155Scale-Front.jpg
Robotech,Super Dimension Fortress Macross,Macross,Takatoku Toys,0,Basic Series,Conversion Kit,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=138579&figure=conversionkit,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/macrosstakatokutoys/thumb_ConversionKit-Front.jpg
Robotech,Super Dimension Fortress Macross,Macross,Takatoku Toys,0,Basic Series,Destroid Defender ADR-04-MK X,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=138576&figure=destroiddefenderadr04mkx,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/macrosstakatokutoys/thumb_DestroidDefenderADR04MKX-Front.jpg
Robotech,Super Dimension Fortress Macross,Macross,Takatoku Toys,0,Basic Series,Destroid Phalanx SDR-04-MK XII,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=138581&figure=destroidphalanxsdr04mkxii,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/macrosstakatokutoys/thumb_DestroidPhalanxSDR04MKXII-Front.jpg
