franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Sectaurs,Sectaurs,Vintage Sectaurs,Coleco,1984,Basic Series,Pinsor,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=72188&figure=pinsor,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_Pinsor-Card-Front.jpg
Sectaurs,Sectaurs,Vintage Sectaurs,Coleco,1984,Basic Series,Skulk,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=72187&figure=skulk,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_Skulk-Front.jpg
Sectaurs,Sectaurs,Vintage Sectaurs,Coleco,1984,Beasts,Commander Waspax and Wingid,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13219&figure=commanderwaspaxandwingid,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_WaspaxWingid1.jpg,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_Waspax-Front.jpg
Sectaurs,Sectaurs,Vintage Sectaurs,Coleco,1984,Beasts,Dargon (Blue) and DragonFlyer,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13209&figure=dargonblueanddragonflyer,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_DargonBlue-2.jpg,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_DargonBlue1-Front.jpg
Sectaurs,Sectaurs,Vintage Sectaurs,Coleco,1984,Beasts,Dargon (Night Fighting) and Parafly,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13208&figure=dargonnightfightingandparafly,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_DargonSilver1.jpg,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_DargonParafly-Front.jpg
Sectaurs,Sectaurs,Vintage Sectaurs,Coleco,1984,Beasts,General Spidrax and SpiderFlyer,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13218&figure=generalspidraxandspiderflyer,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_Spidrax1-Front.jpg
Sectaurs,Sectaurs,Vintage Sectaurs,Coleco,1984,Beasts,Mantor and Raplor,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13210&figure=mantorandraplor,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_MantorAndRaplor-Beasts-1.jpg,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_MantorRaplor-Front.jpg
Sectaurs,Sectaurs,Vintage Sectaurs,Coleco,1984,Beasts,Pinsor and Battle Beetle,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13207&figure=pinsorandbattlebeetle,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_Pinsor-1.jpg,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_Pinsor-Front.jpg
Sectaurs,Sectaurs,Vintage Sectaurs,Coleco,1984,Beasts,Skito and Toxcid,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13217&figure=skitoandtoxcid,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_SkitoToxcid1.jpg,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_SkitoToxcid-Front.jpg
Sectaurs,Sectaurs,Vintage Sectaurs,Coleco,1984,Beasts,Skulk and Trancula,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13220&figure=skulkandtrancula,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_SkulkTrancula1.jpg,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_SkulkAndTrancula-Beasts-Front.jpg
Sectaurs,Sectaurs,Vintage Sectaurs,Coleco,1984,Beasts,Zak and Bitaur,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13206&figure=zakandbitaur,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_Zak1.jpg,https://www.figurerealm.com/galleries/sectaurswarriorsofsymbion/thumb_Zak-Front.jpg
