franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
SilverHawks,SilverHawks,Vintage SilverHawks,Kenner,1986,Basic Series,Bluegrass (with Hot Lick),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13373&figure=bluegrasswithhotlick,Figure Realm checklist entry.,,
SilverHawks,SilverHawks,Vintage SilverHawks,Kenner,1986,Basic Series,Bluegrass (with Side Man),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13372&figure=bluegrasswithsideman,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/silverhawks/thumb_BluegrassSideman-Front.jpg
SilverHawks,SilverHawks,Vintage SilverHawks,Kenner,1986,Basic Series,Bluegrass (with Ultrasonic Suit),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=27278&figure=bluegrasswithultrasonicsuit,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/silverhawks/thumb_BluegrassUltrasonicSuit-Front.jpg
SilverHawks,SilverHawks,Vintage SilverHawks,Kenner,1986,Basic Series,Buzz-Saw (with Shredator),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13374&figure=buzzsawwithshredator,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/silverhawks/thumb_BuzzSaw1.jpg,https://www.figurerealm.com/galleries/silverhawks/thumb_BuzzSaw-Front.jpg
SilverHawks,SilverHawks,Vintage SilverHawks,Kenner,1987,Basic Series,Condor (with Jet Stream),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13375&figure=condor,Transformerland lists this release as Condor with Jet Stream. Packaged/front image from Figure Realm.,,https://www.figurerealm.com/galleries/silverhawks/thumb_Condor-Front.jpg
SilverHawks,SilverHawks,Vintage SilverHawks,Kenner,1986,Basic Series,Copper Kidd (with Laser Disc),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13377&figure=copperkiddwithlaserdisc,Item-specific Figure Realm loose image.,https://www.figurerealm.com/galleries/silverhawks/thumb_CopperKiddLaserDisc1.jpg,
SilverHawks,SilverHawks,Vintage SilverHawks,Kenner,1986,Basic Series,Copper Kidd (with May-Day),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13376&figure=copperkiddwithmayday,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/silverhawks/thumb_CopperKiddMayDay1.jpg,https://www.figurerealm.com/galleries/silverhawks/thumb_CopperKiddMayDay-Front.jpg
SilverHawks,SilverHawks,Vintage SilverHawks,Kenner,1986,Basic Series,Flashback (with Backlash),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13378&figure=flashbackwithbacklash,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/silverhawks/thumb_Flashback1.jpg,https://www.figurerealm.com/galleries/silverhawks/thumb_Flashback-Front.jpg
SilverHawks,SilverHawks,Vintage SilverHawks,Kenner,1987,Basic Series,Hardware (with Prowler),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13379&figure=hardware,Transformerland lists this release as Hardware with Prowler. Packaged/front image from Figure Realm.,,https://www.figurerealm.com/galleries/silverhawks/thumb_Hardware-Front.jpg
SilverHawks,SilverHawks,Vintage SilverHawks,Kenner,1987,Basic Series,Hotwing (with Gyro),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13380&figure=hotwing,Transformerland lists this release as Hotwing with Gyro. Loose image from Figure Realm.,https://www.figurerealm.com/galleries/silverhawks/thumb_Hotwing1.jpg,
