franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Star Wars,Star Wars,Power of the Force,Kenner,1995,1,Ben (Obi-Wan) Kenobi,modern,ActionFigure411,https://www.actionfigure411.com/star-wars/power-of-the-force/red-card-action-figures/ben-obi-wan-kenobi-13172.php,,https://www.actionfigure411.com/star-wars/images/ben-obi-wan-kenobi-13172.jpg,"Imported from ActionFigure411 visual guide. This Ben (Obi-Wan) Kenobi toy was added on March 2026 and originally released in 1995 with a retail price of $4.99 . This action figure is part of the Star Wars genre within the Power of the Force series and included in Wave 1 . It can be found online by using the following codes: UPC: 076281695761 , Amazon ASIN: B007Z3HW10 (paid link) and on eBay (paid link) . With an average selling price of $11.42 , this toy is somewhat collectible as it's selling for 2x over its retail price. Quite a few ( 21 ) of these toys are in user collections so it does seem to be somewhat popular . AFA auctions are considered in determining the value of this item, potentially leading to a greater variance in the price range. Original retail price: $4.99."
Star Wars,Star Wars,Power of the Force,Kenner,1995,1,C-3PO,modern,ActionFigure411,https://www.actionfigure411.com/star-wars/power-of-the-force/red-card-action-figures/c-3po-13173.php,,https://www.actionfigure411.com/star-wars/images/c-3po-13173.jpg,"Imported from ActionFigure411 visual guide. This C-3PO toy was added on March 2026 and originally released in 1995 with a retail price of $4.99 . This action figure is part of the Star Wars genre within the Power of the Force series and included in Wave 1 . It can be found online by using the following codes: UPC: 076281695730 , Amazon ASIN: B000W1XL5I (paid link) and on eBay (paid link) . With an average selling price of $9.86 , this toy is not very valuable as it's selling for about its original retail price . This toy ranks in the Top20 within its stats category for the Power of the Force category. Quite a few ( 20 ) of these toys are in user collections so it does seem to be somewhat popular . AFA auctions are considered in determining the value of this item, potentially leading to a greater variance in the price range. Original retail price: $4.99."
Star Wars,Star Wars,Power of the Force,Kenner,1995,1,Chewbacca,modern,ActionFigure411,https://www.actionfigure411.com/star-wars/power-of-the-force/red-card-action-figures/chewbacca-13174.php,,https://www.actionfigure411.com/star-wars/images/chewbacca-13174.jpg,"Imported from ActionFigure411 visual guide. This Chewbacca toy was added on March 2026 and originally released in 1995 with a retail price of $4.99 . This action figure is part of the Star Wars genre within the Power of the Force series and included in Wave 1 . It can be found online by using the following codes: UPC: 076281695785 , Amazon ASIN: B0009R13WS (paid link) and on eBay (paid link) . With an average selling price of $7.56 , this toy is not very valuable as it's selling for about its original retail price . This toy ranks in the Top20 within its stats category for the Power of the Force category. Quite a few ( 21 ) of these toys are in user collections so it does seem to be somewhat popular . AFA auctions are considered in determining the value of this item, potentially leading to a greater variance in the price range. Original retail price: $4.99."
Star Wars,Star Wars,Power of the Force,Kenner,1995,1,Darth Vader,modern,ActionFigure411,https://www.actionfigure411.com/star-wars/power-of-the-force/red-card-action-figures/darth-vader-13175.php,,https://www.actionfigure411.com/star-wars/images/darth-vader-13175.jpg,"Imported from ActionFigure411 visual guide. This Darth Vader toy was added on March 2026 and originally released in 1995 with a retail price of $4.99 . This action figure is part of the Star Wars genre within the Power of the Force series and included in Wave 1 . It can be found online by using the following codes: UPC: 076281695723 , Amazon ASIN: B000A8NQK8 (paid link) and on eBay (paid link) . This toy currently has no recent price history so it's not possible to determine the worth. Quite a few ( 26 ) of these toys are in user collections so it does seem to be somewhat popular . AFA auctions are considered in determining the value of this item, potentially leading to a greater variance in the price range. Original retail price: $4.99."
Star Wars,Star Wars,Power of the Force,Kenner,1995,1,Han Solo,modern,ActionFigure411,https://www.actionfigure411.com/star-wars/power-of-the-force/red-card-action-figures/han-solo-13176.php,,https://www.actionfigure411.com/star-wars/images/han-solo-13176.jpg,"Imported from ActionFigure411 visual guide. This Han Solo toy was added on March 2026 and originally released in 1995 with a retail price of $4.99 . This action figure is part of the Star Wars genre within the Power of the Force series and included in Wave 1 . It can be found online by using the following codes: UPC: 076281695778 , Amazon ASIN: B001NAE28C (paid link) and on eBay (paid link) . This toy currently has no recent price history so it's not possible to determine the worth. Quite a few ( 21 ) of these toys are in user collections so it does seem to be somewhat popular . AFA auctions are considered in determining the value of this item, potentially leading to a greater variance in the price range. Original retail price: $4.99."
Star Wars,Star Wars,Power of the Force,Kenner,1995,1,Luke Skywalker,modern,ActionFigure411,https://www.actionfigure411.com/star-wars/power-of-the-force/red-card-action-figures/luke-skywalker-13177.php,,https://www.actionfigure411.com/star-wars/images/luke-skywalker-13177.jpg,"Imported from ActionFigure411 visual guide. This Luke Skywalker toy was added on March 2026 and originally released in 1995 with a retail price of $4.99 . This action figure is part of the Star Wars genre within the Power of the Force series and included in Wave 1 . It can be found online by using the following codes: UPC: 076281695716 , Amazon ASIN: B000A79RF2 (paid link) and on eBay (paid link) . This toy currently has no recent price history so it's not possible to determine the worth. Quite a few ( 20 ) of these toys are in user collections so it does seem to be somewhat popular . AFA auctions are considered in determining the value of this item, potentially leading to a greater variance in the price range. Original retail price: $4.99."
Star Wars,Star Wars,Power of the Force,Kenner,1995,1,Stormtrooper,modern,ActionFigure411,https://www.actionfigure411.com/star-wars/power-of-the-force/red-card-action-figures/stormtrooper-13180.php,,https://www.actionfigure411.com/star-wars/images/stormtrooper-13180.jpg,"Imported from ActionFigure411 visual guide. This Stormtrooper toy was added on March 2026 and originally released in 1995 with a retail price of $4.99 . This action figure is part of the Star Wars genre within the Power of the Force series and included in Wave 1 . It can be found online by using the following codes: UPC: 076281695754 , Amazon ASIN: B00282EWG6 (paid link) and on eBay (paid link) . This toy currently has no recent price history so it's not possible to determine the worth. Quite a few ( 26 ) of these toys are in user collections so it does seem to be somewhat popular . AFA auctions are considered in determining the value of this item, potentially leading to a greater variance in the price range. Original retail price: $4.99."
Star Wars,Star Wars,Power of the Force,Kenner,1995,2,Boba Fett,modern,ActionFigure411,https://www.actionfigure411.com/star-wars/power-of-the-force/red-card-action-figures/boba-fett-13181.php,,https://www.actionfigure411.com/star-wars/images/boba-fett-13181.jpg,"Imported from ActionFigure411 visual guide. This Boba Fett toy was added on March 2026 and originally released in 1995 with a retail price of $4.99 . This action figure is part of the Star Wars genre within the Power of the Force series and included in Wave 2 . It can be found online by using the following codes: UPC: 076281695822 , Amazon ASIN: B000AN1J66 (paid link) and on eBay (paid link) . With an average selling price of $7.24 , this toy is not very valuable as it's selling for about its original retail price . This toy ranks in the Top20 within its stats category for the Power of the Force category. Quite a few ( 24 ) of these toys are in user collections so it does seem to be somewhat popular . AFA auctions are considered in determining the value of this item, potentially leading to a greater variance in the price range. Original retail price: $4.99."
Star Wars,Star Wars,Power of the Force,Kenner,1995,2,Lando Calrissian,modern,ActionFigure411,https://www.actionfigure411.com/star-wars/power-of-the-force/red-card-action-figures/lando-calrissian-13182.php,,https://www.actionfigure411.com/star-wars/images/lando-calrissian-13182.jpg,"Imported from ActionFigure411 visual guide. This Lando Calrissian toy was added on March 2026 and originally released in 1995 with a retail price of $4.99 . This action figure is part of the Star Wars genre within the Power of the Force series and included in Wave 2 . It can be found online by using the following codes: UPC: 076281695839 , Amazon ASIN: B00021Z1MO (paid link) and on eBay (paid link) . This toy currently has no recent price history so it's not possible to determine the worth. Quite a few ( 25 ) of these toys are in user collections so it does seem to be somewhat popular . AFA auctions are considered in determining the value of this item, potentially leading to a greater variance in the price range. Original retail price: $4.99."
Star Wars,Star Wars,Power of the Force,Kenner,1995,2,Luke Skywalker (In X-Wing Fighter Pilot Gear),modern,ActionFigure411,https://www.actionfigure411.com/star-wars/power-of-the-force/red-card-action-figures/luke-skywalker-in-x-wing-fighter-pilot-gear-13183.php,,https://www.actionfigure411.com/star-wars/images/luke-skywalker-in-x-wing-fighter-pilot-gear-13183.jpg,"Imported from ActionFigure411 visual guide. This Luke Skywalker (In X-Wing Fighter Pilot Gear) toy was added on March 2026 and originally released in 1995 with a retail price of $4.99 . This action figure is part of the Star Wars genre within the Power of the Force series and included in Wave 2 . It can be found online by using the following codes: UPC: 076281695815 , Amazon ASIN: B0009R13WI (paid link) and on eBay (paid link) . This toy currently has no recent price history so it's not possible to determine the worth. Quite a few ( 22 ) of these toys are in user collections so it does seem to be somewhat popular . AFA auctions are considered in determining the value of this item, potentially leading to a greater variance in the price range. Original retail price: $4.99."
