franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Star Wars,Star Wars,Vintage Kenner Star Wars,Kenner,1978,Original carded figures,C-3PO See-Threepio,vintage,Galactic Figures,https://galacticfigures.com/figureDetails.aspx?id=1988,https://GalacticFigures.com/images/actionfigures/vintage/vintage-c-3po_big_2.jpg,https://www.actionfigure411.com/star-wars/images/thumbs/c-3po-1187.jpg,Imported from Galactic Figures Star Wars assortment page.
Star Wars,Star Wars,Vintage Kenner Star Wars,Kenner,1978,Original carded figures,Chewbacca Star Wars,vintage,Galactic Figures,https://galacticfigures.com/figureDetails.aspx?id=1961,https://GalacticFigures.com/images/actionfigures/vintage/vintage-chewbacca_big_2.jpg,https://www.actionfigure411.com/star-wars/images/thumbs/chewbacca-1186.jpg,Imported from Galactic Figures Star Wars assortment page.
Star Wars,Star Wars,Vintage Kenner Star Wars,Kenner,1978,Original carded figures,Darth Vader Star Wars,vintage,Galactic Figures,https://galacticfigures.com/figureDetails.aspx?id=1949,https://GalacticFigures.com/images/actionfigures/vintage/vintage-darth-vader_big_2.jpg,https://www.actionfigure411.com/star-wars/images/thumbs/darth-vader-1183.jpg,Imported from Galactic Figures Star Wars assortment page.
Star Wars,Star Wars,Vintage Kenner Star Wars,Kenner,1978,Original carded figures,Death Squad Commander Star Wars,vintage,Galactic Figures,https://galacticfigures.com/figureDetails.aspx?id=1925,https://GalacticFigures.com/images/actionfigures/vintage/vintage-death-squad-commander_big_2.jpg,https://www.actionfigure411.com/star-wars/images/thumbs/death-squad-commander-1193.jpg,Imported from Galactic Figures Star Wars assortment page.
Star Wars,Star Wars,Vintage Kenner Star Wars,Kenner,1978,Original carded figures,Death Star Droid Star Wars,vintage,Galactic Figures,https://galacticfigures.com/figureDetails.aspx?id=1935,https://GalacticFigures.com/images/actionfigures/vintage/vintage-death-star-droid_big_2.jpg,https://www.actionfigure411.com/star-wars/images/thumbs/death-star-droid-1214.jpg,Imported from Galactic Figures Star Wars assortment page.
Star Wars,Star Wars,Vintage Kenner Star Wars Pack-In Figures,Kenner,1978,Pack-in figures,Dianoga With Death Star Playset,vintage,Galactic Figures,https://galacticfigures.com/figureDetails.aspx?id=2050,https://GalacticFigures.com/images/actionfigures/vintage/vintage-trash-compactor-monster_big_2.jpg,,Imported from Galactic Figures Star Wars assortment page.
Star Wars,Star Wars,Vintage Kenner Star Wars,Kenner,1978,Original carded figures,Gonk Droid Power Droid,vintage,Galactic Figures,https://galacticfigures.com/figureDetails.aspx?id=1928,https://GalacticFigures.com/images/actionfigures/vintage/vintage-power-droid_big_2.jpg,https://www.actionfigure411.com/star-wars/images/thumbs/power-droid-1215.jpg,Imported from Galactic Figures Star Wars assortment page.
Star Wars,Star Wars,Vintage Kenner Star Wars,Kenner,1978,Original carded figures,Greedo Star Wars,vintage,Galactic Figures,https://galacticfigures.com/figureDetails.aspx?id=1971,https://GalacticFigures.com/images/actionfigures/vintage/vintage-greedo_big_2.jpg,https://www.actionfigure411.com/star-wars/images/thumbs/greedo-1208.jpg,Imported from Galactic Figures Star Wars assortment page.
Star Wars,Star Wars,Vintage Kenner Star Wars,Kenner,1978,Original carded figures,Han Solo Star Wars,vintage,Galactic Figures,https://galacticfigures.com/figureDetails.aspx?id=1911,https://GalacticFigures.com/images/actionfigures/vintage/vintage-han-solo-small-head_big_2.jpg,https://www.actionfigure411.com/star-wars/images/thumbs/han-solo-1190.jpg,"Imported from Galactic Figures Star Wars assortment page. Variant detail: first-released Han Solo small-head version, inferred from Galactic Figures identifying the other archive entry as the later larger-head regular figure."
Star Wars,Star Wars,Vintage Kenner Star Wars,Kenner,1978,Original carded figures,Han Solo Star Wars,vintage,Galactic Figures,https://galacticfigures.com/figureDetails.aspx?id=1991,https://GalacticFigures.com/images/actionfigures/vintage/vintage-han-solo_big_2.jpg,https://www.actionfigure411.com/star-wars/images/thumbs/han-solo-1190.jpg,"Imported from Galactic Figures Star Wars assortment page. Variant detail: regular Han Solo larger-head version, explicitly described by Galactic Figures as having a bigger head than the first-released figure."
Star Wars,Star Wars,Vintage Kenner Star Wars,Kenner,1978,Original carded figures,Jawa Star Wars,vintage,Galactic Figures,https://galacticfigures.com/figureDetails.aspx?id=1936,https://GalacticFigures.com/images/actionfigures/vintage/vintage-jawa_big_2.jpg,https://www.actionfigure411.com/star-wars/images/thumbs/jawa-1191.jpg,"Imported from Galactic Figures Star Wars assortment page. Variant detail: soft-goods robe Jawa, described by Galactic Figures as the common version."
