franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Starriors,Starriors,Accessories,Tomy,1985,Wave 1,Armored Battle Station,playset,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15274&figure=armoredbattlestation,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/starriors/thumb_BattleStation1.jpg,https://www.figurerealm.com/galleries/starriors/thumb_BattleStation-Front.jpg
Starriors,Starriors,Accessories,Tomy,1985,Wave 1,Transfer Rings,accessory,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=21750&figure=transferrings,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/starriors/thumb_TransferRings-Front.jpg
Starriors,Starriors,Basic Series,Tomy,1985,Wave 1,Auntie Tank,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13224&figure=auntietank,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/starriors/thumb_AuntieTank-Front.jpg
Starriors,Starriors,Basic Series,Tomy,1985,Wave 1,Backfire,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13314&figure=backfire,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/starriors/thumb_Backfire-Rammors-Front.jpg
Starriors,Starriors,Basic Series,Tomy,1985,Wave 1,Bolar,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15259&figure=bolar,Figure Realm checklist entry.,,
Starriors,Starriors,Basic Series,Tomy,1985,Wave 1,Clawgut,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15260&figure=clawgut,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/starriors/thumb_Clawgut1.jpg,https://www.figurerealm.com/galleries/starriors/thumb_Clawgut-Front.jpg
Starriors,Starriors,Basic Series,Tomy,1985,Wave 1,Crank,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13322&figure=crank,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/starriors/thumb_Crank1.jpg,https://www.figurerealm.com/galleries/starriors/thumb_Crank-Front.jpg
Starriors,Starriors,Basic Series,Tomy,1985,Wave 1,Cut-Up,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13324&figure=cutup,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/starriors/thumb_CutUp1.jpg,https://www.figurerealm.com/galleries/starriors/thumb_CutUp-Front.jpg
Starriors,Starriors,Basic Series,Tomy,1985,Wave 1,Deadeye & Cricket,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=13316&figure=deadeyeampcricket,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/starriors/thumb_DeadeyeCricket-Front.jpg
Starriors,Starriors,Basic Series,Tomy,1985,Wave 1,Flashfist,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15263&figure=flashfist,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/starriors/thumb_Flashfist-Front.jpg
