franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Strawberry Shortcake,Strawberry Shortcake,Accessories,Kenner,1979,,Berry Merry Worm,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=81833&figure=berrymerryworm,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/strawberryshortcake/thumb_BerryMerryWorm-Front.jpg
Strawberry Shortcake,Strawberry Shortcake,Accessories,Kenner,1979,,Maple Stirrup and Oatsmobile,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=112382&figure=maplestirrupandtheoatsmobile,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/strawberryshortcake/thumb_MapleStirrup-Oatsmobile-Front.jpg
Strawberry Shortcake,Strawberry Shortcake,Accessories,Kenner,1979,,Strawberry Shortcake Big Berry Trolley,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=93922&figure=strawberryshortcakebigberrytrolley,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/strawberryshortcake/thumb_StrawberryShortcake-BigBerryTrolley-Front.jpg
Strawberry Shortcake,Strawberry Shortcake,Accessories,Kenner,1979,,Strawberry Shortcake Snail Cart,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=81834&figure=strawberryshortcakesnailcart,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/strawberryshortcake/thumb_SnailCart-Front.jpg
Strawberry Shortcake,Strawberry Shortcake,Baby Dolls,Kenner,1979,,Baby Angel Cake,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=81835&figure=babyangelcake,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/strawberryshortcake/thumb_BabyAngelCake-Front.jpg
Strawberry Shortcake,Strawberry Shortcake,Baby Dolls,Kenner,1979,,Baby Apricot,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=81836&figure=babyapricot,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/strawberryshortcake/thumb_BabyApricot-Front.jpg
Strawberry Shortcake,Strawberry Shortcake,Baby Dolls,Kenner,1979,,Baby Lemon Meringue,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=81837&figure=babylemonmeringue,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/strawberryshortcake/thumb_LemonMeringue-BlowsKisses-Front.jpg
Strawberry Shortcake,Strawberry Shortcake,Baby Dolls,Kenner,1979,,Baby Needs-A-Name,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=81838&figure=babyneedsaname,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/strawberryshortcake/thumb_BabyNeedsAName-Front.jpg
Strawberry Shortcake,Strawberry Shortcake,Baby Dolls,Kenner,1979,,Baby Strawberry Shortcake,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=81839&figure=babystrawberryshortcake,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/strawberryshortcake/thumb_StrawberryShortcake-BlowsKisses-Front.jpg
Strawberry Shortcake,Strawberry Shortcake,Berry Babies,Kenner,1984,Berry Babies,Berry Baby Blueberry Muffin,figure,Classic Strawberry Shortcake Wiki,https://classic-strawberry-shortcake.fandom.com/wiki/Berry_Babies_%281984%29,Kenner doll checklist entry verified from Fandom; direct image URL pending.,,
Strawberry Shortcake,Strawberry Shortcake,Berry Babies,Kenner,1984,Berry Babies,Berry Baby Lemon Meringue,figure,Classic Strawberry Shortcake Wiki,https://classic-strawberry-shortcake.fandom.com/wiki/Berry_Babies_%281984%29,Kenner doll checklist entry verified from Fandom; direct image URL pending.,,
Strawberry Shortcake,Strawberry Shortcake,Berry Babies,Kenner,1984,Berry Babies,Berry Baby Orange Blossom,figure,Classic Strawberry Shortcake Wiki,https://classic-strawberry-shortcake.fandom.com/wiki/Berry_Babies_%281984%29,Kenner doll checklist entry verified from Fandom; direct image URL pending.,,
