franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Super Naturals,Super Naturals,Accessories,Tonka,1987,Wave 1,Bat Bopper,accessory,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15228&figure=batbopper,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/supernaturals/thumb_BatBopper1.jpg,https://www.figurerealm.com/galleries/supernaturals/thumb_BatBopper-Front.jpg
Super Naturals,Super Naturals,Accessories,Tonka,1987,Wave 1,Dark Dragon,accessory,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15225&figure=darkdragon,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/supernaturals/thumb_DarkDragon1.jpg,https://www.figurerealm.com/galleries/supernaturals/thumb_DarkDragon-Front.jpg
Super Naturals,Super Naturals,Accessories,Tonka,1987,Wave 1,Ghost Finder,accessory,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=21265&figure=ghostfinder,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/supernaturals/thumb_GhostFinder-Front.jpg
Super Naturals,Super Naturals,Accessories,Tonka,1987,Wave 1,Lionwings,accessory,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15227&figure=lionwings,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/supernaturals/thumb_Lionwings1.jpg,https://www.figurerealm.com/galleries/supernaturals/thumb_Lionwings-Front.jpg
Super Naturals,Super Naturals,Accessories,Tonka,1987,Wave 1,Tomb of Doom,playset,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=14643&figure=tombofdoom,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/supernaturals/thumb_TombofDoom1.jpg,https://www.figurerealm.com/galleries/supernaturals/thumb_TombofDoom-Front.jpg
Super Naturals,Super Naturals,Forces of Evil,Tonka,1987,Wave 1,Burnheart,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15098&figure=burnheart6580,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/supernaturals/thumb_Burnheart1.jpg,https://www.figurerealm.com/galleries/supernaturals/thumb_Burnheart-Front.jpg
Super Naturals,Super Naturals,Forces of Evil,Tonka,1987,Wave 1,Skull,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15099&figure=skull6580,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/supernaturals/thumb_Skull1.jpg,https://www.figurerealm.com/galleries/supernaturals/thumb_Skull-Front.jpg
Super Naturals,Super Naturals,Forces of Evil,Tonka,1987,Wave 1,Snakebite,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15100&figure=snakebite6580,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/supernaturals/thumb_Snakebite1.jpg,https://www.figurerealm.com/galleries/supernaturals/thumb_Snakebite-Front.jpg
Super Naturals,Super Naturals,Forces of Good,Tonka,1987,Wave 1,Eagle Eye,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15101&figure=eagleeye6580,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/supernaturals/thumb_EagleEye-Front.jpg
Super Naturals,Super Naturals,Forces of Good,Tonka,1987,Wave 1,Lionheart,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15102&figure=lionheart,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/supernaturals/thumb_Lionheart1.jpg,https://www.figurerealm.com/galleries/supernaturals/thumb_Lionheart-Front.jpg
Super Naturals,Super Naturals,Forces of Good,Tonka,1987,Wave 1,Thunder Bolt,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15103&figure=thunderbolt6580,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/supernaturals/thumb_ThunderBolt-Front.jpg
Super Naturals,Super Naturals,Ghosts,Tonka,1987,Wave 1,Hooter,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15111&figure=hooter6570,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/supernaturals/thumb_Hooter-Front.jpg
Super Naturals,Super Naturals,Ghosts,Tonka,1987,Wave 1,Mr. Lucky,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15109&figure=mrlucky6570,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/supernaturals/thumb_MrLucky-Front.jpg
Super Naturals,Super Naturals,Ghosts,Tonka,1987,Wave 1,Rags,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15110&figure=rags6570,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/supernaturals/thumb_Rags-Front.jpg
Super Naturals,Super Naturals,Ghosts,Tonka,1987,Wave 1,Scary Cat,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15105&figure=scarycat6570,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/supernaturals/thumb_ScaryCat-Front.jpg
Super Naturals,Super Naturals,Ghosts,Tonka,1987,Wave 1,See-Thru,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15108&figure=seethru6570,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/supernaturals/thumb_SeeThru-Front.jpg
Super Naturals,Super Naturals,Ghosts,Tonka,1987,Wave 1,Spooks,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15106&figure=spooks6570,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/supernaturals/thumb_Spooks-Front.jpg
Super Naturals,Super Naturals,Ghosts,Tonka,1987,Wave 1,Vamp-Pa,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15104&figure=vamppa6570,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/supernaturals/thumb_VampPa1.jpg,https://www.figurerealm.com/galleries/supernaturals/thumb_VampPa-Front.jpg
Super Naturals,Super Naturals,Ghosts,Tonka,1987,Wave 1,Weird Wolf,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15107&figure=weirdwolf6570,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/supernaturals/thumb_WeirdWolf1.jpg,https://www.figurerealm.com/galleries/supernaturals/thumb_WeirdWolf-Front.jpg
