franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Swamp Thing,Swamp Thing,Accessories,Kenner,1990,Wave 1,Bayou Blaster,accessory,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15142&figure=bayoublaster,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/swampthing/thumb_BayouBlaster1.jpg,https://www.figurerealm.com/galleries/swampthing/thumb_BayouBlaster-Front.jpg
Swamp Thing,Swamp Thing,Accessories,Kenner,1990,Wave 1,Bog Rover,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15143&figure=bogrover,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/swampthing/thumb_BogRover-Front.jpg
Swamp Thing,Swamp Thing,Accessories,Kenner,1990,Wave 1,Marsh Buggy,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15145&figure=marshbuggy,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/swampthing/thumb_MarshBuggy1.jpg,https://www.figurerealm.com/galleries/swampthing/thumb_MarshBuggy-Front.jpg
Swamp Thing,Swamp Thing,Accessories,Kenner,1990,Wave 1,Swamp Trap,playset,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15144&figure=swamptrap,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/swampthing/thumb_SwampTrap1.jpg,https://www.figurerealm.com/galleries/swampthing/thumb_SwampTrap-Front.jpg
Swamp Thing,Swamp Thing,Accessories,Kenner,1990,Wave 1,Transducer Playset,playset,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15146&figure=transducerplayset,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/swampthing/thumb_TransducerPlayset1.jpg,https://www.figurerealm.com/galleries/swampthing/thumb_TransducerPlayset-Front.jpg
Swamp Thing,Swamp Thing,Basic Series,Kenner,1990,Wave 1,Anton Arcane,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15147&figure=antonarcane,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/swampthing/thumb_AntonArcane1.jpg,https://www.figurerealm.com/galleries/swampthing/thumb_AntonArcane-Front.jpg
Swamp Thing,Swamp Thing,Basic Series,Kenner,1990,Wave 1,Bayou Jack,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15148&figure=bayoujack,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/swampthing/thumb_BayouJack1.jpg,https://www.figurerealm.com/galleries/swampthing/thumb_BayouJack-Front.jpg
Swamp Thing,Swamp Thing,Basic Series,Kenner,1990,Wave 1,Dr. Deemo,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15151&figure=drdeemo,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/swampthing/thumb_DrDeemo-Front.jpg
Swamp Thing,Swamp Thing,Basic Series,Kenner,1990,Wave 1,Skinman,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15154&figure=skinman,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/swampthing/thumb_Skinman1.jpg,https://www.figurerealm.com/galleries/swampthing/thumb_Skinman-Front.jpg
Swamp Thing,Swamp Thing,Basic Series,Kenner,1990,Wave 1,Swamp Thing (Bio-Glow),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15159&figure=swampthingbioglow,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/swampthing/thumb_SwampThingBioGlow1.jpg,https://www.figurerealm.com/galleries/swampthing/thumb_SwampThingBioGlow-Front.jpg
Swamp Thing,Swamp Thing,Basic Series,Kenner,1990,Wave 1,Swamp Thing (Camouflage),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15155&figure=swampthingcamouflage,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/swampthing/thumb_SwampThingCamouflage1.jpg,https://www.figurerealm.com/galleries/swampthing/thumb_SwampThingCamouflage-Front.jpg
Swamp Thing,Swamp Thing,Basic Series,Kenner,1990,Wave 1,Swamp Thing (Capture),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15156&figure=swampthingcapture,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/swampthing/thumb_SwampThingCapture1.jpg,https://www.figurerealm.com/galleries/swampthing/thumb_SwampThingCapture-Front.jpg
Swamp Thing,Swamp Thing,Basic Series,Kenner,1990,Wave 1,Swamp Thing (Climbing),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15157&figure=swampthingclimbing,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/swampthing/thumb_SwampThingClimbing1.jpg,https://www.figurerealm.com/galleries/swampthing/thumb_SwampThingClimbing-Front.jpg
Swamp Thing,Swamp Thing,Basic Series,Kenner,1990,Wave 1,Swamp Thing (Drip Camouflage),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15158&figure=swampthingdripcamouflage,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/swampthing/thumb_SwampThingDripCamouflage-Front.jpg
Swamp Thing,Swamp Thing,Basic Series,Kenner,1990,Wave 1,Swamp Thing (Snap Up),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15160&figure=swampthingsnapup,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/swampthing/thumb_SwampThingSnapUp1.jpg,https://www.figurerealm.com/galleries/swampthing/thumb_SwampThingSnapUp-Front.jpg
Swamp Thing,Swamp Thing,Basic Series,Kenner,1990,Wave 1,Swamp Thing (Snare Arm),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15161&figure=swampthingsnarearm,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/swampthing/thumb_SwampThingSnareArm1.jpg,https://www.figurerealm.com/galleries/swampthing/thumb_SwampThingSnareArm-Front.jpg
Swamp Thing,Swamp Thing,Basic Series,Kenner,1990,Wave 1,Tomahawk,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15149&figure=tomahawk,Figure Realm checklist entry.,,https://www.figurerealm.com/galleries/swampthing/thumb_Tomahawk-Front.jpg
Swamp Thing,Swamp Thing,Basic Series,Kenner,1990,Wave 1,Weed Killer,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=15150&figure=weedkiller,Figure Realm checklist entry.,https://www.figurerealm.com/galleries/swampthing/thumb_WeedKiller1.jpg,https://www.figurerealm.com/galleries/swampthing/thumb_WeedKiller-Front.jpg
