franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Teddy Ruxpin,Teddy Ruxpin,Teddy Ruxpin,Worlds of Wonder,1985,Wave 1,Grubby's Romance - Book & Tape,book,Access DB,,Retained Access inventory row.,,
Teddy Ruxpin,Teddy Ruxpin,Teddy Ruxpin,Worlds of Wonder,1985,Wave 1,Grunge Music - Book & Tape,book,Access DB,,Retained Access inventory row.,,
Teddy Ruxpin,Teddy Ruxpin,Teddy Ruxpin,Worlds of Wonder,1985,Wave 1,Land of Grundo Map,accessory,Access DB,,Retained Access inventory row.,,
Teddy Ruxpin,Teddy Ruxpin,Teddy Ruxpin,Worlds of Wonder,1985,Wave 1,Teddy and the Mudblups - Book & Tape,book,Access DB,,Retained Access inventory row.,,
Teddy Ruxpin,Teddy Ruxpin,Teddy Ruxpin,Worlds of Wonder,1985,Wave 1,Teddy Ruxpin,plush,Access DB,,Retained Access inventory row.,,
Teddy Ruxpin,Teddy Ruxpin,Teddy Ruxpin,Worlds of Wonder,1985,Wave 1,Teddy Ruxpin Lullabys - Book & Tape,book,Access DB,,Retained Access inventory row.,,
Teddy Ruxpin,Teddy Ruxpin,Teddy Ruxpin,Worlds of Wonder,1985,Wave 1,Teddy Ruxpin's Birthday - Book & Tape,book,Access DB,,Retained Access inventory row.,,
Teddy Ruxpin,Teddy Ruxpin,Teddy Ruxpin,Worlds of Wonder,1985,Wave 1,Teddy's Winter Adventure - Book & Tape,book,Access DB,,Retained Access inventory row.,,
Teddy Ruxpin,Teddy Ruxpin,Teddy Ruxpin,Worlds of Wonder,1985,Wave 1,The Missing Princess - Book & Tape,book,Access DB,,Retained Access inventory row.,,
Teddy Ruxpin,Teddy Ruxpin,Teddy Ruxpin,Worlds of Wonder,1985,Wave 1,The Story of the Faded Fobs - Book & Tape,book,Access DB,,Retained Access inventory row.,,
Teddy Ruxpin,Teddy Ruxpin,Teddy Ruxpin,Worlds of Wonder,1985,Wave 1,The Wooly What's-It - Book & Tape,book,Access DB,,Retained Access inventory row.,,
Teddy Ruxpin,Teddy Ruxpin,Teddy Ruxpin,Worlds of Wonder,1985,Wave 1,Tweeg and the Bounders - Book & Tape,book,Access DB,,Retained Access inventory row.,,
