franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Thundercats,Thundercats,Vintage Thundercats,LJN,1985,1,Astral Moat Monster,vehicle,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/vehicles/astral-moat-monster-6490.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/astral-moat-monster-6490.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1985,1,Cheetara,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/cheetara-6447.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/cheetara-6447.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1985,1,Jackalman,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/jackalman-6448.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/jackalman-6448.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1985,1,Lion-O,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/lion-o-6449.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/lion-o-6449.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1985,1,Monkian,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/monkian-6450.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/monkian-6450.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1985,1,Mumm-Ra,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/mumm-ra-6451.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/mumm-ra-6451.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1985,1,Mutant Nose Diver,vehicle,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/vehicles/mutant-nose-diver-6491.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/mutant-nose-diver-6491.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1985,1,Mutant Skycutter,vehicle,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/vehicles/mutant-skycutter-6492.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/mutant-skycutter-6492.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1985,1,Panthro,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/panthro-6452.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/panthro-6452.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1985,1,S-S-Slithe,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/s-s-slithe-6453.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/s-s-slithe-6453.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1985,1,Thundertank,vehicle,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/vehicles/thundertank-6493.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/thundertank-6493.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1985,1,Tygra,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/tygra-6454.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/tygra-6454.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1986,2,Berbil Belle (Companions),figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/berbil-belle-companions-6473.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/berbil-belle-companions-6473.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1986,2,Berbil Bert (Companions),figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/berbil-bert-companions-6474.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/berbil-bert-companions-6474.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1986,2,Berbil Bill (Companions),figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/berbil-bill-companions-6475.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/berbil-bill-companions-6475.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1986,2,Cats' Lair,playset,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/playsets/cats-lair-6488.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/cats-lair-6488.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1986,2,Cheetara with Wilykit,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/cheetara-with-wilykit-6461.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/cheetara-with-wilykit-6461.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1986,2,Cruncher (Berserkers),figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/cruncher-berserkers-6465.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/cruncher-berserkers-6465.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1986,2,Grune the Destroyer,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/grune-the-destroyer-6455.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/grune-the-destroyer-6455.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1986,2,Hachiman,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/hachiman-6456.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/hachiman-6456.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1986,2,Hammerhand (Berserkers),figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/hammerhand-berserkers-6466.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/hammerhand-berserkers-6466.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1986,2,Hovercat,vehicle,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/vehicles/hovercat-6494.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/hovercat-6494.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1986,2,Lion-O and Snarf,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/lion-o-and-snarf-6462.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/lion-o-and-snarf-6462.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1986,2,Ma-Mutt (Companions),figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/ma-mutt-companions-6469.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/ma-mutt-companions-6469.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1986,2,Mumm-Ra and Ravage,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/mumm-ra-and-ravage-6463.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/mumm-ra-and-ravage-6463.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1986,2,Mumm-Ra’s Tomb Fortress,playset,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/playsets/mumm-ras-tomb-fortress-6489.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/mumm-ras-tomb-fortress-6489.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1986,2,Mummy Mumm-Ra (Mail Away),figure,ThunderCats Ho Fandom,https://thundercats-ho.fandom.com/wiki/LJN_Mummy_Mumm-Ra,"ThunderCats Ho Fandom identifies this as the 1986 Series 2 Mummy Mumm-Ra mail-away exclusive, also included with Mumm-Ra Tomb Fortress; direct mailer-box image URL pending.",https://static.wikia.nocookie.net/thundercatslair/images/2/22/LJN_Mummy_Mumm-Ra_Loose1.JPG/revision/latest/scale-to-width-down/290?cb=20140822055417,
Thundercats,Thundercats,Vintage Thundercats,LJN,1986,2,Mutant Fist Pounder,vehicle,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/vehicles/mutant-fist-pounder-6495.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/mutant-fist-pounder-6495.jpg
Thundercats,Thundercats,Vintage Thundercats,LJN,1986,2,Ram-Bam (Berserkers),figure,ActionFigure411,https://www.actionfigure411.com/thundercats/ljn/action-figures/ram-bam-berserkers-6467.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/ram-bam-berserkers-6467.jpg
