franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Thundercats,Thundercats,Thundercats Miniatures,Kidworks,1986,Miniatures,Cat's Lair,playset,ThunderCats Ho Fandom,https://thundercats-ho.fandom.com/wiki/Kidworks_Cat%27s_Lair_Playset,ThunderCats Ho fandom Kidworks pageimage match.,https://static.wikia.nocookie.net/thundercatslair/images/b/b4/Kidworks_Cats_Lair_Playset.jpg/revision/latest/scale-to-width-down/755?cb=20140929130444,
Thundercats,Thundercats,Thundercats Miniatures,Kidworks,1986,Miniatures,Cheetara,figure,ThunderCats Ho Fandom,https://thundercats-ho.fandom.com/wiki/Kidworks_Cheetara,ThunderCats Ho fandom Kidworks pageimage match.,https://static.wikia.nocookie.net/thundercatslair/images/c/c1/Kidworks_Cheetara_MOC.jpg/revision/latest/scale-to-width-down/585?cb=20140922173515,
Thundercats,Thundercats,Thundercats Miniatures,Kidworks,1986,Miniatures,Eye of Thundara,playset,ThunderCats Ho Fandom,https://thundercats-ho.fandom.com/wiki/Kidworks_Eye_of_Thundera,ThunderCats Ho fandom Kidworks pageimage match.,https://static.wikia.nocookie.net/thundercatslair/images/0/0c/Kidworks_Eye_of_Thundera_Playset.jpg/revision/latest/scale-to-width-down/658?cb=20140929131418,
Thundercats,Thundercats,Thundercats Miniatures,Kidworks,1986,Miniatures,Grune,figure,ThunderCats Ho Fandom,https://thundercats-ho.fandom.com/wiki/Kidworks_Grune,ThunderCats Ho fandom Kidworks pageimage match.,https://static.wikia.nocookie.net/thundercatslair/images/c/c0/Kidworks_Grune_MOC.JPG/revision/latest/scale-to-width-down/606?cb=20140923170135,
Thundercats,Thundercats,Thundercats Miniatures,Kidworks,1986,Miniatures,Hachiman,figure,ThunderCats Ho Fandom,https://thundercats-ho.fandom.com/wiki/Kidworks_Hatchiman,ThunderCats Ho fandom Kidworks pageimage match.,https://static.wikia.nocookie.net/thundercatslair/images/4/42/Kidworks_Hatchiman_MOC.JPG/revision/latest/scale-to-width-down/604?cb=20140922172743,
Thundercats,Thundercats,Thundercats Miniatures,Kidworks,1986,Miniatures,Jackalman,figure,ThunderCats Ho Fandom,https://thundercats-ho.fandom.com/wiki/Kidworks_Jackalman,ThunderCats Ho fandom Kidworks pageimage match.,https://static.wikia.nocookie.net/thundercatslair/images/d/d7/Kidworks_Jackalman_MOC.JPG/revision/latest/scale-to-width-down/622?cb=20140922173512,
Thundercats,Thundercats,Thundercats Miniatures,Kidworks,1986,Miniatures,Lion-O,figure,ThunderCats Ho Fandom,https://thundercats-ho.fandom.com/wiki/Kidworks_Lion-O,ThunderCats Ho fandom Kidworks pageimage match.,https://static.wikia.nocookie.net/thundercatslair/images/2/2e/Kidworks_LionO_MOC.jpg/revision/latest/scale-to-width-down/590?cb=20140922050218,
Thundercats,Thundercats,Thundercats Miniatures,Kidworks,1986,Miniatures,Lion-O Transporter Belt,role-play,ThunderCats Ho Fandom,https://thundercats-ho.fandom.com/wiki/Kidworks_Lion-O_Transport_Belt_for_Miniatures,ThunderCats Ho fandom Kidworks pageimage match.,https://static.wikia.nocookie.net/thundercatslair/images/9/9a/Kidworks_Lion-O_Transport_Belt.jpg/revision/latest/scale-to-width-down/900?cb=20140929153134,
Thundercats,Thundercats,Thundercats Miniatures,Kidworks,1986,Miniatures,Monkian,figure,ThunderCats Ho Fandom,https://thundercats-ho.fandom.com/wiki/Kidworks_Monkian,ThunderCats Ho fandom Kidworks pageimage match.,https://static.wikia.nocookie.net/thundercatslair/images/2/20/Kidworks_Monkian_MOC.jpg/revision/latest?cb=20140922173513,
Thundercats,Thundercats,Thundercats Miniatures,Kidworks,1986,Miniatures,Mumm-Ra,figure,ThunderCats Ho Fandom,https://thundercats-ho.fandom.com/wiki/Kidworks_Mumm-Ra,ThunderCats Ho fandom Kidworks pageimage match.,https://static.wikia.nocookie.net/thundercatslair/images/d/d3/Kidworks_Mummra_MOC.jpg/revision/latest/scale-to-width-down/576?cb=20140922173514,
