franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Thundercats,Thundercats,Super7 Ultimates,Super7,2020,1,Jackalman,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/super7/action-figures/jackalman-6504.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/jackalman-6504.jpg
Thundercats,Thundercats,Super7 Ultimates,Super7,2020,1,Lion-O,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/super7/action-figures/lion-o-6502.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/lion-o-6502.jpg
Thundercats,Thundercats,Super7 Ultimates,Super7,2020,1,Mumm-Ra,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/super7/action-figures/mumm-ra-6505.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/mumm-ra-6505.jpg
Thundercats,Thundercats,Super7 Ultimates,Super7,2020,1,Panthro,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/super7/action-figures/panthro-6503.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/panthro-6503.jpg
Thundercats,Thundercats,Super7 Ultimates,Super7,2021,3,Captain Cracker,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/super7/action-figures/captain-cracker-6512.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/captain-cracker-6512.jpg
Thundercats,Thundercats,Super7 Ultimates,Super7,2021,3,Jaga,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/super7/action-figures/jaga-6510.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/jaga-6510.jpg
Thundercats,Thundercats,Super7 Ultimates,Super7,2021,3,Slithe,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/super7/action-figures/slithe-6511.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/slithe-6511.jpg
Thundercats,Thundercats,Super7 Ultimates,Super7,2022,2,Grune The Destroyer,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/super7/action-figures/grune-the-destroyer-6508.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/grune-the-destroyer-6508.jpg
Thundercats,Thundercats,Super7 Ultimates,Super7,2022,2,Mumm-Ra (Ever-Living) with Ma-Mutt,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/super7/action-figures/mumm-ra-ever-living-with-ma-mutt-6509.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/mumm-ra-ever-living-with-ma-mutt-6509.jpg
Thundercats,Thundercats,Super7 Ultimates,Super7,2022,2,Pumyra,figure,ActionFigure411,https://www.actionfigure411.com/thundercats/super7/action-figures/pumyra-6507.php,ActionFigure411 checklist import.,,https://www.actionfigure411.com/thundercats/images/pumyra-6507.jpg
