franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2012),2012 Nick,Playmates,2012,Wave 1,April O'Neil,figure,TMNT Toys,https://www.tmnttoys.com/12figures/series1/90508.html,TMNT Toys 2012 archive match.,https://www.tmnttoys.com/12figures/series1/1881.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2012),2012 Nick,Playmates,2012,Wave 1,Battle Shell: Donatello,figure,TMNT Toys,https://www.tmnttoys.com/13figures/battleshells/90522.html,TMNT Toys 2012 archive match.,https://www.tmnttoys.com/13figures/battleshells/2347.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2012),2012 Nick,Playmates,2012,Wave 1,Battle Shell: Leonardo,figure,TMNT Toys,https://www.tmnttoys.com/13figures/battleshells/90521.html,TMNT Toys 2012 archive match.,https://www.tmnttoys.com/13figures/battleshells/2285.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2012),2012 Nick,Playmates,2012,Wave 1,Battle Shell: Michael Angelo,figure,TMNT Toys,https://www.tmnttoys.com/13figures/battleshells/90523.html,TMNT Toys 2012 archive match.,https://www.tmnttoys.com/13figures/battleshells/2303.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2012),2012 Nick,Playmates,2012,Wave 1,Battle Shell: Raphael,figure,TMNT Toys,https://www.tmnttoys.com/13figures/battleshells/90524.html,TMNT Toys 2012 archive match.,https://www.tmnttoys.com/13figures/battleshells/2329.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2012),2012 Nick,Playmates,2012,Wave 1,Classic Collection: Donatello,figure,TMNT Toys,https://www.tmnttoys.com/12figures/classics/91082.html,TMNT Toys 2012 archive match.,https://www.tmnttoys.com/12figures/classics/3065.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2012),2012 Nick,Playmates,2012,Wave 1,Classic Collection: Leonardo,figure,TMNT Toys,https://www.tmnttoys.com/12figures/classics/index.html,TMNT Toys 2012 archive match.,https://www.tmnttoys.com/12figures/classics/3004.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2012),2012 Nick,Playmates,2012,Wave 1,Classic Collection: Michael Angelo,figure,TMNT Toys,https://www.tmnttoys.com/12figures/classics/91084.html,TMNT Toys 2012 archive match.,https://www.tmnttoys.com/12figures/classics/3049.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2012),2012 Nick,Playmates,2012,Wave 1,Classic Collection: Raphael,figure,TMNT Toys,https://www.tmnttoys.com/12figures/classics/91083.html,TMNT Toys 2012 archive match.,https://www.tmnttoys.com/12figures/classics/3023.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2012),2012 Nick,Playmates,2012,Wave 1,Dogpound,figure,TMNT Toys,https://www.tmnttoys.com/12figures/series1dot5/90510.html,TMNT Toys 2012 archive match.,https://www.tmnttoys.com/12figures/series1dot5/2229.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2012),2012 Nick,Playmates,2012,Wave 1,Donatello,figure,TMNT Toys,https://www.tmnttoys.com/12figures/series1/90502.html,TMNT Toys 2012 archive match.,https://www.tmnttoys.com/12figures/series1/1857.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2012),2012 Nick,Playmates,2012,Wave 1,Dragon Chopper,vehicle,TMNT Toys,https://www.tmnttoys.com/12vehicles/deluxes/94003.html,TMNT Toys 2012 archive match.,https://www.tmnttoys.com/12vehicles/deluxes/3288.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2012),2012 Nick,Playmates,2012,Wave 1,Fishface,figure,TMNT Toys,https://www.tmnttoys.com/12figures/series1dot5/90511.html,TMNT Toys 2012 archive match.,https://www.tmnttoys.com/12figures/series1dot5/2212.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2012),2012 Nick,Playmates,2012,Wave 1,Foot Soldier,figure,TMNT Toys,https://www.tmnttoys.com/12figures/series1/90509.html,TMNT Toys 2012 archive match.,https://www.tmnttoys.com/12figures/series1/1946.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2012),2012 Nick,Playmates,2012,Wave 1,Kraang,figure,TMNT Toys,https://www.tmnttoys.com/12figures/series1/90507.html,TMNT Toys 2012 archive match.,https://www.tmnttoys.com/12figures/series1/1920.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2012),2012 Nick,Playmates,2012,Wave 1,Leonardo,figure,TMNT Toys,https://www.tmnttoys.com/12figures/series1/90501.html,TMNT Toys 2012 archive match.,https://www.tmnttoys.com/12figures/series1/1822.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2012),2012 Nick,Playmates,2012,Wave 1,Leonardo's Electronic Stealth Sword,role-play,TMNT Toys,https://www.tmnttoys.com/12others/stealthsword/index.html,TMNT Toys 2012 archive match.,https://www.tmnttoys.com/12others/stealthsword/3615.jpg,
