franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Cody,figure,TMNT Toys,https://www.tmnttoys.com/06figures/FastForward/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06figures/FastForward/0035.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Dark Don,figure,TMNT Toys,https://www.tmnttoys.com/06figures/FastForward/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06figures/FastForward/0035.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Dark Leo,figure,TMNT Toys,https://www.tmnttoys.com/06figures/FastForward/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06figures/FastForward/0035.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Dark Mike,figure,TMNT Toys,https://www.tmnttoys.com/06figures/FastForward/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06figures/FastForward/0035.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Dark Raph,figure,TMNT Toys,https://www.tmnttoys.com/06figures/FastForward/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06figures/FastForward/0035.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Donatello,figure,TMNT Toys,https://www.tmnttoys.com/06figures/FastForward/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06figures/FastForward/0035.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Electronic Fusion FX Bow Staff,role-play,TMNT Toys,https://www.tmnttoys.com/06figures/FastForward/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06figures/FastForward/0035.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Electronic Fusion FX Katana,role-play,TMNT Toys,https://www.tmnttoys.com/06others/fusionweapons/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06others/fusionweapons/0870.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Electronic Fusion FX Nunchaku,role-play,TMNT Toys,https://www.tmnttoys.com/06others/fusionweapons/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06others/fusionweapons/0870.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Electronic Fusion FX Sai,role-play,TMNT Toys,https://www.tmnttoys.com/06others/fusionweapons/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06others/fusionweapons/0870.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Hover HQ,playset,TMNT Toys,https://www.tmnttoys.com/06vehicles/HoverHQ/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06vehicles/HoverHQ/1584.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Hyper Shell,vehicle,TMNT Toys,https://www.tmnttoys.com/06vehicles/hypershell/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06vehicles/hypershell/8578.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Jammerhead,figure,TMNT Toys,https://www.tmnttoys.com/06figures/FastForward/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06figures/FastForward/0035.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Leonardo,figure,TMNT Toys,https://www.tmnttoys.com/06figures/FastForward/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06figures/FastForward/0035.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Michael Angelo,figure,TMNT Toys,https://www.tmnttoys.com/06figures/FastForward/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06figures/FastForward/0035.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Ninja Tek Gear Don,role-play,TMNT Toys,https://www.tmnttoys.com/06figures/FastForward/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06figures/FastForward/0035.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Ninja Tek Gear Leo,role-play,TMNT Toys,https://www.tmnttoys.com/06figures/FastForward/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06figures/FastForward/0035.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Ninja Tek Gear Mike,role-play,TMNT Toys,https://www.tmnttoys.com/06figures/FastForward/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06figures/FastForward/0035.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Ninja Tek Gear Raph,role-play,TMNT Toys,https://www.tmnttoys.com/06figures/FastForward/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06figures/FastForward/0035.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Raphael,figure,TMNT Toys,https://www.tmnttoys.com/06figures/FastForward/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06figures/FastForward/0035.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Secret Agent Don,figure,TMNT Toys,https://www.tmnttoys.com/06figures/secretagents/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06figures/secretagents/6052.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Serling,figure,TMNT Toys,https://www.tmnttoys.com/06figures/FastForward/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06figures/FastForward/0035.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Shell Speeder Leo,vehicle,TMNT Toys,https://www.tmnttoys.com/06vehicles/SteelWheel/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06vehicles/SteelWheel/9951.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2003),Fast Forward,Playmates,2006,Fast Forward,Shell Speeder Raph,vehicle,TMNT Toys,https://www.tmnttoys.com/06vehicles/SteelWheel/index.html,TMNT Toys Fast Forward archive match.,https://www.tmnttoys.com/06vehicles/SteelWheel/9951.jpg,
