franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,April O'Neil,figure,TMNT Toys,https://www.tmnttoys.com/07figures/goodguys/55160.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/goodguys/2969.jpg,
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,Casey Jones,figure,TMNT Toys,https://www.tmnttoys.com/07figures/goodguys/55159.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/goodguys/2988.jpg,
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,Don vs. General Mono,multi-pack,TMNT Toys,https://www.tmnttoys.com/07figures/twopacks/55512.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/twopacks/3463.jpg,
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,Donatello,figure,TMNT Toys,https://www.tmnttoys.com/07figures/goodguys/55151.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/goodguys/2928.jpg,
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,Foot Ninja,figure,TMNT Toys,https://www.tmnttoys.com/07figures/badguys/55158.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/badguys/3101.jpg,
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,Karai,figure,TMNT Toys,https://www.tmnttoys.com/07figures/badguys/55156.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/badguys/3081.jpg,
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,Leo vs. General Gato,multi-pack,TMNT Toys,https://www.tmnttoys.com/07figures/twopacks/55513.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/twopacks/3360.jpg,
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,Leonardo,figure,TMNT Toys,https://www.tmnttoys.com/07figures/goodguys/55152.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/goodguys/2880.jpg,
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,Max Winters,figure,TMNT Toys,https://www.tmnttoys.com/07figures/badguys/55157.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/badguys/3029.jpg,
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,Michael Angelo,figure,TMNT Toys,https://www.tmnttoys.com/07figures/goodguys/55154.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/goodguys/2855.jpg,
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,Mike vs. General Serpient,multi-pack,TMNT Toys,https://www.tmnttoys.com/07figures/twopacks/55511.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/twopacks/3432.jpg,
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,Raph vs. General Aguila,multi-pack,TMNT Toys,https://www.tmnttoys.com/07figures/twopacks/55514.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/twopacks/3424.jpg,
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,Raphael,figure,TMNT Toys,https://www.tmnttoys.com/07figures/goodguys/55153.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/goodguys/2912.jpg,
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,Spider Aracknor and Jersey Devil,figure,TMNT Toys,https://www.tmnttoys.com/07figures/badguys/55161.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/badguys/3130.jpg,
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,Splinter,figure,TMNT Toys,https://www.tmnttoys.com/07figures/goodguys/55155.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/goodguys/2946.jpg,
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,Street Grindin' Don,figure,TMNT Toys,https://www.tmnttoys.com/07figures/streetgrinders/55494.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/streetgrinders/3216.jpg,
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,Street Grindin' Leo,figure,TMNT Toys,https://www.tmnttoys.com/07figures/streetgrinders/55491.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/streetgrinders/3162.jpg,
Teenage Mutant Ninja Turtles,TMNT (2007 Film),TMNT Movie Line,Playmates,2007,Wave 1,Street Grindin' Mike,figure,TMNT Toys,https://www.tmnttoys.com/07figures/streetgrinders/55493.html,TMNT Toys TMNT Movie Line archive match.,https://www.tmnttoys.com/07figures/streetgrinders/3192.jpg,
