franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles: Mutant Mayhem,Mutant Mayhem,Playmates,2023,SDCC,Donatello (Comic Con),figure,ActionFigure411,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/playmates-mutant-mayhem/action-figures/donatello-comic-con-7052.php,ActionFigure411 Mutant Mayhem checklist import.,,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/images/donatello-comic-con-7052.jpg
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles: Mutant Mayhem,Mutant Mayhem,Playmates,2023,General Release,Donatello (Ninja Shouts),figure,ActionFigure411,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/playmates-mutant-mayhem/action-figures/donatello-ninja-shouts-7043.php,ActionFigure411 Mutant Mayhem checklist import.,,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/images/donatello-ninja-shouts-7043.jpg
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles: Mutant Mayhem,Mutant Mayhem,Playmates,2023,Amazon,Donnie (Skate Park),figure,ActionFigure411,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/playmates-mutant-mayhem/action-figures/donnie-skate-park-7046.php,ActionFigure411 Mutant Mayhem checklist import.,,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/images/donnie-skate-park-7046.jpg
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles: Mutant Mayhem,Mutant Mayhem,Playmates,2023,SDCC,Leonardo (Comic Con),figure,ActionFigure411,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/playmates-mutant-mayhem/action-figures/leonardo-comic-con-7055.php,ActionFigure411 Mutant Mayhem checklist import.,,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/images/leonardo-comic-con-7055.jpg
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles: Mutant Mayhem,Mutant Mayhem,Playmates,2023,General Release,Leonardo (Ninja Shouts),figure,ActionFigure411,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/playmates-mutant-mayhem/action-figures/leonardo-ninja-shouts-7041.php,ActionFigure411 Mutant Mayhem checklist import.,,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/images/leonardo-ninja-shouts-7041.jpg
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles: Mutant Mayhem,Mutant Mayhem,Playmates,2023,SDCC,Michelangelo (Comic Con),figure,ActionFigure411,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/playmates-mutant-mayhem/action-figures/michelangelo-comic-con-7054.php,ActionFigure411 Mutant Mayhem checklist import.,,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/images/michelangelo-comic-con-7054.jpg
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles: Mutant Mayhem,Mutant Mayhem,Playmates,2023,General Release,Michelangelo (Ninja Shouts),figure,ActionFigure411,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/playmates-mutant-mayhem/action-figures/michelangelo-ninja-shouts-7044.php,ActionFigure411 Mutant Mayhem checklist import.,,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/images/michelangelo-ninja-shouts-7044.jpg
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles: Mutant Mayhem,Mutant Mayhem,Playmates,2023,Amazon,Raph (Skate Park),figure,ActionFigure411,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/playmates-mutant-mayhem/action-figures/raph-skate-park-7045.php,ActionFigure411 Mutant Mayhem checklist import.,,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/images/raph-skate-park-7045.jpg
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles: Mutant Mayhem,Mutant Mayhem,Playmates,2023,SDCC,Raphael (Comic Con),figure,ActionFigure411,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/playmates-mutant-mayhem/action-figures/raphael-comic-con-7053.php,ActionFigure411 Mutant Mayhem checklist import.,,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/images/raphael-comic-con-7053.jpg
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles: Mutant Mayhem,Mutant Mayhem,Playmates,2023,General Release,Raphael (Ninja Shouts),figure,ActionFigure411,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/playmates-mutant-mayhem/action-figures/raphael-ninja-shouts-7042.php,ActionFigure411 Mutant Mayhem checklist import.,,https://www.actionfigure411.com/teenage-mutant-ninja-turtles/images/raphael-ninja-shouts-7042.jpg
