franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Teenage Mutant Ninja Turtles,Ninja Turtles: The Next Mutation,Next Mutation,Playmates,1997,Wave 1,Bad Boy Biker Raph with Street Cycle,vehicle,TMNT Toys,https://www.tmnttoys.com/97vehicles/cycles/33121.html,TMNT Toys Next Mutation archive match.,https://www.tmnttoys.com/97vehicles/cycles/3954.jpg,
Teenage Mutant Ninja Turtles,Ninja Turtles: The Next Mutation,Next Mutation,Playmates,1997,Wave 1,Black Top Boardin' Venus,figure,TMNT Toys,https://www.tmnttoys.com/97figures/basic/33005.htm,TMNT Toys Next Mutation archive match.,https://www.tmnttoys.com/97figures/basic/33005.jpg,
Teenage Mutant Ninja Turtles,Ninja Turtles: The Next Mutation,Next Mutation,Playmates,1997,Wave 1,Deluxe Figure Set,multi-pack,TMNT Toys,https://www.tmnttoys.com/97figures/4pack/33150.html,TMNT Toys Next Mutation archive match.,https://www.tmnttoys.com/97figures/4pack/8156.jpg,
Teenage Mutant Ninja Turtles,Ninja Turtles: The Next Mutation,Next Mutation,Playmates,1997,Wave 1,Donatello,figure,TMNT Toys,https://www.tmnttoys.com/97figures/basic/33003.htm,TMNT Toys Next Mutation archive match.,https://www.tmnttoys.com/97figures/basic/33003.jpg,
Teenage Mutant Ninja Turtles,Ninja Turtles: The Next Mutation,Next Mutation,Playmates,1997,Wave 1,Dragon Lord,figure,TMNT Toys,https://www.tmnttoys.com/97figures/basic/33008.htm,TMNT Toys Next Mutation archive match.,https://www.tmnttoys.com/97figures/basic/33008.jpg,
Teenage Mutant Ninja Turtles,Ninja Turtles: The Next Mutation,Next Mutation,Playmates,1997,Wave 1,Elite Guard,figure,TMNT Toys,https://www.tmnttoys.com/97figures/basic/33009.htm,TMNT Toys Next Mutation archive match.,https://www.tmnttoys.com/97figures/basic/33009.jpg,
Teenage Mutant Ninja Turtles,Ninja Turtles: The Next Mutation,Next Mutation,Playmates,1997,Wave 1,Kowabunga Cruisin' Raph,figure,TMNT Toys,https://www.tmnttoys.com/97figures/thrasher/33102.htm,TMNT Toys Next Mutation archive match.,https://www.tmnttoys.com/97figures/thrasher/33102.jpg,
Teenage Mutant Ninja Turtles,Ninja Turtles: The Next Mutation,Next Mutation,Playmates,1997,Wave 1,Leonardo,figure,TMNT Toys,https://www.tmnttoys.com/97figures/basic/33001.htm,TMNT Toys Next Mutation archive match.,https://www.tmnttoys.com/97figures/basic/33001.jpg,
Teenage Mutant Ninja Turtles,Ninja Turtles: The Next Mutation,Next Mutation,Playmates,1997,Wave 1,Leo's Katana Sword,role-play,TMNT Toys,https://www.tmnttoys.com/97others/sword/index.html,TMNT Toys Next Mutation archive match.,https://www.tmnttoys.com/97others/sword/4061.jpg,
Teenage Mutant Ninja Turtles,Ninja Turtles: The Next Mutation,Next Mutation,Playmates,1997,Wave 1,Mega Motorin' Elite Guard with Street Cycle,vehicle,TMNT Toys,https://www.tmnttoys.com/97vehicles/cycles/33122.html,TMNT Toys Next Mutation archive match.,https://www.tmnttoys.com/97vehicles/cycles/3948.jpg,
