franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Teenage Mutant Ninja Turtles,Heroes of Goo Jit Zu x TMNT,Heroes of Goo Jit Zu,Playmates,2024,Set 1,April O'Neil,figure,Turtlepedia,,Turtlepedia exact page match pending.,,
Teenage Mutant Ninja Turtles,Heroes of Goo Jit Zu x TMNT,Heroes of Goo Jit Zu,Playmates,2024,Set 1,Donatello,figure,Turtlepedia,https://turtlepedia.fandom.com/wiki/Heroes_of_Goo_Jit_Zu_Donatello_(2024_action_figure),Turtlepedia API pageimage match.,https://static.wikia.nocookie.net/tmnt/images/5/5e/Goo_jit_zu_don_2.webp/revision/latest/scale-to-width-down/638?cb=20250908061534,
Teenage Mutant Ninja Turtles,Heroes of Goo Jit Zu x TMNT,Heroes of Goo Jit Zu,Playmates,2024,Set 1,Kraang,figure,Turtlepedia,,Turtlepedia exact page match pending.,,
Teenage Mutant Ninja Turtles,Heroes of Goo Jit Zu x TMNT,Heroes of Goo Jit Zu,Playmates,2024,Set 1,Leonardo,figure,Turtlepedia,https://turtlepedia.fandom.com/wiki/Heroes_of_Goo_Jit_Zu_Leonardo_(2024_action_figure),Turtlepedia API pageimage match.,https://static.wikia.nocookie.net/tmnt/images/f/fa/Goo_jit_zu_leo_2.webp/revision/latest/scale-to-width-down/636?cb=20250909140807,
Teenage Mutant Ninja Turtles,Heroes of Goo Jit Zu x TMNT,Heroes of Goo Jit Zu,Playmates,2024,Set 1,Michel Angelo,figure,Turtlepedia,https://turtlepedia.fandom.com/wiki/Heroes_of_Goo_Jit_Zu_Michelangelo_(2024_action_figure),Turtlepedia API pageimage match.,https://static.wikia.nocookie.net/tmnt/images/c/cf/Goo_jit_zu_mike_2.webp/revision/latest/scale-to-width-down/627?cb=20250917052958,
Teenage Mutant Ninja Turtles,Heroes of Goo Jit Zu x TMNT,Heroes of Goo Jit Zu,Playmates,2024,Set 1,Raphael,figure,Turtlepedia,https://turtlepedia.fandom.com/wiki/Heroes_of_Goo_Jit_Zu_Raphael_(2024_action_figure),Turtlepedia API pageimage match.,https://static.wikia.nocookie.net/tmnt/images/2/23/Goo_jit_zu_raph_2.webp/revision/latest/scale-to-width-down/630?cb=20250907030137,
Teenage Mutant Ninja Turtles,Heroes of Goo Jit Zu x TMNT,Heroes of Goo Jit Zu,Playmates,2024,Set 1,Shredder,figure,Turtlepedia,,Turtlepedia exact page match pending.,,
Teenage Mutant Ninja Turtles,Heroes of Goo Jit Zu x TMNT,Heroes of Goo Jit Zu,Playmates,2024,Set 1,Splinter,figure,Turtlepedia,,Turtlepedia exact page match pending.,,
Teenage Mutant Ninja Turtles,TMNT x Godzilla,Teenage Mutant Ninja Turtles X Godzilla,Playmates,2025,Set 1,Leo X Godzilla,figure,Turtlepedia,https://turtlepedia.fandom.com/wiki/Leo_x_Godzilla_(2025_action_figure),Turtlepedia API pageimage match.,https://static.wikia.nocookie.net/tmnt/images/7/79/Leo_x_godzilla.png/revision/latest?cb=20251209155057,
Teenage Mutant Ninja Turtles,TMNT x Godzilla,Teenage Mutant Ninja Turtles X Godzilla,Playmates,2025,Set 1,Mike X King Ghidorah,figure,Turtlepedia,,Turtlepedia exact page match pending.,,
Teenage Mutant Ninja Turtles,TMNT x Godzilla,Teenage Mutant Ninja Turtles X Godzilla,Playmates,2025,Set 1,Raph X Rodan,figure,Turtlepedia,https://turtlepedia.fandom.com/wiki/Raph_x_Rodan_(2025_action_figure),Turtlepedia API pageimage match.,https://static.wikia.nocookie.net/tmnt/images/0/0d/Raph_x_rodan.png/revision/latest?cb=20251209152514,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles 40th Anniversary,40th anniversary toyline,Playmates,2024,1988 Remastered,1988 Remastered Leonardo,modern,Turtlepedia,https://turtlepedia.fandom.com/wiki/1988_Remastered_Leonardo_(2024_action_figure),Turtlepedia API pageimage match.,https://static.wikia.nocookie.net/tmnt/images/a/aa/1988remasterleo1.jpg/revision/latest/scale-to-width-down/600?cb=20240731080152,
