franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Playmates,2024,Basics Series One,High School "Michael Angelo",figure,TMNT Toys,https://www.tmnttoys.com/figures2023.html,TMNT Toys Tales of the TMNT archive starter import.,,
Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Playmates,2024,Basics Series One,High School Raphael,figure,TMNT Toys,https://www.tmnttoys.com/figures2023.html,TMNT Toys Tales of the TMNT archive starter import.,,
Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Playmates,2024,Basics Series One,Turbo Cammy,figure,TMNT Toys,https://www.tmnttoys.com/figures2023.html,TMNT Toys Tales of the TMNT archive starter import.,,
Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Playmates,2024,Basics Series One,Crabapult,figure,TMNT Toys,https://www.tmnttoys.com/figures2023.html,TMNT Toys Tales of the TMNT archive starter import.,,
Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Playmates,2024,Mutations Mix 'N Match Series One,Leonardo,figure,TMNT Toys,https://www.tmnttoys.com/figures2023.html,TMNT Toys Tales of the TMNT archive starter import.,,
Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Playmates,2024,Mutations Mix 'N Match Series One,Donatello,figure,TMNT Toys,https://www.tmnttoys.com/figures2023.html,TMNT Toys Tales of the TMNT archive starter import.,,
Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Playmates,2024,Mutations Mix 'N Match Series One,Splinter,figure,TMNT Toys,https://www.tmnttoys.com/figures2023.html,TMNT Toys Tales of the TMNT archive starter import.,,
Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Playmates,2024,Mutations Mix 'N Match Series One,Raphael,figure,TMNT Toys,https://www.tmnttoys.com/figures2023.html,TMNT Toys Tales of the TMNT archive starter import.,,
Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Playmates,2024,Mutations Mix 'N Match Series One,Michelangelo,figure,TMNT Toys,https://www.tmnttoys.com/figures2023.html,TMNT Toys Tales of the TMNT archive starter import.,,
Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Playmates,2024,Mutations Mix 'N Match Series One,Metalhead,figure,TMNT Toys,https://www.tmnttoys.com/figures2023.html,TMNT Toys Tales of the TMNT archive starter import.,,
Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Playmates,2024,Mutations Mix 'N Match Series One,Mechazoid,figure,TMNT Toys,https://www.tmnttoys.com/figures2023.html,TMNT Toys Tales of the TMNT archive starter import.,,
Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Playmates,2024,Mutations Mix 'N Match Series One,Bishop in Mech,figure,TMNT Toys,https://www.tmnttoys.com/figures2023.html,TMNT Toys Tales of the TMNT archive starter import.,,
Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Playmates,2024,Mutations Mix 'N Match Series Two,Wingnut,figure,TMNT Toys,https://www.tmnttoys.com/figures2023.html,TMNT Toys Tales of the TMNT archive starter import.,,
Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Playmates,2024,Mutations Mix 'N Match Series Two,Lee the Eel,figure,TMNT Toys,https://www.tmnttoys.com/figures2023.html,TMNT Toys Tales of the TMNT archive starter import.,,
Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Tales of the Teenage Mutant Ninja Turtles,Playmates,2024,Mutations Mix 'N Match Series Two,Mustang Sally,figure,TMNT Toys,https://www.tmnttoys.com/figures2023.html,TMNT Toys Tales of the TMNT archive starter import.,,
