franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,April,figure,TMNT Toys,https://www.tmnttoys.com/figures1987.html#1988,TMNT Toys vintage archive year-section fallback; item-specific page match still pending.,,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Be-Bop,figure,TMNT Toys,https://www.tmnttoys.com/88figures/5010.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88figures/5010.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Cheapskate,vehicle,TMNT Toys,https://www.tmnttoys.com/88vehicles/cheapskate/index.html,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88vehicles/cheapskate/2949.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Donatello,figure,TMNT Toys,https://www.tmnttoys.com/88figures/5002.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88figures/5002.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Foot Soldier,figure,TMNT Toys,https://www.tmnttoys.com/88figures/5008.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88figures/5008.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Gags Jokes and Crazy Weapons: Set 1 Squirting Ring,accessory,TMNT Toys,https://www.tmnttoys.com/figures1987.html#1988,TMNT Toys vintage archive year-section fallback; item-specific page match still pending.,,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Gags Jokes and Crazy Weapons: Set 2 Disappearing Ink,accessory,TMNT Toys,https://www.tmnttoys.com/figures1987.html#1988,TMNT Toys vintage archive year-section fallback; item-specific page match still pending.,,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Gags Jokes and Crazy Weapons: Set 3 Razzer,accessory,TMNT Toys,https://www.tmnttoys.com/figures1987.html#1988,TMNT Toys vintage archive year-section fallback; item-specific page match still pending.,,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Knuckle Head,vehicle,TMNT Toys,https://www.tmnttoys.com/88vehicles/knuckle/index.html,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88vehicles/knuckle/2947.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Leonardo,figure,TMNT Toys,https://www.tmnttoys.com/88figures/5001.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88figures/5001.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Michael Angelo,figure,TMNT Toys,https://www.tmnttoys.com/88figures/5004.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88figures/5004.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Party Wagon,vehicle,TMNT Toys,https://www.tmnttoys.com/88vehicles/partywagon/index.html,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88vehicles/partywagon/2954.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Raphael,figure,TMNT Toys,https://www.tmnttoys.com/88figures/5003.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88figures/5003.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Rocksteady,figure,TMNT Toys,https://www.tmnttoys.com/88figures/5009.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88figures/5009.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Shredder,figure,TMNT Toys,https://www.tmnttoys.com/88figures/5007.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88figures/5007.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Splinter,figure,TMNT Toys,https://www.tmnttoys.com/88figures/5006.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88figures/5006.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Turtle Batter Fun: Donatello,role-play,TMNT Toys,https://www.tmnttoys.com/88others/battlefun/don.html,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88others/battlefun/4765.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Turtle Batter Fun: Leonardo,role-play,TMNT Toys,https://www.tmnttoys.com/88others/battlefun/leo.html,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88others/battlefun/4203.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Turtle Batter Fun: Michael Angelo,role-play,TMNT Toys,https://www.tmnttoys.com/88others/battlefun/mike.html,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88others/battlefun/3566.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Turtle Batter Fun: Raphael,role-play,TMNT Toys,https://www.tmnttoys.com/88others/battlefun/raph.html,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88others/battlefun/4765.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Turtle Battle Fun Set: Donatello,role-play,TMNT Toys,https://www.tmnttoys.com/88others/battlefun/don.html,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88others/battlefun/4765.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Turtle Battle Fun Set: Leonardo,role-play,TMNT Toys,https://www.tmnttoys.com/88others/battlefun/leo.html,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88others/battlefun/4203.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Turtle Battle Fun Set: Michael Angelo,role-play,TMNT Toys,https://www.tmnttoys.com/88others/battlefun/mike.html,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88others/battlefun/3566.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Turtle Battle Fun Set: Raphael,role-play,TMNT Toys,https://www.tmnttoys.com/88others/battlefun/raph.html,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88others/battlefun/4765.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Turtle Blimp,vehicle,TMNT Toys,https://www.tmnttoys.com/88vehicles/blimp/index.html,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88vehicles/blimp/2944.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1988,Wave 1,Turtle Trooper,vehicle,TMNT Toys,https://www.tmnttoys.com/88vehicles/trooper/index.html,TMNT Toys vintage archive match.,https://www.tmnttoys.com/88vehicles/trooper/2953.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1989,Wave 2,Ace Duck,figure,TMNT Toys,https://www.tmnttoys.com/89figures/basics/5055.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/89figures/basics/5055.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1989,Wave 2,Baxter Stockman,figure,TMNT Toys,https://www.tmnttoys.com/89figures/basics/5057.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/89figures/basics/5057.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1989,Wave 2,Break Fightin' Raphael,figure,TMNT Toys,https://www.tmnttoys.com/89figures/wackyaction/5613.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/89figures/wackyaction/5613.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1989,Wave 2,Casey Jones,figure,TMNT Toys,https://www.tmnttoys.com/89figures/basics/5058.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/89figures/basics/5058.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1989,Wave 2,Double Barreled Plunger Gun,vehicle,TMNT Toys,https://www.tmnttoys.com/figures1987.html#1989,TMNT Toys vintage archive year-section fallback; item-specific page match still pending.,,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1989,Wave 2,Flush 'O Matic,vehicle,TMNT Toys,https://www.tmnttoys.com/figures1987.html#1989,TMNT Toys vintage archive year-section fallback; item-specific page match still pending.,,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1989,Wave 2,Foot Cruiser,vehicle,TMNT Toys,https://www.tmnttoys.com/89vehicles/footcruiser/index.html,TMNT Toys vintage archive match.,https://www.tmnttoys.com/89vehicles/footcruiser/3001.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1989,Wave 2,Foot Ski,vehicle,TMNT Toys,https://www.tmnttoys.com/89vehicles/footski/index.html,TMNT Toys vintage archive match.,https://www.tmnttoys.com/89vehicles/footski/2992.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1989,Wave 2,General Traag,figure,TMNT Toys,https://www.tmnttoys.com/89figures/basics/5061.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/89figures/basics/5061.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1989,Wave 2,Ghengis Frog,figure,TMNT Toys,https://www.tmnttoys.com/89figures/basics/5051.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/89figures/basics/5051.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1989,Wave 2,Krang,figure,TMNT Toys,https://www.tmnttoys.com/89figures/basics/5056.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/89figures/basics/5056.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1989,Wave 2,Leatherhead,figure,TMNT Toys,https://www.tmnttoys.com/89figures/basics/5052.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/89figures/basics/5052.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1989,Wave 2,Metalhead,figure,TMNT Toys,https://www.tmnttoys.com/89figures/basics/5053.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/89figures/basics/5053.jpg,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Vintage Playmates),TMNT Vintage Playmates,Playmates,1989,Wave 2,Mouser,figure,TMNT Toys,https://www.tmnttoys.com/89figures/wackyaction/5615.htm,TMNT Toys vintage archive match.,https://www.tmnttoys.com/89figures/wackyaction/5615.jpg,
