franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Transformers,Battle Beasts,Battle Beasts,Hasbro/Takara,1987,Series 1,Battle Buzzsaw,vehicle,Transformerland,https://www.transformerland.com/wiki/battle-beasts/,Transformerland Battle Beasts collector guide fallback; exact item match still pending.,,
Transformers,Battle Beasts,Battle Beasts,Hasbro/Takara,1987,Series 1,Battle Eagle,vehicle,Transformerland,https://www.transformerland.com/wiki/battle-beasts/,Transformerland Battle Beasts collector guide fallback; exact item match still pending.,,
Transformers,Battle Beasts,Battle Beasts,Hasbro/Takara,1987,Series 1,Battle Savanna,vehicle,Transformerland,https://www.transformerland.com/wiki/battle-beasts/,Transformerland Battle Beasts collector guide fallback; exact item match still pending.,,
Transformers,Battle Beasts,Battle Beasts,Hasbro/Takara,1987,Series 1,Battling Big Horn,vehicle,Transformerland,https://www.transformerland.com/wiki/toy-info/battle-beasts-battle-chariots-battling-big-horn-with-war-weasel/56074/,Transformerland Battle Beasts item match.,https://www.transformerland.com/image/thumbnails/56078.jpg,
Transformers,Battle Beasts,Battle Beasts,Hasbro/Takara,1987,Series 1,Battling Deer Stalker,vehicle,Transformerland,https://www.transformerland.com/wiki/toy-info/battle-beasts-basic-figures-deer-stalker-2-/55297/,Transformerland Battle Beasts item match.,https://www.transformerland.com/image/thumbnails/55299.jpg,
Transformers,Battle Beasts,Battle Beasts,Hasbro/Takara,1987,Series 1,Battling Tearn' Tiger,vehicle,Transformerland,https://www.transformerland.com/wiki/toy-info/battle-beasts-battle-chariots-battling-tearinapos-tiger-with-bighorn-sheep/56094/,Transformerland Battle Beasts item match.,https://www.transformerland.com/image/thumbnails/56098.jpg,
Transformers,Battle Beasts,Battle Beasts,Hasbro/Takara,1987,Series 1,Bighorn Sheep,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/battle-beasts-basic-figures-bighorn-sheep-26-/55465/,Transformerland Battle Beasts item match.,https://www.transformerland.com/image/thumbnails/55467.jpg,
Transformers,Battle Beasts,Battle Beasts,Hasbro/Takara,1987,Series 1,Blazing Eagle,playset,Transformerland,https://www.transformerland.com/wiki/toy-info/battle-beasts-playsets-blazing-eagle-transport-station/56104/,Transformerland Battle Beasts item match.,https://www.transformerland.com/image/thumbnails/56106.jpg,
Transformers,Battle Beasts,Battle Beasts,Hasbro/Takara,1987,Series 1,Blitzkrieg Bat,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/battle-beasts-basic-figures-blitzkrieg-bat-12-/55367/,Transformerland Battle Beasts item match.,https://www.transformerland.com/image/thumbnails/55369.jpg,
Transformers,Battle Beasts,Battle Beasts,Hasbro/Takara,1987,Series 1,Bloodthirsty Bison,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/battle-beasts-basic-figures-bloodthirsty-bison-25-/55458/,Transformerland Battle Beasts item match.,https://www.transformerland.com/image/thumbnails/55460.jpg,
Transformers,Battle Beasts,Battle Beasts,Hasbro/Takara,1987,Series 1,Blue Drill,vehicle,Transformerland,https://www.transformerland.com/wiki/battle-beasts/,Transformerland Battle Beasts collector guide fallback; exact item match still pending.,,
Transformers,Battle Beasts,Battle Beasts,Hasbro/Takara,1987,Series 1,Colonel Bird,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/battle-beasts-basic-figures-colonel-bird-4-/55311/,Transformerland Battle Beasts item match.,https://www.transformerland.com/image/thumbnails/55313.jpg,
Transformers,Battle Beasts,Battle Beasts,Hasbro/Takara,1987,Series 1,Crusty Crab,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/battle-beasts-basic-figures-crusty-crab-28-/55479/,Transformerland Battle Beasts item match.,https://www.transformerland.com/image/thumbnails/55481.jpg,
Transformers,Battle Beasts,Battle Beasts,Hasbro/Takara,1987,Series 1,Danger Dog,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/battle-beasts-basic-figures-danger-dog-21-/55430/,Transformerland Battle Beasts item match.,https://www.transformerland.com/image/thumbnails/55432.jpg,
Transformers,Battle Beasts,Battle Beasts,Hasbro/Takara,1987,Series 1,Deer Stalker,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/battle-beasts-basic-figures-deer-stalker-2-/55297/,Transformerland Battle Beasts item match.,https://www.transformerland.com/image/thumbnails/55299.jpg,
Transformers,Battle Beasts,Battle Beasts,Hasbro/Takara,1987,Series 1,Fennec Shield Battler,vehicle,Transformerland,https://www.transformerland.com/wiki/battle-beasts/,Transformerland Battle Beasts collector guide fallback; exact item match still pending.,,
