franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Transformers,Transformers,Generation 1,Hasbro,1986,Wave 3,Aerialbot: Air Raid,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-combiners-aerialbots-superion-g1-air-raid-a5-/1096/,Transformerland G1 item match.,https://www.transformerland.com/image/thumbnails/20143.jpg,
Transformers,Transformers,Generation 1,Hasbro,1986,Wave 3,Aerialbot: Fireflight,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-combiners-aerialbots-superion-g1-fireflight-a3-/1114/,Transformerland G1 item match.,https://www.transformerland.com/image/thumbnails/20145.jpg,
Transformers,Transformers,Generation 1,Hasbro,1986,Wave 3,Aerialbot: Silverbolt,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-combiners-aerialbots-superion-g1-silverbolt-a1-/1120/,Transformerland G1 item match.,https://www.transformerland.com/image/thumbnails/1122.jpg,
Transformers,Transformers,Generation 1,Hasbro,1986,Wave 3,Aerialbot: Skydive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-combiners-aerialbots-superion-g1-skydive-a2-/1102/,Transformerland G1 item match.,https://www.transformerland.com/image/thumbnails/20153.jpg,
Transformers,Transformers,Generation 1,Hasbro,1986,Wave 3,Aerialbot: Slingshot,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-combiners-aerialbots-superion-g1-slingshot-a4-/1108/,Transformerland G1 item match.,https://www.transformerland.com/image/thumbnails/20154.jpg,
Transformers,Transformers,Generation 1,Hasbro,1986,Wave 3,Autobot Car: Blurr,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-autobot-cars-blurr/975/,Transformerland G1 item match.,https://www.transformerland.com/image/thumbnails/977.jpg,
Transformers,Transformers,Generation 1,Hasbro,1986,Wave 3,Autobot Car: Hot Rod,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-autobot-cars-hot-rod/987/,Transformerland G1 item match.,https://www.transformerland.com/image/thumbnails/989.jpg,
Transformers,Transformers,Generation 1,Hasbro,1986,Wave 3,Autobot Car: Kup,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-autobot-cars-kup/999/,Transformerland G1 item match.,https://www.transformerland.com/image/thumbnails/1001.jpg,
Transformers,Transformers,Generation 1,Hasbro,1986,Wave 3,Battlecharger: Runabout,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-battlechargers-runabout/1356/,Transformerland G1 item match.,https://www.transformerland.com/image/thumbnails/1358.jpg,
Transformers,Transformers,Generation 1,Hasbro,1986,Wave 3,Battlecharger: Runamuck,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-battlechargers-runamuck/1363/,Transformerland G1 item match.,https://www.transformerland.com/image/thumbnails/1365.jpg,
Transformers,Transformers,Generation 1,Hasbro,1986,Wave 3,Cassette: Eject,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-mini-cassettes-eject/1060/,Transformerland G1 item match.,https://www.transformerland.com/image/thumbnails/20169.jpg,
Transformers,Transformers,Generation 1,Hasbro,1986,Wave 3,Cassette: Frenzie,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-decoys-frenzy-purple-no-50-/13062/,Transformerland G1 item match.,https://www.transformerland.com/image/thumbnails/13062.jpg,
Transformers,Transformers,Generation 1,Hasbro,1986,Wave 3,Cassette: Ramhorn,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-mini-cassettes-ramhorn/1066/,Transformerland G1 item match.,https://www.transformerland.com/image/thumbnails/20170.jpg,
Transformers,Transformers,Generation 1,Hasbro,1986,Wave 3,Cassette: Ratbat,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-mini-cassettes-ratbat/1323/,Transformerland G1 item match.,https://www.transformerland.com/image/thumbnails/1324.jpg,
Transformers,Transformers,Generation 1,Hasbro,1986,Wave 3,Cassette: Rewind,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-mini-cassettes-rewind/1073/,Transformerland G1 item match.,https://www.transformerland.com/image/thumbnails/20171.jpg,
Transformers,Transformers,Generation 1,Hasbro,1986,Wave 3,Cassette: Steeljaw,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-mini-cassettes-steeljaw/1079/,Transformerland G1 item match.,https://www.transformerland.com/image/thumbnails/20172.jpg,
